issue_id, type, status, resolution, component, priority, reporter, created, assigned, assignee, resolved, created, assigned, summary, description, affected_version, fixed_version, votes, watches, description_words, assingnee_count, comment_count, commenter, Surprising, Dormant, Blocker, Security, Performance, Breakage, commit_count, file_count, files
245,Bug,Resolved,Fixed,ambari-server,Major,Jitendra Nath Pandey,2.838657407,2.838657407,Jitendra Nath Pandey,2012/05/17 21:00:13 +0100,2.838657407,2.838657407,/SUM support data cleanup instal fail/SUM,We need to support data cleanup so that a cluster can be re-installed in case of failures.,0.9.0,0.9.0,0,2,17,1,1,1,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
247,Bug,Resolved,Fixed,,Major,Varun Kapoor,21.89849537,21.89849537,Varun Kapoor,2012/06/05 23:47:38 +0100,21.89849537,21.89849537,/SUM replac index php cluster php/SUM,Like the title says: overwrite index.php with the contents of clusters.php  making sure to add a link to the AddNodesWizard as well.,0.9.0,0.9.0,0,2,22,1,1,1,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
249,Bug,Resolved,Fixed,,Major,Vikram Dixit K,3.168425926,3.168425926,Vikram Dixit K,2012/05/18 07:06:07 +0100,3.168425926,3.168425926,/SUM uninstal support UI/SUM,Uninstall/wipeout support from UI.,0.9.0,0.9.0,0,2,4,1,4,2,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
252,Bug,Resolved,Fixed,,Major,Varun Kapoor,1.979155093,1.979155093,Varun Kapoor,2012/05/17 20:57:31 +0100,1.979155093,1.979155093,/SUM remov playground file hmc/SUM,There's a bunch of (temporary playground) files that got wrongly committed to the HMC codebase  so this is to remove all of them and get things into a cleaner state (at least on the face of things).,0.9.0,0.9.0,0,2,37,1,2,2,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
253,Bug,Resolved,Fixed,,Major,Ramya Sunil,1.97662037,1.97662037,Ramya Sunil,2012/05/17 20:58:51 +0100,1.97662037,1.97662037,/SUM support uninstal state mysql modul/SUM,Currently  there is no support for uninstall of mysql package.,0.9.0,0.9.0,0,1,10,1,2,1,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
255,Bug,Resolved,Fixed,,Minor,Varun Kapoor,1.923796296,1.923796296,Varun Kapoor,2012/05/17 20:57:02 +0100,1.923796296,1.923796296,/SUM renam reloc file appropri/SUM,There's some images in the html/ directory (that should be in images/)  there's .html files whose extension should be changed to .htmli  and such  that would be nice to clean up.,0.9.0,0.9.0,0,2,31,1,2,2,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
256,Bug,Resolved,Fixed,,Major,Ramya Sunil,1.92056713,1.92056713,Ramya Sunil,2012/05/17 20:57:56 +0100,1.92056713,1.92056713,/SUM updat hive config enabl author/SUM,In /etc/hive/conf/hive-site.xml&lt;property&gt; &lt;name&gt;hive.security.authorization.enabled&lt;/name&gt; &lt;value&gt;true&lt;/value&gt; &lt;description&gt;enable or disable the hive client authorization&lt;/description&gt;&lt;/property&gt;&lt;property&gt; &lt;name&gt;hive.security.authorization.manager&lt;/name&gt; &lt;value&gt;org.apache.hcatalog.security.HdfsAuthorizationProvider&lt;/value&gt; &lt;description&gt;the hive client authorization manager class name. The user defined authorization class should implement interface org.apache.hadoop.hive.ql.security.authorization.HiveAuthorizationProvider. &lt;/description&gt;&lt;/property&gt;In /etc/hive/conf/hive-env.sh  add -export HIVE_AUX_JARS_PATH=/usr/lib/hcatalog/share/hcatalog/hcatalog-0.4.0.jar,0.9.0,0.9.0,0,1,46,1,2,1,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
257,Bug,Resolved,Fixed,site,Major,Arpit Gupta,2.997604167,1.02212963,Vinod Kumar Vavilapalli,2012/05/18 22:57:30 +0100,2.997604167,1.02212963,/SUM manag servic section empti section client compon instal/SUM,On the manage services page we have a section for client only services that have no long running processes.If the user has no such component there is a heading but no content. Maybe we can hide the heading when no such service is present.,0.9.0,0.9.0,0,3,44,1,2,2,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
262,Bug,Resolved,Fixed,site,Major,Arpit Gupta,2.989895833,1.026261574,Vinod Kumar Vavilapalli,2012/05/18 22:58:45 +0100,2.989895833,1.026261574,/SUM init wizard advanc config valid error bypass/SUM,Make the Naigos password (and re-type password) different so as you cause a validation error.This will let the user move on to the next screen by ignoring all other validation errors on this page.,0.9.0,0.9.0,0,3,34,1,2,2,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
264,Bug,Resolved,Fixed,site,Major,Arpit Gupta,2.9984375,1.03556713,Vinod Kumar Vavilapalli,2012/05/18 23:13:21 +0100,2.9984375,1.03556713,/SUM nagio admin contact check ensur alway email address/SUM,,0.9.0,0.9.0,0,3,1,1,2,2,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
274,Bug,Resolved,Fixed,,Major,Ramya Sunil,1.384131944,1.384131944,Ramya Sunil,2012/05/18 06:42:17 +0100,1.384131944,1.384131944,/SUM templeton data hdf need readabl user/SUM,Content of /user/templeton dir-bash-3.2$ hadoop dfs -ls /user/templetonFound 4 items-rw-r--r-- 3 templeton hdfs 107373 2012-05-14 19:53 /user/templeton/hadoop-streaming.jar-rw------- 3 templeton hdfs 35352096 2012-05-14 19:53 /user/templeton/hive.tar.gz-rw------- 3 templeton hdfs 47909478 2012-05-14 19:53 /user/templeton/pig.tar.gz-rw------- 3 templeton hdfs 127652 2012-05-14 19:53 /user/templeton/ugi.jarOnly templeton user can use the jars,0.9.0,0.9.0,0,2,50,1,2,2,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
276,Bug,Resolved,Fixed,site,Major,Suresh Srinivas,49.83831019,0,Suresh Srinivas,2012/07/05 18:29:53 +0100,49.83831019,0,/SUM updat hdf paramet configur descript/SUM,Updating the short description and tooltip long description as follows:Changing the text that affects WebUI as follows: filesystem -&gt; file system HDFS Append Enabled -&gt; Append enabled HDFS WebHDFS Enabled -&gt; WebHDFS enabled Hadoop maximum Java heap size -&gt; Hadoop maximum Java heap size (MB)  Java Heap Size for slave daemons -&gt; Maximum Java heap size for daemons such as Balancer in MB (-Xmx)   NameNode maximum Java heap size -&gt; NameNode initial Java heap size (MB)  Java Heap Size for NameNode -&gt; Initial and minimum Java heap size for NameNode in MB (-Xms)   Hadoop Young Generation heap size -&gt; NameNode new generation size (MB)  Maximum size for New Generation for java heap size -&gt; Default size of Java new generation in MB for NameNode (-XX:NewSize)   DataNode Java heap size -&gt; DataNode maximum Java heap size (MB)  Java Heap Size for DataNode -&gt; Maximum Java heap size for DataNode in MB (-Xmx),0.1.0; ambari-186,0.9.0,0,2,163,1,3,2,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
280,Bug,Resolved,Fixed,,Major,Vikram Dixit K,1.307951389,1.307951389,Vikram Dixit K,2012/05/18 07:05:43 +0100,1.307951389,1.307951389,/SUM cleanup util/SUM,We need an api for the UI to figure out the status of the cluster.,0.9.0,0.9.0,0,2,15,1,2,2,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
283,Bug,Resolved,Fixed,,Major,Vikram Dixit K,1.809756944,1.809756944,Vinod Kumar Vavilapalli,2012/05/18 20:37:47 +0100,1.809756944,1.809756944,/SUM fixup review deploy render/SUM,Currently render of the review and deploy page is messy.,0.9.0,0.9.0,0,3,10,1,2,2,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
287,Bug,Resolved,Fixed,ambari-server; ambari-web,Major,Vikram Dixit K,21.10936343,21.10936343,Vikram Dixit K,2012/06/07 05:27:14 +0100,21.10936343,21.10936343,/SUM add link uninstal index page/SUM,Uninstall link is now hooked into the index page.,0.9.0,0.9.0,0,2,9,1,3,2,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
290,Bug,Resolved,Fixed,ambari-server,Major,Jitendra Nath Pandey,0.002013889,0.002013889,Varun Kapoor,2012/05/17 03:52:12 +0100,0.002013889,0.002013889,/SUM comment addnodeswizardinit js/SUM,Comment in addNodesWizardInit.js.,0.9.0,0.9.0,0,1,3,1,1,1,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
292,Bug,Resolved,Fixed,ambari-web,Major,Jitendra Nath Pandey,0.001990741,0.001990741,Varun Kapoor,2012/05/17 03:58:26 +0100,0.001990741,0.001990741,/SUM html spew review deploy page/SUM,HTML being spewed in the Review+Deploy page.,0.9.0,0.9.0,0,1,7,1,1,1,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
300,Bug,Resolved,Fixed,,Major,Yusaku Sako,0.550150463,0.550150463,Yusaku Sako,2012/05/17 20:56:16 +0100,0.550150463,0.550150463,/SUM chang statu messag success error locat show page summari box rather better visibl/SUM,,0.9.0,0.9.0,0,2,1,1,1,1,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
302,Bug,Resolved,Fixed,,Major,Ramya Sunil,36.78331019,36.78331019,Ramya Sunil,2012/06/23 16:44:49 +0100,36.78331019,36.78331019,/SUM regionserv config hbase localhost/SUM,/etc/hbase/conf/regionserver should correctly populate the slaves list,0.9.0,0.9.0,0,2,7,1,2,2,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
304,Bug,Resolved,Fixed,,Major,Vinod Kumar Vavilapalli,15.10717593,15.10717593,Vinod Kumar Vavilapalli,2012/06/02 01:25:33 +0100,15.10717593,15.10717593,/SUM upgrad yui 3 5 1/SUM,,0.9.0,0.9.0,0,2,1,1,2,2,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
310,Bug,Resolved,Fixed,,Major,Yusaku Sako,14.81775463,14.81775463,Yusaku Sako,2012/06/01 23:48:51 +0100,14.81775463,14.81775463,/SUM extern messag resourc welcom page updat style variou page/SUM,,0.9.0,0.9.0,0,2,1,1,1,1,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
312,Bug,Resolved,Fixed,,Minor,Hitesh Shah,14.24636574,14.24636574,Hitesh Shah,2012/06/01 23:58:33 +0100,14.24636574,14.24636574,/SUM uninstal wipe flag correctli pass puppet/SUM,,0.9.0,0.9.0,0,2,1,1,1,1,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
316,Bug,Resolved,Fixed,,Major,Vinod Kumar Vavilapalli,18.05083333,18.05083333,Vinod Kumar Vavilapalli,2012/06/05 22:46:22 +0100,18.05083333,18.05083333,/SUM grid mount point page let one pass custom mount point/SUM,,0.9.0,0.9.0,0,2,1,1,2,2,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
319,Bug,Resolved,Fixed,ambari-server,Major,Jitendra Nath Pandey,14.11387731,14.11387731,Jitendra Nath Pandey,2012/06/02 01:30:40 +0100,14.11387731,14.11387731,/SUM scale puppet master larg number node/SUM,Scale puppet master to large number of nodes.,0.9.0,0.9.0,0,3,8,1,1,1,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
323,Bug,Resolved,Fixed,ambari-server,Major,Vikram Dixit K,14.07253472,14.07253472,Vikram Dixit K,2012/06/02 01:33:06 +0100,14.07253472,14.07253472,/SUM dure process cluster initi wizard user goe back 1 creat cluster tab user stuck/SUM,,0.9.0,0.9.0,0,1,1,1,1,1,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
326,Bug,Resolved,Fixed,ambari-server,Major,Jitendra Nath Pandey,14.0597338,14.0597338,Jitendra Nath Pandey,2012/06/02 01:39:41 +0100,14.0597338,14.0597338,/SUM depend ad instal phase/SUM,Host level dependencies are being set in running stage as well  which is redundant. It can be assumed that dependencies were installed at install stage.,0.9.0,0.9.0,0,3,25,1,3,2,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
330,Bug,Resolved,Fixed,,Critical,Vinod Kumar Vavilapalli,17.88734954,17.88717593,Varun Kapoor,2012/06/05 22:30:53 +0100,17.88734954,17.88717593,/SUM provid way resum browser crash close deploy progress/SUM,Currently when the browser is closed one cannot view the install in progress. They will have to look at the logs on the hmc machine to figure out whats going on. It would be nice if we can provide a way to get back to the install progress.,0.9.0,0.9.0,0,3,48,1,4,2,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
335,Bug,Resolved,Fixed,,Major,Ramya Sunil,17.08805556,17.08805556,Ramya Sunil,2012/06/05 22:22:52 +0100,17.08805556,17.08805556,/SUM redund download even though artifact alreadi instal/SUM,Artifacts (such as mysql-connector.zip  hive.tar.gz  pig.tar.gz  ext.zip) are being downloaded even though they are previously installed leading to additional execution time.,0.9.0,0.9.0,0,2,21,1,2,1,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
338,Bug,Resolved,Fixed,ambari-server,Major,Vikram Dixit K,17.02959491,16.99516204,Vikram Dixit K,2012/06/05 22:32:54 +0100,17.02959491,16.99516204,/SUM cluster statu updat need happen stage instal wizard/SUM,Cluster status should be updated in db for each stage of the installation wizard. This is used to enable restart of browser and also showing status of the cluster on the index page.,0.9.0,0.9.0,0,1,33,1,1,1,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
339,Bug,Resolved,Fixed,ambari-web,Major,Vikram Dixit K,17.06456019,16.91337963,Vikram Dixit K,2012/06/05 23:34:28 +0100,17.06456019,16.91337963,/SUM make transitiontonextstag robust/SUM,If the currentStage is null  we should not proceed with a transition.,0.9.0,0.9.0,0,1,12,1,1,1,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
349,Bug,Resolved,Fixed,ambari-server; ambari-web,Major,Vikram Dixit K,16.84759259,16.84759259,Vikram Dixit K,2012/06/05 23:52:05 +0100,16.84759259,16.84759259,/SUM log case error uninstal need fix/SUM,Logs disappear post uninstall because the transaction is also cleaned from the db.,0.9.0,0.9.0,0,1,13,1,1,1,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
352,Bug,Resolved,Fixed,,Major,Yusaku Sako,33.87958333,33.87958333,Yusaku Sako,2012/06/23 16:34:30 +0100,33.87958333,33.87958333,/SUM add flow control forc redirect appropri page base cluster configur statu better usabl/SUM,If no cluster has been set up yet  redirect to the welcome page.If a cluster is being configured (but has not gone thru deployment)  redirect to Step 1 of the cluster init wizard.If a cluster is being deployed  redirect to the deployment progress page.If a cluster has gone thru deployment but failed  redirect to the re-install page.If a cluster has gone thru deployment and succeed  do not perform any forced redirect.,0.9.0,0.9.0,0,1,71,1,1,1,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
357,Bug,Resolved,Fixed,,Major,Yusaku Sako,33.67368056,33.67368056,Yusaku Sako,2012/06/23 16:28:38 +0100,33.67368056,33.67368056,/SUM redesign master servic assign page take less vertic space/SUM,,0.9.0,0.9.0,0,1,1,1,1,1,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
362,Bug,Resolved,Fixed,ambari-server,Major,Vikram Dixit K,16.70259259,16.70259259,Vikram Dixit K,2012/06/06 21:40:18 +0100,16.70259259,16.70259259,/SUM creat lock file part rpm instal/SUM,Lock file is being created as part of create cluster. This is brittle and needs to be done as part of the rpm install.,0.9.0,0.9.0,0,1,24,1,1,1,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
366,Bug,Resolved,Fixed,,Major,Varun Kapoor,16.03665509,16.03665509,Varun Kapoor,2012/06/06 21:55:17 +0100,16.03665509,16.03665509,/SUM packag font subdirectori hmc rpm/SUM,The new fonts/ subdirectory used for the buttons on the ManageServices page isn't packaged up.,0.9.0,0.9.0,0,2,15,1,2,2,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
369,Bug,Resolved,Fixed,,Major,Yusaku Sako,15.94711806,15.94711806,Yusaku Sako,2012/06/06 22:04:46 +0100,15.94711806,15.94711806,/SUM improv servic manag page gener popup style/SUM,,0.9.0,0.9.0,0,2,1,1,1,1,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
371,Bug,Resolved,Fixed,ambari-server,Major,Jitendra Nath Pandey,15.88491898,15.88491898,Jitendra Nath Pandey,2012/06/06 22:06:06 +0100,15.88491898,15.88491898,/SUM mysql packag sent instal uninstal/SUM,Mysql packages not being sent during install and uninstall.,0.9.0,0.9.0,0,2,9,1,1,1,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
377,Bug,Resolved,Fixed,ambari-server,Major,Jitendra Nath Pandey,15.61756944,15.61756944,Jitendra Nath Pandey,2012/06/06 22:30:57 +0100,15.61756944,15.61756944,/SUM uninstal handl compon depend/SUM,Uninstall does not handle component dependencies.,0.9.0,0.9.0,0,2,6,1,2,1,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
386,Bug,Resolved,Fixed,,Major,Hitesh Shah,14.96928241,14.96928241,Hitesh Shah,2012/06/06 22:58:39 +0100,14.96928241,14.96928241,/SUM On singl node instal instal compon recommend num map reduc task high/SUM,Use lower count of maps/reduce slots for a single node install.,0.9.0,0.9.0,0,2,11,1,1,1,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
393,Bug,Resolved,Fixed,,Major,Mahadev konar,14.15138889,14.15138889,Mahadev konar,2012/06/06 23:11:34 +0100,14.15138889,14.15138889,/SUM zookeep myid file exist ZK instal/SUM,ZooKeeper myid files not existent on ZK install.,0.9.0,0.9.0,0,2,8,1,1,1,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
394,Bug,Resolved,Fixed,ambari-server,Major,Vikram Dixit K,14.07023148,14.07023148,Vikram Dixit K,2012/06/06 23:13:02 +0100,14.07023148,14.07023148,/SUM add node fail find node db/SUM,Host not found in db error on assign nodes page,0.9.0,0.9.0,0,1,11,1,1,1,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
399,Bug,Resolved,Fixed,,Major,Yusaku Sako,13.99981481,13.99981481,Yusaku Sako,2012/06/06 23:26:35 +0100,13.99981481,13.99981481,/SUM cannot uninstal page hang spin icon/SUM,,0.9.0,0.9.0,0,2,1,1,1,1,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
401,Bug,Resolved,Fixed,ambari-server,Major,Jitendra Nath Pandey,13.95993056,13.64850694,Jitendra Nath Pandey,2012/06/06 23:28:01 +0100,13.95993056,13.64850694,/SUM manual config chang nn get reset stop start hmc/SUM,Manual config changes for nn get reset on stop/start from hmc,0.9.0,0.9.0,0,2,11,1,1,1,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
402,Bug,Resolved,Fixed,ambari-server,Major,Vikram Dixit K,13.93086806,13.93086806,Varun Kapoor,2012/06/06 23:29:20 +0100,13.93086806,13.93086806,/SUM complet success add node take one initi cluster page start scratch/SUM,,0.9.0,0.9.0,0,2,1,1,2,2,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
404,Bug,Resolved,Fixed,,Major,Yusaku Sako,13.81210648,13.80710648,Yusaku Sako,2012/06/06 23:43:36 +0100,13.81210648,13.80710648,/SUM unifi top nav monitor cluster manag/SUM,,0.9.0,0.9.0,0,2,1,1,1,1,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
414,Bug,Resolved,Fixed,,Major,Mahadev konar,12.26902778,12.26902778,Mahadev konar,2012/06/07 01:32:57 +0100,12.26902778,12.26902778,/SUM add rpm spec hmc agent/SUM,Add rpm spec for hmc agent.,0.9.0,0.9.0,0,2,6,1,2,2,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
415,Bug,Resolved,Fixed,,Minor,Hitesh Shah,12.24784722,12.24784722,Hitesh Shah,2012/06/07 01:34:54 +0100,12.24784722,12.24784722,/SUM reset servic back origin state reconfigur/SUM,,0.9.0,0.9.0,0,2,1,1,1,1,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
420,Bug,Resolved,Fixed,,Major,Yusaku Sako,12.23387731,12.23387731,Yusaku Sako,2012/06/07 01:41:26 +0100,12.23387731,12.23387731,/SUM improv style error log popup/SUM,,0.9.0,0.9.0,0,2,1,1,2,1,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
426,Bug,Resolved,Fixed,,Major,Ramya Sunil,12.13486111,12.13486111,Ramya Sunil,2012/06/07 00:22:48 +0100,12.13486111,12.13486111,/SUM reinstal cluster failur instal result failur/SUM,According to Bikas:I tried to install a single node cluster. That failed for some random issue.I was presented an option to reinstall.I clicked on that option and it asked me to uninstall.I chose uninstall and wipe data option.Uninstall failed.This happened because the install did not complete in the first place.Thu May 24 17:45:28 -0400 2012 /Stage17/Hdp-oozie::Service/Hdp-oozie::Service::Createsymlinks/usr/lib/oozie/oozie-server/lib/mapred-site.xml/File/usr/lib/oozie/oozie-server/lib/mapred-site.xml/ensure (err): change from absent to present failed: Could not set 'present on ensure: No such file or directory - /usr/lib/oozie/oozie-server/lib/mapred-site.xml at /etc/puppet/agent/modules/hdp-oozie/manifests/service.pp:61,0.9.0,0.9.0,0,2,78,1,1,1,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
