@Relation 2_ambari_Performance_str
@attribute auth {48.0,45.0,30.0,41.0,4.0,34.0,8.0,18.0,6.0,52.0,23.0,25.0,5.0,54.0,19.0,42.0,43.0,21.0,33.0,9.0,2.0,13.0,29.0,31.0,49.0,35.0,7.0,28.0,44.0,38.0,26.0,40.0}
@attribute lex0 numeric
@attribute lex2 numeric
@attribute comp0 {0.0,1.0}
@attribute comp1 {0.0,1.0}
@attribute comp2 {0.0,1.0}
@attribute comp3 {0.0,1.0}
@attribute comp4 {0.0,1.0}
@attribute comp5 {0.0,1.0}
@attribute prob0 numeric
@attribute prob1 numeric
@attribute target {0,1}
@data
33.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
28.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.44,0.56,1
13.0,0.086,0.997,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
6.0,0.667,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.01,0.99,1
41.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
40.0,0.115,0.995,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
5.0,0.15,0.991,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.99,0.01,1
23.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
54.0,0.103,0.996,0.0,1.0,0.0,0.0,0.0,0.0,0.447,0.553,1
54.0,0.12,0.995,0.0,1.0,0.0,0.0,0.0,0.0,0.495,0.505,1
40.0,0.071,0.997,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
29.0,0.182,0.98,1.0,0.0,0.0,0.0,0.0,0.0,0.673,0.327,1
54.0,0.222,0.969,0.0,1.0,0.0,0.0,0.0,0.0,0.467,0.533,0
29.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0
29.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.615,0.385,0
29.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.678,0.322,0
29.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.005,0.995,0
23.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.446,0.554,0
29.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
54.0,0.154,0.986,0.0,1.0,0.0,0.0,0.0,0.0,0.748,0.252,1
52.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.924,0.076,0
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
41.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.9,1
52.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.882,0.118,0
52.0,0.036,0.999,0.0,1.0,0.0,0.0,0.0,0.0,0.9,0.1,0
42.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.721,0.279,0
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.809,0.191,0
54.0,0.048,0.998,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.4,0
40.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.9,0
40.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3,0.7,0
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,0.3,0
42.0,0.049,0.999,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.4,0
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.657,0.343,0
40.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3,0.7,0
40.0,0.042,0.998,0.0,1.0,0.0,0.0,0.0,0.0,0.149,0.851,0
40.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0
43.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0
43.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.938,0.062,0
40.0,0.0,0.995,0.0,1.0,0.0,0.0,0.0,0.0,0.786,0.214,0
40.0,0.167,0.984,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.8,0
43.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.599,0.401,0
45.0,0.059,0.996,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0
40.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
23.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.692,0.308,0
43.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.223,0.777,0
40.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.204,0.796,0
23.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
40.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9,0.1,0
23.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.71,0.29,0
23.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.209,0.791,0
41.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.964,0.036,0
41.0,0.103,0.996,0.0,1.0,0.0,0.0,0.0,0.0,0.439,0.561,0
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.992,0.008,0
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.181,0.819,0
43.0,0.032,0.999,1.0,0.0,0.0,0.0,0.0,0.0,0.402,0.598,0
43.0,0.0,0.998,1.0,0.0,0.0,0.0,0.0,0.0,0.752,0.248,0
30.0,0.022,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.899,0.101,0
23.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.574,0.426,0
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.832,0.168,0
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.611,0.389,0
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.544,0.456,0
41.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.793,0.207,0
29.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.793,0.207,1
41.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.744,0.256,0
41.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.653,0.347,0
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.642,0.358,0
23.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.628,0.372,0
40.0,0.03,0.999,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.4,0
23.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.646,0.354,0
43.0,0.0,0.997,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
43.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.914,0.086,0
43.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0
43.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.342,0.658,0
43.0,0.032,0.999,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0
40.0,0.016,0.999,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0
40.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3,0.7,0
40.0,0.053,0.997,0.0,1.0,0.0,0.0,0.0,0.0,0.713,0.287,0
9.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.685,0.315,0
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.686,0.314,0
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.101,0.899,0
40.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.4,0
34.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.198,0.802,0
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.986,0.014,0
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.477,0.523,0
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.6,0
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.877,0.123,0
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.895,0.105,0
43.0,0.028,0.999,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0
34.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.179,0.821,0
40.0,0.032,0.998,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,1
40.0,0.01,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.9,1
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.987,0.013,0
54.0,0.0,0.952,0.0,1.0,0.0,0.0,0.0,0.0,0.196,0.804,0
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.661,0.339,0
19.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8,0.2,0
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.291,0.709,0
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.632,0.368,0
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,0.3,0
40.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,0.3,0
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.507,0.493,0
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.473,0.527,0
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.925,0.075,0
43.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.599,0.401,0
