issue_id,summary_col,description_col,target_Security,target_Performance
363, camel cxf compon deal except messag MESSAGE dataFormat camel cxf compon deal except messag MESSAGE data format, willem JiangTo camel user activemq apach orgSubject camel cxf throw faultDate wed mar repli camel user activemq apach orgHi marc look like camel cxf compon issu deal except messag MESSAGE dataFormat could fill JIRA fix later week usual need throw except processor CXF tri marshal soap fault regard WillemMarc giger wrote gt Hi gt gt tri get follow camel rout work gt dataformat MESSAGE gt gt lt uri cxf bean routerEndpoint dataFormat MESSAGE gt gt lt process ref decryptProcessor gt gt lt choic gt gt lt gt gt lt methodCall bean endpointSelector method match gt gt lt uri cxf bean serviceEndpoint dataFormat MESSAGE gt gt lt gt gt lt otherwis gt gt lt uri cxf bean localEndpoint dataFormat MESSAGE gt gt lt otherwis gt gt lt choic gt gt gt endpointSelector bean return true request redirect gt remot webservic gt otherwis request forward local cxf servic gt local transport gt gt invok routerEndpoint somewher pipelin gt happen except case decryptProcessor get gt follow except outFault chain gt gt mar PM org apach cxf phase PhaseInterceptorChain gt doIntercept INFO interceptor thrown except unwind gt org apach cxf interceptor fault gt gt org apach camel compon cxf interceptor RawMessageContentRedirectInterceptor handleMessage RawMessageContentRedirectInterceptor java gt gt org apach cxf phase PhaseInterceptorChain doIntercept PhaseInterceptorChain java gt gt org apach cxf interceptor OutgoingChainInterceptor handleMessage OutgoingChainInterceptor java gt gt org apach cxf phase PhaseInterceptorChain doIntercept PhaseInterceptorChain java gt gt org apach cxf transport ChainInitiationObserver onMessage ChainInitiationObserver java gt gt org apach cxf transport servlet ServletDestination doMessage ServletDestination java gt gt org apach cxf transport servlet ServletController invokeDestination ServletController java gt gt org apach cxf transport servlet ServletController invok ServletController java gt gt org apach cxf transport servlet AbstractCXFServlet invok AbstractCXFServlet java gt gt org apach cxf transport servlet AbstractCXFServlet doPost AbstractCXFServlet java gt javax servlet http HttpServlet servic HttpServlet java gt javax servlet http HttpServlet servic HttpServlet java gt org mortbay jetti servlet ServletHolder handl ServletHolder java gt gt org mortbay jetti servlet ServletHandler handl ServletHandler java gt gt org mortbay jetti secur SecurityHandler handl SecurityHandler java gt gt org mortbay jetti servlet SessionHandler handl SessionHandler java gt gt org mortbay jetti handler ContextHandler handl ContextHandler java gt gt org mortbay jetti webapp WebAppContext handl WebAppContext java gt gt org mortbay jetti handler ContextHandlerCollection handl ContextHandlerCollection java gt gt org mortbay jetti handler HandlerCollection handl HandlerCollection java gt gt org mortbay jetti handler HandlerWrapper handl HandlerWrapper java gt org mortbay jetti server handl server java gt org mortbay jetti HttpConnection handleRequest HttpConnection java gt gt org mortbay jetti HttpConnection RequestHandler content HttpConnection java gt org mortbay jetti HttpParser parseNext HttpParser java gt org mortbay jetti HttpParser parseAvailable HttpParser java gt org mortbay jetti HttpConnection handl HttpConnection java gt org mortbay io nio SelectChannelEndPoint run SelectChannelEndPoint java gt gt org mortbay thread BoundedThreadPool PoolThread run BoundedThreadPool java gt caus java lang NullPointerException gt org apach common io IOUtils copyLarge IOUtils java gt org apach common io IOUtils copi IOUtils java gt org apach camel compon cxf interceptor RawMessageContentRedirectInterceptor handleMessage RawMessageContentRedirectInterceptor java gt gt gt InputStream null gt RawMessageContentRedirectInterceptor gt gt public void handleMessage messag messag throw fault gt gt InputStream messag getContent InputStream class gt OutputStream os messag getContent OutputStream class gt gt tri gt IOUtils copi os gt close gt os flush gt catch except gt throw new fault gt gt gt gt return custom soap fault processor filter gt gt thank gt gt marc gt gt willem jiang camel user activemq apach org subject camel cxf throw fault date wed mar repli camel user activemq apach org Hi marc look like camel cxf compon issu deal except messag MESSAGE data format could fill JIRA fix later week usual need throw except processor CXF tri marshal soap fault regard willem marc giger wrote gt Hi gt gt tri get follow camel rout work gt dataformat MESSAGE gt gt lt uri cxf bean router endpoint data format MESSAGE gt gt lt process ref decrypt processor gt gt lt choic gt gt lt gt gt lt method call bean endpoint selector method match gt gt lt uri cxf bean servic endpoint data format MESSAGE gt gt lt gt gt lt otherwis gt gt lt uri cxf bean local endpoint data format MESSAGE gt gt lt otherwis gt gt lt choic gt gt gt endpoint selector bean return true request redirect gt remot webservic gt otherwis request forward local cxf servic gt local transport gt gt invok router endpoint somewher pipelin gt happen except case decrypt processor get gt follow except fault chain gt gt mar PM org apach cxf phase phase interceptor chain gt intercept INFO interceptor thrown except unwind gt org apach cxf interceptor fault gt gt org apach camel compon cxf interceptor raw messag content redirect interceptor handl messag raw messag content redirect interceptor java gt gt org apach cxf phase phase interceptor chain intercept phase interceptor chain java gt gt org apach cxf interceptor outgo chain interceptor handl messag outgo chain interceptor java gt gt org apach cxf phase phase interceptor chain intercept phase interceptor chain java gt gt org apach cxf transport chain initi observ messag chain initi observ java gt gt org apach cxf transport servlet servlet destin messag servlet destin java gt gt org apach cxf transport servlet servlet control invok destin servlet control java gt gt org apach cxf transport servlet servlet control invok servlet control java gt gt org apach cxf transport servlet abstract CXF servlet invok abstract CXF servlet java gt gt org apach cxf transport servlet abstract CXF servlet post abstract CXF servlet java gt javax servlet http http servlet servic http servlet java gt javax servlet http http servlet servic http servlet java gt org mortbay jetti servlet servlet holder handl servlet holder java gt gt org mortbay jetti servlet servlet handler handl servlet handler java gt gt org mortbay jetti secur secur handler handl secur handler java gt gt org mortbay jetti servlet session handler handl session handler java gt gt org mortbay jetti handler context handler handl context handler java gt gt org mortbay jetti webapp web app context handl web app context java gt gt org mortbay jetti handler context handler collect handl context handler collect java gt gt org mortbay jetti handler handler collect handl handler collect java gt gt org mortbay jetti handler handler wrapper handl handler wrapper java gt org mortbay jetti server handl server java gt org mortbay jetti http connect handl request http connect java gt gt org mortbay jetti http connect request handler content http connect java gt org mortbay jetti http parser pars next http parser java gt org mortbay jetti http parser pars avail http parser java gt org mortbay jetti http connect handl http connect java gt org mortbay io nio select channel end point run select channel end point java gt gt org mortbay thread bound thread pool pool thread run bound thread pool java gt caus java lang null pointer except gt org apach common io IO util copi larg IO util java gt org apach common io IO util copi IO util java gt org apach camel compon cxf interceptor raw messag content redirect interceptor handl messag raw messag content redirect interceptor java gt gt gt input stream null gt raw messag content redirect interceptor gt gt public void handl messag messag messag throw fault gt gt input stream messag get content input stream class gt output stream os messag get content output stream class gt gt tri gt IO util copi os gt close gt os flush gt catch except gt throw new fault gt gt gt gt return custom soap fault processor filter gt gt thank gt gt marc gt gt,0,0
370, SftpConsumer connect retriev remot file sftp consum connect retriev remot file, SftpConsumer connect server due patch CAMEL SftpConsumer also check remot file modif timestamp last poll timestamp incorrectli convert second millisecond use integ math result convers alway neg never retriev file attach fix issu sftp consum connect server due patch CAMEL sftp consum also check remot file modif timestamp last poll timestamp incorrectli convert second millisecond use integ math result convers alway neg never retriev file attach fix issu,0,0
371, mina produc configur timeout mina produc configur timeout, current camel mina produc MinaProducer default sec timeout current possibl configur eg URL paramet etc also document wiki sec default current camel mina produc mina produc default sec timeout current possibl configur eg URL paramet etc also document wiki sec default,0,0
374, HttpBinding writeResponse set respons statu code alway http bind write respons set respons statu code alway, write http respons HttpBinding check exist header HttpProducer HTTP_RESPONSE_CODE set respons allow request made via http compon output correct statu code info also allow processor flow control statu code set header write http respons http bind check exist header http produc HTTP RESPONSE CODE set respons allow request made via http compon output correct statu code info also allow processor flow control statu code set header,0,0
375, camel mina improv camel mina improv, ticket hold refer variou camel mina improv bugfix late ticket hold refer variou camel mina improv bugfix late,0,0
384, support full custom soap fault incl fault code detail support full custom soap fault incl fault code detail, wrap fault fault wrap fault fault,0,0
389, parallel process rout parallel process rout, ad support user stori CXF consum gt rout gt parallelli send messag reciev respons gt aggreg respons gt process gt returnHere inform stori http www nabbl com parallel process rout td html ad support user stori CXF consum gt rout gt parallelli send messag reciev respons gt aggreg respons gt process gt return inform stori http www nabbl com parallel process rout td html,0,1
394, improv log camel mina improv log camel mina, current camel mina log use similar log classnam MinaProducer MinaConsumer bit mislead log file MinaConsumer use anonym inner class IoHandler MinaProducer render loglin asMinaConsumer XXXMinaProducer RecieveHandler XXXMinaConsumer use non anonym inner class log MinaConsumer RecieveHandler XXXMinaProducer ResponseHandler XXX current camel mina log use similar log classnam mina produc mina consum bit mislead log file mina consum use anonym inner class Io handler mina produc render loglin mina consum XXX mina produc reciev handler XXX mina consum use non anonym inner class log mina consum reciev handler XXX mina produc respons handler XXX,0,0
395, MinaProducer wait MINA worker thread timeout stop JVM standalon client mina produc wait MINA worker thread timeout stop JVM standalon client, work camel mina exampl sampl start MinaProducer send data TCP server sampl termin JVM wait second MINA worker thread time default sec workaround use system exit termin client JVM immedi run client JUnit test also fact termin JVM immedi code demonstr run JUnit run within second run standard java main app termin secondsThe code test work patch fix got fix want better unit test public class MinaProducerTest extend ContextTestSupport public static void main string arg throw except MinaProducerTest test new MinaProducerTest test producerRunningFromMain privat void producerRunningFromMain throw except long start system currentTimeMillis system println start context new DefaultCamelContext context addRoutes createRouteBuilder context start testProducer context stop system println stop long end system currentTimeMillis assertTrue stop within second end start lt TODO add shutdown hook verifi stop second mock privat static final string uri mina tcp localhost textlin true protect RouteBuilder createRouteBuilder return new RouteBuilder public void configur uri mock result public void testProducer throw except MockEndpoint mock getMockEndpoint mock result mock expectedBodiesReceived hello world endpoint endpoint context getEndpoint uri produc produc endpoint createProducer exchang exchang endpoint createExchange exchang getIn setBody hello world produc start produc process exchang produc stop assertMockEndpointsSatisifed TODO test use mock requir mani codelin mock produc endpoint etc work camel mina exampl sampl start mina produc send data TCP server sampl termin JVM wait second MINA worker thread time default sec workaround use system exit termin client JVM immedi run client unit test also fact termin JVM immedi code demonstr run unit run within second run standard java main app termin second code test work patch fix got fix want better unit test public class mina produc test extend context test support public static void main string arg throw except mina produc test test new mina produc test test produc run main privat void produc run main throw except long start system current time milli system println start context new default camel context context add rout creat rout builder context start test produc context stop system println stop long end system current time milli assert true stop within second end start lt TODO add shutdown hook verifi stop second mock privat static final string uri mina tcp localhost textlin true protect rout builder creat rout builder return new rout builder public void configur uri mock result public void test produc throw except mock endpoint mock get mock endpoint mock result mock expect bodi receiv hello world endpoint endpoint context get endpoint uri produc produc endpoint creat produc exchang exchang endpoint creat exchang exchang get set bodi hello world produc start produc process exchang produc stop assert mock endpoint satisif TODO test use mock requir mani codelin mock produc endpoint etc,0,1
404, javadoc warn javadoc warn, get javadoc warn report javadoc gener fix get javadoc warn report javadoc gener fix,0,0
410, except handl ErrorHandlerSupport class except handl error handler support class, configur rout builder say want configur two except let say NullPointer except say bean call end point throw NullPointer think NullPointer polici would handl except well see sometim sometim due map keep except particular order anyway could chang LinkedHashMap list issu class org apach camel processor ErrorHandlerSupport configur rout builder say want configur two except let say null pointer except say bean call end point throw null pointer think null pointer polici would handl except well see sometim sometim due map keep except particular order anyway could chang link hash map list issu class org apach camel processor error handler support,0,0
424, improv FTP compon wiki document improv FTP compon wiki document, wiki document FTP usag could improv java code exampl snippet unit test class need convertTo string class ASCII file transfer FTP compon extens file compon inherit behaviour featur option file state precis witch option FTPProducer FTPConsuer use consum use FTP special header key valu remot filenam etc could interest end user mayb produc well wiki document FTP usag could improv java code exampl snippet unit test class need convert string class ASCII file transfer FTP compon extens file compon inherit behaviour featur option file state precis witch option FTP produc FTP consuer use consum use FTP special header key valu remot filenam etc could interest end user mayb produc well,0,0
426, splitter parallel process function multicast splitter parallel process function multicast, abil havefrom direct parallel splitter bodi token true mock result true paramet splitter behav like multicast process done separ thread part abil havefrom direct parallel splitter bodi token true mock result true paramet splitter behav like multicast process done separ thread part,0,1
443, improv file compon wiki improv file compon wiki, ad two miss option discov miss creat ticket get done file compon sever option document wiki yet also javadoc improv provid better java sampl wiki ad two miss option discov miss creat ticket get done file compon sever option document wiki yet also javadoc improv provid better java sampl wiki,0,0
448, upgrad OpenJPA upgrad open JPA, OpenJPA releas onward requir chang ant build pom xmlIt requir persist xml file use open JPA releas onward requir chang ant build pom xml requir persist xml file use,0,0
456, invalid jar binari distribut invalid jar binari distribut, apach camel jar binari distribut miss lot file includ class schema file size compar releas jar apach camel jar binari distribut miss lot file includ class schema file size compar releas jar,0,0
457, camel rais except pars xslt file fail camel rais except pars xslt file fail, consid camel rout involv xslt compon camel set rout XsltBuilder ignor error come xerc xml parser continu construct rout even though xslt transform initi later rout execut camel correctli check transform initi rais error java lang IllegalArgumentException transform configur howev case pars error xslt file whole rout becom unus setup routin construct rout fail appropri error messag saniti check need ad methodorg apach camel builder xml XsltBuilder setTransformerSource javax xml transform sourc consid camel rout involv xslt compon camel set rout xslt builder ignor error come xerc xml parser continu construct rout even though xslt transform initi later rout execut camel correctli check transform initi rais error java lang illeg argument except transform configur howev case pars error xslt file whole rout becom unus setup routin construct rout fail appropri error messag saniti check need ad methodorg apach camel builder xml xslt builder set transform sourc javax xml transform sourc,0,0
498, file endpoint noop true detect old file move directori file endpoint noop true detect old file move directori,,0,0
