issue_id,reporter,component,keywords,summary_proc,description_proc,Performance,files
100,Mamta A. Satoor,JDBC,0, add support insert function use jdbc updat resultset api, jdbc api introduc abil updat delet insert row resultset use method java program languag rather send sql command jira entri track insert row function use jdbc api,0,java/client/org/apache/derby/client/am/ResultSet.java;java/client/org/apache/derby/client/am/ResultSet.java;java/engine/org/apache/derby/impl/jdbc/EmbedResultSet.java;java/engine/org/apache/derby/loc/messages_en.properties;java/engine/org/apache/derby/loc/messages_pt_BR.properties;java/shared/org/apache/derby/shared/common/reference/SQLState.java;java/testing/org/apache/derbyTesting/functionTests/master/DerbyNetClient/jdk14/updatableResultSet.out;java/testing/org/apache/derbyTesting/functionTests/master/DerbyNetClient/updatableResultSet.out;java/testing/org/apache/derbyTesting/functionTests/master/jdk14/updatableResultSet.out;java/testing/org/apache/derbyTesting/functionTests/master/updatableResultSet.out;java/testing/org/apache/derbyTesting/functionTests/tests/lang/updatableResultSet.java;
117,Felipe Leme,Network Server,0, patch improv net servlet, hi minor enhanc net servlet chang cloudscap derbi bundl ad pt bt know languag bundl alreadi languag set java improv use trace directori init paramet use document use current valu shown user tri chang improv function handl request local instanc mozilla use instead separ countri languag show screen port server run ad new srv ort number messag key info send trunk patch chang felip,0,java/drda/org/apache/derby/drda/NetServlet.java;java/drda/org/apache/derby/loc/drda/servlet_en.properties;java/drda/org/apache/derby/loc/drda/servlet_pt_BR.properties;java/drda/org/apache/derby/loc/drda/servlet_de_DE.properties;java/drda/org/apache/derby/loc/drda/servlet_es.properties;java/drda/org/apache/derby/loc/drda/servlet_fr.properties;java/drda/org/apache/derby/loc/drda/servlet_it.properties;
122,Daniel John Debrunner,Test,0, suit jdk skip incorrectli se, sinc se super set jdk jdk test run se,0,
123,Geoff Soutter,SQL,0, derbi incorrectli round doubl valu insert numer, insert doubl valu field defin numer use prepar statement set doubl derbi may incorrectli round number exampl numer field doubl end valu databas work fine oracl databas problem occur doubl cannot repres exactli actual valu sql decim set core valu use big decim doubl construct big decim sql decim set width use valu set scale desir scale big decim round note big decim javadoc recommend doubl constructor avoid reason one fix appear chang sql decim set core valu doubl avoid use doubl constructor big decim use doubl string big decim string look would work expect doubl string special round abil convert back,0,java/engine/org/apache/derby/iapi/types/SQLDecimal.java;java/engine/org/apache/derby/iapi/types/SQLDouble.java;java/engine/org/apache/derby/iapi/types/SQLReal.java;java/engine/org/apache/derby/iapi/types/UserType.java;java/testing/org/apache/derbyTesting/functionTests/master/dml099.out;java/testing/org/apache/derbyTesting/functionTests/master/ejbql.out;java/testing/org/apache/derbyTesting/functionTests/master/floattypes.out;java/testing/org/apache/derbyTesting/functionTests/master/outparams.out;java/testing/org/apache/derbyTesting/functionTests/master/parameterMapping.out;
127,Thomas Browne,SQL,0, alias column recogn group order combin, work tri integr derbi mondrian rolap engin uncov bug derbi queri involv column alias group claus order claus exampl mondrian gener follow queri select store store countri store store state store store citi store store name store store type store store manag store store sqft store groceri sqft store frozen sqft store meat sqft store coffe bar store store street address store store group store store countri store store state store store citi store store name store store type store store manag store store sqft store groceri sqft store frozen sqft store meat sqft store coffe bar store store street address order store store countri store store state store store citi store store nam ewhich valid sql test queri outsid mondrian environ still receiv error column store store countri tabl list appear within join specif outsid scope join specif appear claus group list sql state error code howev remov one three element alias group order order use alias name queri work combin element caus problem ie follow queri work correctli select store store countri store store state store store citi store store name store store type store store manag store store sqft store groceri sqft store frozen sqft store meat sqft store coffe bar store store street address store store group store store countri store store state store store citi store store name store store type store store manag store store sqft store groceri sqft store frozen sqft store meat sqft store coffe bar store store street address order store store countri store store state store store citi store store nam eselect store store countri store store state store store citi store store name store store type store store manag store store sqft store groceri sqft store frozen sqft store meat sqft store coffe bar store store street address store store group store store countri store store state store store citi store store name store store type store store manag store store sqft store groceri sqft store frozen sqft store meat sqft store coffe bar store store street addr sselect store store countri store store state store store citi store store name store store type store store manag store store sqft store groceri sqft store frozen sqft store meat sqft store coffe bar store store street address store store order store store countri store store state store store citi store store nam eselect store store countri store store state store store citi store store name store store type store store manag store store sqft store groceri sqft store frozen sqft store meat sqft store coffe bar store store street address store store group store store countri store store state store store citi store store name store store type store store manag store store sqft store groceri sqft store frozen sqft store meat sqft store coffe bar store store street address order,0,java/engine/org/apache/derby/impl/sql/compile/OrderByColumn.java;java/engine/org/apache/derby/impl/sql/compile/ResultColumnList.java;java/engine/org/apache/derby/impl/sql/compile/TableName.java;java/engine/org/apache/derby/impl/sql/compile/sqlgrammar.jj;java/testing/org/apache/derbyTesting/functionTests/master/orderby.out;java/testing/org/apache/derbyTesting/functionTests/tests/lang/orderby.sql;
128,Kathey Marsden,Network Server,0, network server give npe sql except null argument error xbm, network server network server throw npe one argument sql except null reproduc tri creat databas root directori linux run secur manag trace came extra url sin jvm java issu network server throw npe one argument sql except null code argument variabl part messag object arg ce get argument int arg null amp amp lt arg length sqlerrmc arg string separ except seem null argument seem right error xbm directori sin jvm test db cannot creat error xbm directori sin jvm test db cannot creat org apach derbi iapi error standard except new except standard except java org apach derbi impl servic monitor persist servic impl run persist servic impl java java secur access control privileg nativ method org apach derbi impl servic monitor persist servic impl creat servic root persist servic impl java org apach derbi impl servic monitor base monitor boot servic base monitor java org apach derbi impl servic monitor base monitor creat persist servic base monitor java org apach derbi iapi servic monitor monitor creat persist servic monitor java org apach derbi impl jdbc emb connect creat databas emb connect java org apach derbi impl jdbc emb connect lt init gt emb connect java org apach derbi impl jdbc emb connect lt init gt emb connect java org apach derbi impl jdbc emb connect lt init gt emb connect java org apach derbi jdbc driver get new emb connect driver java org apach derbi jdbc driver connect driver java org apach derbi impl drda databas make connect databas java org apach derbi impl drda drda conn thread get conn databas name drda conn thread java org apach derbi impl drda drda conn thread verifi user id password drda conn thread java org apach derbi impl drda drda conn thread pars secchk drda conn thread java org apach derbi impl drda drda conn thread pars drda connect drda conn thread java org apach derbi impl drda drda conn thread exchang server attribut drda conn thread java org apach derbi impl drda drda conn thread session initi state drda conn thread java org apach derbi impl drda drda conn thread run drda conn thread java cleanup action complet gmt thread drda conn thread derbi daemon databas sin jvm test db drdaid fail creat databas sin jvm test db see next except detail gmt thread drda conn thread derbi daemon databas sin jvm test db drdaid directori sin jvm test db cannot creat gmt thread drda conn thread derbi daemon databas sin jvm test db drdaid nf fb fail creat databas sin jvm test db see next except detail gmt thread drda conn thread derbi daemon databas sin jvm test db drdaid nf fb nullnulljava lang null pointer except org apach derbi impl drda drda conn thread write sqlcagrp drda conn thread java org apach derbi impl drda drda conn thread write sqlcard drda conn thread java org apach derbi impl drda drda conn thread pars drda connect drda conn thread java org apach derbi impl drda drda conn thread exchang server attribut drda conn thread java org apach derbi impl drda drda conn thread session initi state drda conn thread java org apach derbi impl drda drda conn thread run drda conn thread java nulljava lang null pointer except org apach derbi impl drda drda conn thread write sqlcagrp drda conn thread java org apach derbi impl drda drda conn thread write sqlcard drda conn thread java org apach derbi impl drda drda conn thread pars drda connect drda conn thread java org apach derbi impl drda drda conn thread exchang server attribut drda conn thread java org apach derbi impl drda drda conn thread session initi state drda conn thread java org apach derbi impl drda drda conn thread run drda conn thread java,0,java/drda/org/apache/derby/impl/drda/DRDAConnThread.java;
129,Mamta A. Satoor,JDBC,0, derbi throw truncat error warn ca ting paramet constant char char bit datatyp data larg datatyp, derbi throw truncat except warn data larg cast constant paramet charact string bit string data type follow ij exampl constant big datatyp get cast toij gt valu cast hello char hel row selectedij gt valu cast char bit data row select follow code snippet use paramet jdbc program execut updat creat tabl ct clob follow formatt load data charact string data org apach derbi test function test util formatt repeat char notic prear statement bound length st con prepar statement insert ct valu cast varchar st set string data derbi throw except ps execut time charact paramet silent truncat st execut,0,java/drda/org/apache/derby/impl/drda/DRDAConnThread.java;java/engine/org/apache/derby/iapi/services/io/CounterOutputStream.java;java/engine/org/apache/derby/iapi/sql/ResultSet.java;java/engine/org/apache/derby/iapi/types/SQLBinary.java;java/engine/org/apache/derby/iapi/types/SQLBit.java;java/engine/org/apache/derby/iapi/types/SQLBlob.java;java/engine/org/apache/derby/iapi/types/SQLChar.java;java/engine/org/apache/derby/iapi/types/SQLVarbit.java;java/engine/org/apache/derby/impl/sql/execute/BasicNoPutResultSetImpl.java;java/engine/org/apache/derby/impl/sql/execute/NoRowsResultSetImpl.java;java/engine/org/apache/derby/impl/sql/execute/TemporaryRowHolderResultSet.java;java/shared/org/apache/derby/shared/common/reference/SQLState.java;java/testing/org/apache/derbyTesting/functionTests/master/LOB.out;java/testing/org/apache/derbyTesting/functionTests/master/Rllmodule1.out;java/testing/org/apache/derbyTesting/functionTests/master/Rllmodule2.out;java/testing/org/apache/derbyTesting/functionTests/master/Rllmodule3.out;java/testing/org/apache/derbyTesting/functionTests/master/Rllmodule4.out;java/testing/org/apache/derbyTesting/functionTests/master/RowLockIso.out;java/testing/org/apache/derbyTesting/functionTests/master/aggbuiltin.out;java/testing/org/apache/derbyTesting/functionTests/master/cast.out;java/testing/org/apache/derbyTesting/functionTests/master/dml083.out;java/testing/org/apache/derbyTesting/functionTests/master/dml149.out;java/testing/org/apache/derbyTesting/functionTests/master/heapscan.out;java/testing/org/apache/derbyTesting/functionTests/master/lockTable.out;java/testing/org/apache/derbyTesting/functionTests/master/readlocks.out;java/testing/org/apache/derbyTesting/functionTests/master/rlliso2multi.out;java/testing/org/apache/derbyTesting/functionTests/master/rlliso3multi.out;java/testing/org/apache/derbyTesting/functionTests/master/rollForwardRecovery.out;java/testing/org/apache/derbyTesting/functionTests/master/subqueryFlattening.out;java/testing/org/apache/derbyTesting/functionTests/master/triggerGeneral.out;java/testing/org/apache/derbyTesting/functionTests/master/update.out;java/testing/org/apache/derbyTesting/functionTests/master/updatelocksJDBC30.out;java/testing/org/apache/derbyTesting/functionTests/master/xaAnotherTest.out;java/testing/org/apache/derbyTesting/functionTests/master/xaOffline1.out;java/testing/org/apache/derbyTesting/functionTests/master/xaSimpleNegative.out;java/testing/org/apache/derbyTesting/functionTests/tests/lang/CastingTest.java;java/testing/org/apache/derbyTesting/functionTests/tests/lang/LockTableQuery.subsql;java/testing/org/apache/derbyTesting/functionTests/tests/lang/cast.sql;java/testing/org/apache/derbyTesting/functionTests/tests/store/LockTableQuery.subsql;
132,Mike Matrigali,Store,0, place tabl index compress return space os, derbi tabl index store separ file space fromdelet row eventu reclaim within file use forsubsequ insert file space return toth os unless user call sysc util sysc compress tabl esystem procedur procedur return unus space inth tabl index os get exclus lock thetabl copi row index base tabl newcompress file delet old file prior jdk wasth way return space file os jdk random access file enhanc allow truncat afil would return space end file back toth os order take advantag new featur newcompress featur need derbi assumpt work use futur work willautomat schedul job other background nointeract need dba st phase work willsimpli build procedur work nd phase willb look schedul procedur automat part ofth current background post commit process longer term wouldb best fit new background task monitor couldschedul larger background task balanc prioritiesof system task might includ new onlin compress automat statist gather proactiv delet row reclam propos featur reorgan base tabl index movingempti page end releas space back operatingsystem creat chunk empti page end thefil design run background lock resourcesof tabl short time possibl iterativelyprocess tabl reclaim space heap scan heap page revers order get short term tabl lock process row page andthen commit transact releas lock commit beoptim like intern transact need waitfor synchon write row move requir indexentri row also updat process itwil also take care process commit delet row spacei free end tabl freed back operatingsystem use random access file set length interfac reclaim space btree data page move rather thanrow data page end file move freesmal number page short term tabl lock requir oper look similar current btree merg operationsalreadi implement chunk page free end ofth file return os use mechan asth heap,1,java/engine/org/apache/derby/iapi/db/OnlineCompress.java;java/engine/org/apache/derby/impl/store/access/btree/index/B2I.java;java/engine/org/apache/derby/impl/store/access/btree/index/B2IRowLocking1.java;java/engine/org/apache/derby/impl/store/access/btree/index/B2IRowLocking3.java;java/engine/org/apache/derby/impl/store/access/btree/index/B2IRowLockingRR.java;java/engine/org/apache/derby/impl/store/access/heap/Heap.java;java/engine/org/apache/derby/impl/store/raw/data/StoredPage.java;java/engine/org/apache/derby/impl/store/raw/log/CheckpointOperation.java;java/testing/org/apache/derbyTesting/functionTests/master/OnlineCompressTest.out;java/testing/org/apache/derbyTesting/functionTests/tests/store/BaseTest.java;java/testing/org/apache/derbyTesting/functionTests/tests/store/OnlineCompressTest.java;java/testing/org/apache/derbyTesting/functionTests/tests/store/OnlineCompressTest_derby.properties;java/engine/org/apache/derby/catalog/SystemProcedures.java;java/engine/org/apache/derby/iapi/db/OnlineCompress.java;java/engine/org/apache/derby/iapi/store/access/GroupFetchScanController.java;java/engine/org/apache/derby/iapi/store/access/TransactionController.java;java/engine/org/apache/derby/iapi/store/access/conglomerate/Conglomerate.java;java/engine/org/apache/derby/iapi/store/raw/ContainerHandle.java;java/engine/org/apache/derby/iapi/store/raw/Page.java;java/engine/org/apache/derby/impl/sql/catalog/DataDictionaryImpl.java;java/engine/org/apache/derby/impl/store/access/RAMTransaction.java;java/engine/org/apache/derby/impl/store/access/btree/BTreeController.java;java/engine/org/apache/derby/impl/store/access/btree/BTreeScan.java;java/engine/org/apache/derby/impl/store/access/btree/index/B2I.java;java/engine/org/apache/derby/impl/store/access/conglomerate/GenericScanController.java;java/engine/org/apache/derby/impl/store/access/conglomerate/OpenConglomerate.java;java/engine/org/apache/derby/impl/store/access/conglomerate/RowPosition.java;java/engine/org/apache/derby/impl/store/access/heap/Heap.java;java/engine/org/apache/derby/impl/store/access/heap/HeapCompressScan.java;java/engine/org/apache/derby/impl/store/access/heap/HeapController.java;java/engine/org/apache/derby/impl/store/access/heap/HeapScan.java;java/engine/org/apache/derby/impl/store/access/sort/Scan.java;java/engine/org/apache/derby/impl/store/raw/data/AllocExtent.java;java/engine/org/apache/derby/impl/store/raw/data/AllocPage.java;java/engine/org/apache/derby/impl/store/raw/data/BaseContainer.java;java/engine/org/apache/derby/impl/store/raw/data/BaseContainerHandle.java;java/engine/org/apache/derby/impl/store/raw/data/BasePage.java;java/engine/org/apache/derby/impl/store/raw/data/FileContainer.java;java/engine/org/apache/derby/impl/store/raw/data/InputStreamContainer.java;java/engine/org/apache/derby/impl/store/raw/data/RAFContainer.java;java/engine/org/apache/derby/impl/store/raw/data/StoredPage.java;java/testing/org/apache/derbyTesting/functionTests/master/onlineCompressTable.out;java/testing/org/apache/derbyTesting/functionTests/suites/storetests.runall;java/testing/org/apache/derbyTesting/functionTests/tests/store/BaseTest.java;java/testing/org/apache/derbyTesting/functionTests/tests/store/OnlineCompressTest.java;java/testing/org/apache/derbyTesting/functionTests/tests/store/OnlineCompressTest_app.properties;java/testing/org/apache/derbyTesting/functionTests/tests/store/OnlineCompressTest_derby.properties;java/testing/org/apache/derbyTesting/functionTests/tests/store/copyfiles.ant;java/testing/org/apache/derbyTesting/functionTests/tests/storetests/BaseTest.java;java/testing/org/apache/derbyTesting/functionTests/tests/storetests/copyfiles.ant;java/testing/org/apache/derbyTesting/functionTests/tests/storetests/onlineCompressTable.sql;
153,Jörg von Frantzius,Eclipse Plug-in,0, bad eclips plugin version specif, plugin xml derbi eclips plugin version specif read eclips complain illeg consequ plugin load eclips doc follow say version specif plug version format major minor servic qualifi strip whatev anyway solv problem,0,java/build/org/apache/derbyBuild/eclipse/DerbyEclipsePlugin.java;
167,Christian Rodriguez,SQL,0, insert valu ident column, possibl insert specif valu column defin ident make hard migrat rdbm ss import data dump databas exampl autoincr column sql ident column problem data dump sql file gener insert valu valu cant insert derbi tabl posibl solut abl gener default ident abl disabl ident featur column abl gener column non ident data popul alter tabl add ident column,0,java/engine/org/apache/derby/catalog/DefaultInfo.java;java/engine/org/apache/derby/catalog/types/DefaultInfoImpl.java;java/engine/org/apache/derby/iapi/sql/dictionary/ColumnDescriptor.java;java/engine/org/apache/derby/impl/sql/compile/ColumnDefinitionNode.java;java/engine/org/apache/derby/impl/sql/compile/ResultColumnList.java;java/engine/org/apache/derby/impl/sql/compile/ResultSetNode.java;java/engine/org/apache/derby/impl/sql/compile/sqlgrammar.jj;java/testing/org/apache/derbyTesting/functionTests/master/autoincrement.out;java/testing/org/apache/derbyTesting/functionTests/master/ieptests.out;java/testing/org/apache/derbyTesting/functionTests/tests/lang/autoincrement.sql;java/testing/org/apache/derbyTesting/functionTests/tests/tools/ieptests.sql;java/engine/org/apache/derby/iapi/services/compiler/MethodBuilder.java;java/engine/org/apache/derby/impl/services/bytecode/BCMethod.java;
173,Mamta A. Satoor,Network Server,0, concurr result set network server send concurr statement, work get updat resulset function work network server one issu found network server send concurr statement object realli need send concurr resultset ok past concur read concurreni support derbi support concur updat possibl concurr result set might statement object henc network server send concurr result set object protocol call fix local java drda org apach derbi impl drda drda conn thread java,0,java/drda/org/apache/derby/impl/drda/DRDAConnThread.java;java/testing/org/apache/derbyTesting/functionTests/master/DerbyNet/updatableResultSet.out;java/testing/org/apache/derbyTesting/functionTests/master/DerbyNetClient/updatableResultSet.out;java/testing/org/apache/derbyTesting/functionTests/master/jdk14/updatableResultSet.out;java/testing/org/apache/derbyTesting/functionTests/master/updatableResultSet.out;java/testing/org/apache/derbyTesting/functionTests/tests/lang/updatableResultSet.java;
174,Shreyas Kaushik,JDBC,0, set null work java sql type timestamp, call set null java sql type timestamp throw except follow messag column number messag attempt made get data valu type timestamp data valu type null,0,java/engine/org/apache/derby/iapi/types/SQLBlob.java;java/engine/org/apache/derby/iapi/types/SQLTimestamp.java;java/testing/org/apache/derbyTesting/functionTests/master/prepStmtNull.out;java/testing/org/apache/derbyTesting/functionTests/tests/jdbcapi/prepStmtNull.java;
183,Jack Klebanoff,SQL,0, paramet name requir creat function, statement like creat function char integ return int languag java paramet style java extern name myclass mymethod fail messag error syntax error encount char line column howev creat function char integ return int languag java paramet style java extern name myclass mymethod accept derbi document http incub apach org derbi manual refer sqlj html creat procedur statement sql standard db agre paramet name option,0,java/engine/org/apache/derby/catalog/types/RoutineAliasInfo.java;java/engine/org/apache/derby/impl/sql/compile/CreateAliasNode.java;java/engine/org/apache/derby/impl/sql/compile/sqlgrammar.jj;java/testing/org/apache/derbyTesting/functionTests/master/DerbyNet/jdk16/procedure.out;java/testing/org/apache/derbyTesting/functionTests/master/DerbyNet/procedure.out;java/testing/org/apache/derbyTesting/functionTests/master/DerbyNetClient/jdk14/procedure.out;java/testing/org/apache/derbyTesting/functionTests/master/DerbyNetClient/jdk16/procedure.out;java/testing/org/apache/derbyTesting/functionTests/master/DerbyNetClient/procedure.out;java/testing/org/apache/derbyTesting/functionTests/master/functions.out;java/testing/org/apache/derbyTesting/functionTests/master/procedure.out;java/testing/org/apache/derbyTesting/functionTests/tests/lang/functions.sql;java/testing/org/apache/derbyTesting/functionTests/tests/lang/procedure.java;java/testing/org/apache/derbyTesting/functionTests/util/ProcedureTest.java;java/engine/org/apache/derby/impl/sql/compile/sqlgrammar.jj;java/testing/org/apache/derbyTesting/functionTests/master/procedure.out;java/testing/org/apache/derbyTesting/functionTests/tests/lang/procedure.java;java/testing/org/apache/derbyTesting/functionTests/util/ProcedureTest.java;
184,David Van Couvering,Documentation,0, list jar file tool java incorrect build txt, section build txt describ obtain jdk jdk jdbc extens jce osgi say follow jar derbi sourc tool java javacc jar derbi sourc tool java jakarta oro jar derbi sourc tool java jce jar derbi sourc tool java jdbc stdext jar derbi sourc tool java jta class zip derbi sourc tool java servlet jar derbi sourc tool java osgi jar actual follow empti jargeronimo spec jta rc jargeronimo spec servlet rc jarjakarta oro jarjavacc jarjc jarjdbc stdext jarosgi jar provid patch correct,0,BUILDING.txt;frameworks/NetworkServer/bin/ij.bat;frameworks/NetworkServer/bin/ij.ksh;frameworks/NetworkServer/bin/setNetworkClientCP.bat;frameworks/NetworkServer/bin/setNetworkClientCP.ksh;
186,George Baklarz,JDBC,0, first return true rel goe beyond result set, bizarr error sure jdbc derbi java issu open result set record call rel row result last true first first last set fals howev result last true first true ij connect creat true creat tabl char insert valu quit import java sql public class err first public static void main string argv throw sql except connect conn null statement null result set rs null string derbi driver org apach derbi jdbc embed driver string return valu tri class name derbi driver new instanc catch except driver system println derbi driver found derbi driver driver print stack trace system exit tri conn driver manag get connect jdbc derbi conn creat statement result set type scroll insensit result set concur read rs execut queri select rs next first record return valu rs get string system println valu return valu rs rel system println first rs first last rs last last rs last return valu rs get string system println valu return valu rs rel return valu rs get string system println valu return valu rs rel system println first rs first last rs last last rs last return valu rs get string system println valu return valu rs close close catch sql except se string sql state se get sql state string sql messag se get messag system println error sql state system println sql messag result system valu first fals last fals last fals valu valu first true last fals last true error invalid cursor state current row elimin first println call first get follow correct result valu valu valu first fals last fals last true error invalid cursor state current row okay go wrong,0,java/engine/org/apache/derby/impl/sql/execute/ScrollInsensitiveResultSet.java;java/testing/org/apache/derbyTesting/functionTests/master/testRelative.out;java/testing/org/apache/derbyTesting/functionTests/suites/jdbcapi.runall;java/testing/org/apache/derbyTesting/functionTests/tests/jdbcapi/testRelative.java;
