issue_id,reporter,component,keywords,summary_proc,description_proc,Security
276,Suresh Srinivas,site,0, updat hdf paramet configur descript, updat short descript tooltip long descript follow chang text affect web ui follow filesystem gt file system hdf append enabl gt append enabl hdf web hdf enabl gt web hdf enabl hadoop maximum java heap size gt hadoop maximum java heap size mb java heap size slave daemon gt maximum java heap size daemon balanc mb xmx name node maximum java heap size gt name node initi java heap size mb java heap size name node gt initi minimum java heap size name node mb xm hadoop young gener heap size gt name node new gener size mb maximum size new gener java heap size gt default size java new gener mb name node xx new size data node java heap size gt data node maximum java heap size mb java heap size data node gt maximum java heap size data node mb xmx,0 
280,Vikram Dixit K,null,0, cleanup util, need api ui figur statu cluster,0 
283,Vikram Dixit K,null,0, fixup review deploy render, current render review deploy page messi,0 
287,Vikram Dixit K,ambari-server; ambari-web,0, add link uninstal index page, uninstal link hook index page,0 
290,Jitendra Nath Pandey,ambari-server,0, comment add node wizard init js, comment add node wizard init js,0 
292,Jitendra Nath Pandey,ambari-web,0, html spew review deploy page, html spew review deploy page,0 
300,Yusaku Sako,null,0, chang statu messag success error locat show page summari box rather better visibl,,0 
302,Ramya Sunil,null,0, regionserv config hbase localhost, etc hbase conf regionserv correctli popul slave list,0 
304,Vinod Kumar Vavilapalli,null,0, upgrad yui,,0 
310,Yusaku Sako,null,0, extern messag resourc welcom page updat style variou page,,0 
312,Hitesh Shah,null,0, uninstal wipe flag correctli pass puppet,,0 
316,Vinod Kumar Vavilapalli,null,0, grid mount point page let one pass custom mount point,,0 
319,Jitendra Nath Pandey,ambari-server,0, scale puppet master larg number node, scale puppet master larg number node,0 
323,Vikram Dixit K,ambari-server,0, process cluster initi wizard user goe back creat cluster tab user stuck,,0 
326,Jitendra Nath Pandey,ambari-server,0, depend ad instal phase, host level depend set run stage well redund assum depend instal instal stage,0 
330,Vinod Kumar Vavilapalli,null,0, provid way resum browser crash close deploy progress, current browser close one cannot view instal progress look log hmc machin figur what go would nice provid way get back instal progress,0 
335,Ramya Sunil,null,0, redund download even though artifact alreadi instal, artifact mysql connector zip hive tar gz pig tar gz ext zip download even though previous instal lead addit execut time,0 
338,Vikram Dixit K,ambari-server,0, cluster statu updat need happen stage instal wizard, cluster statu updat db stage instal wizard use enabl restart browser also show statu cluster index page,0 
339,Vikram Dixit K,ambari-web,0, make transit next stage robust, current stage null not proceed transit,0 
349,Vikram Dixit K,ambari-server; ambari-web,0, log case error uninstal need fix, log disappear post uninstal transact also clean db,0 
352,Yusaku Sako,null,0, add flow control forc redirect appropri page base cluster configur statu better usabl, no cluster set yet redirect welcom page cluster configur not gone thru deploy redirect step cluster init wizard cluster deploy redirect deploy progress page cluster gone thru deploy fail redirect instal page cluster gone thru deploy succeed not perform forc redirect,0 
357,Yusaku Sako,null,0, redesign master servic assign page take less vertic space,,0 
362,Vikram Dixit K,ambari-server,0, creat lock file part rpm instal, lock file creat part creat cluster brittl need done part rpm instal,0 
366,Varun Kapoor,null,0, packag font subdirectori hmc rpm, new font subdirectori use button manag servic page packag,0 
369,Yusaku Sako,null,0, improv servic manag page gener popup style,,0 
371,Jitendra Nath Pandey,ambari-server,0, mysql packag not sent instal uninstal, mysql packag not sent instal uninstal,0 
377,Jitendra Nath Pandey,ambari-server,0, uninstal not handl compon depend, uninstal not handl compon depend,0 
386,Hitesh Shah,null,0, singl node instal instal compon recommend num map reduc task high, use lower count map reduc slot singl node instal,0 
393,Mahadev konar,null,0, zoo keeper myid file not exist zk instal, zoo keeper myid file not exist zk instal,0 
394,Vikram Dixit K,ambari-server,0, add node fail find node db, host not found db error assign node page,0 
399,Yusaku Sako,null,0, cannot uninstal page hang spin icon,,0 
401,Jitendra Nath Pandey,ambari-server,0, manual config chang nn get reset stop start hmc, manual config chang nn get reset stop start hmc,0 
402,Vikram Dixit K,ambari-server,0, complet success add node take one initi cluster page start scratch,,0 
404,Yusaku Sako,null,0, unifi top nav monitor cluster manag,,0 
414,Mahadev konar,null,0, add rpm spec hmc agent, add rpm spec hmc agent,0 
415,Hitesh Shah,null,0, reset servic back origin state reconfigur,,0 
420,Yusaku Sako,null,0, improv style error log popup,,0 
426,Ramya Sunil,null,0, reinstal cluster failur instal result failur, accord bika tri instal singl node cluster fail random issu present option reinstal click option ask uninstal chose uninstal wipe data option uninstal fail happen instal not complet first place thu may stage hdp oozi servic hdp oozi servic createsymlink usr lib oozi oozi server lib mapr site xml file usr lib oozi oozi server lib mapr site xml ensur err chang absent present fail could not set present ensur no file directori usr lib oozi oozi server lib mapr site xml etc puppet agent modul hdp oozi manifest servic pp,0 
429,Mahadev konar,null,0, fix bug jmx pars base, fix bug jmx pars base,0 
433,Vikram Dixit K,ambari-server,0, use servic stop instead killal uninstal,,0 
435,Vikram Dixit K,ambari-server,0, uninstal need updat statu failur, enabl rout layer redirect appropri,0 
442,Ramya Sunil,null,0, duplic definit class hdp hbase regionserv enabl ganglia, duplic definit class hdp hbase regionserv enabl ganglia alreadi defin cannot redefin etc puppet agent modul hdp ganglia manifest monitor pp node ip ec intern,0 
449,Yusaku Sako,null,0, post cluster instal deploy url hmc html initi cluster php disabl, instal cluster go http lt host gt hmc html initi cluster php url get page enter cluster name enter cluster name exist instal wipe need disabl url instal cluster way enabl uninstal,0 
450,Yusaku Sako,null,0, boldifi redifi restart hmc messag nagio ganglia hmc host,,0 
455,vitthal (Suhas) Gogate,null,0, nagio show servic statu critic hbase not instal,,0 
466,Vikram Dixit K,ambari-server; ambari-web,0, add node page alert remov case ad duplic node, alert shown need chang compat current implement show error link appear show duplic node show duplic node,0 
467,Mahadev konar,null,0, fix hive stop escap,,0 
468,Yusaku Sako,null,0, post instal add node updat progress titl success error messag reflect actual done,,0 
475,Yusaku Sako,null,0, add miss js file make post cluster instal add node work,,0 
482,Yusaku Sako,null,0, show welcom page user user start configur cluster not start deploy yet,,0 
486,Yusaku Sako,null,0, add node instal sql server hive, ad slave node post cluster instal instal sql server hive select servic time cluster instal,0 
488,Yusaku Sako,null,0, manag servic need way recov termin browser session, need block user abl start stop servic batch start stop activ alreadi progress someth similar deploy progress display bring user back modal statu display end detect success failur,0 
491,Yusaku Sako,null,0, servic reconfigur screen respect reconfigur attribut set config properti tabl, servic config paramet edit custom initi instal cannot reconfigur post cluster instal info store config properti tabl servic reconfigur screen allow non reconfigur paramet chang,0 
492,Hitesh Shah,null,0, make support os check bit robust,,0 
493,Hitesh Shah,null,0, add rack info column host tabl,,0 
494,Mahadev konar,null,0, fix node assign not not allow slave master,,1 
501,Yusaku Sako,null,0, speed page load reload time,,0 
508,Varun Kapoor,null,0, support resum add node, like manag servic deploy uninstal,0 
510,Yusaku Sako,null,0, modifi router forc redirect add node progress popup,,0 
512,Mahadev konar,null,0, fix puppet manifest tarbal download via rpm,,0 
519,Vikram Dixit K,ambari-server,0, updat fix ganglia monitor server anchor problem, updat fix ganglia monitor server anchor problem,0 
528,Ramya Sunil,null,0, fix oozi smoke test failur, oozi smoke test fail error invalid resourc usr lib oozi conf,0 
529,Hitesh Shah,null,0, fix advanc config hdf reserv space byte mani byte count, simplifi user input,0 
539,Hitesh Shah,null,0, creat spec file less depend hmc, simplifi process user want use differ depend php rubi php rubi,0 
543,Vikram Dixit K,infra,0, rpm name need correct, rpm name need correct,0 
544,Ramya Sunil,null,0, templeton config pig archiv not correct hmc, arpit config pig templeton wrong deploy config lt properti gt lt name gt templeton pig archiv lt name gt lt valu gt hdf app templeton lt valu gt lt descript gt path pig archiv lt descript gt lt properti gt lt properti gt lt name gt templeton pig path lt name gt lt valu gt pig bin pig lt valu gt lt descript gt path pig execut lt descript gt lt properti gt miss pig tar ball exampl lt properti gt lt name gt templeton pig archiv lt name gt lt valu gt hdf app templeton pig tar gz lt valu gt lt descript gt path pig archiv lt descript gt lt properti gt lt properti gt lt name gt templeton pig path lt name gt lt valu gt pig tar gz pig bin pig lt valu gt lt descript gt path pig execut lt descript gt lt properti gt properti miss pig tar gz,0 
546,Hitesh Shah,null,0, puppet fail instal bit jdk properli rhel, mkdir usr jdk chmod tmp hdp artifact jdk linux bin cd usr jdk echo tmp hdp artifact jdk linux bin noregist gt amp unpack checksum extract var www html download jdk linux bin instal sfx lib ld linux bad elf interpret no file directori fail extract file pleas refer troubleshoot section ofth instal instruct download page inform puppet ensur glibc instal tri instal jdk,0 
547,Hitesh Shah,null,0, chang os type check node bootstrap allow rhel cent os node, hmc php frontend add node verifi updat node info php hardcod check allow rhel cento node,0 
548,Hitesh Shah,null,0, puppet agent instal script use correct epel repo, hmc shell script puppet agent instal sh hardcod epel releas rpm cent os intellig handl differ os type,0 
550,Yusaku Sako,null,0, add support jump specifi state wizard develop purpos,,0 
552,Vinod Kumar Vavilapalli,null,0, updat readm point trunk, need fix readm point trunk merg ambari branch,0 
565,Yusaku Sako,null,0, remov yui sourc file svn, current yui sourc file svn realli need check svn track chang pre concaten minifi yui js file need file run ambari anyhow remov svn instead checkin tarbal,0 
566,Yusaku Sako,null,0, updat document, modifi pom xml creat output file site rather target make minor word modif,0 
569,Hitesh Shah,null,0, nagio instal fail rhel, puppet layer tri instal nagio tri instal php pecl json not need fail tri rhel php default json modul built,0 
570,Yusaku Sako,null,0, consolid head tag organ combin css file faster load,,0 
573,Hitesh Shah,null,0, puppet error cannot reassign variabl zookeep host modul hdp manifest param pp, seem like typo zookeep host hdp default zookeep host public zookeep host,0 
576,Jaimin D Jetly,null,0, custom config nagio email multipl period fail valid,,0 
578,Yusaku Sako,null,0, custom config page allow form submiss client side valid error, current button look disabl client side valid error clickabl problem no server side valid make sure password match,1 
581,Jaimin D Jetly,null,0, special charact host file creat common window editor caus issu,,0 
587,Vikram Dixit K,ambari-agent; ambari-server; ambari-web; documentation; infra; site; test,0, rat complianc patch, ad apach licens file within ambari rat tool complianc,0 
588,Yusaku Sako,null,0, extern manag servic name point help link valid url, master role assign page step instal cluster topolog summari page referenc manag servic name hmc server need chang ambari server post instal success messag singl node instal issu current help link top nav launch new tab load page user instead load help page ambari project websit point instal guid placehold,0 
591,Yusaku Sako,null,0, licens header php file use php comment not html comment, php file html style comment problemat sinceth licens header becom part html respons wors yet header repeat multipl time respons also caus unexpect behavior,0 
592,Vinod Kumar Vavilapalli,null,0, add link notic file everi page, stuff differ compat licens attribut appropri,0 
597,Mahadev konar,null,0, remov usr bin php depend rpm,,0 
600,Hitesh Shah,null,0, fix lzo instal work correctli rhel,,0 
607,Hitesh Shah,null,0, increas puppet timeout handl singl node instal time,,0 
614,Yusaku Sako,null,0, databas set script duplic definit ambari config instal fail,,0 
615,Yusaku Sako,null,0, elimin redund unus definit column tabl config properti, config properti tabl column name display type also json encod display attribut column display attribut column attribut password display type no display duplic inform alreadi store display type column attribut not need upon inspect code attribut not use chang no effect simpli get rid attribut,0 
628,Ashish Singh,null,0, hdp nagio hdp monitor wrong configur file locat also owner group permiss wrong, suse environ wrong configur locat hdp dashboard hdp nagio also owner group permiss wrongli set root root instead wwwrun group www,1 
633,Yusaku Sako,null,0, fix invalid html markup monitor dashboard,,0 
635,Yusaku Sako,null,0, add node progress partial failur let user continu display orang bar rather red bar progress popup,,0 
636,Yusaku Sako,null,0, support hadoop secur front end chang,,0 
638,Yusaku Sako,null,0, weird custom config page user goe back previou stage, issu go back forth differ stage cluster instal wizard possibl get state custom config form submit button disabl no field error shown step replic go stage not submit form go back stage go stage no field error shown issu custom config stage skip get review deploy go back stage preced custom config step replic go thru cluster instal wizard stage review deploy not submit form go back stage submit form stage stage skip goe directli stage go back stage earlier stage not skip,0 
668,Hitesh Shah,null,0, ambari instal yum prioriti node ensur main repo pick first, depend main hadoop repo use setup cluster sometim wrong packag may pull add repo even main repo higher prioriti packag creat problem incompat depend get instal time,0 
675,Hitesh Shah,null,0, make puppet gener log command failur,,0 
689,Mahadev konar,null,0, fix ambari agent init script bootstrap,,0 
701,Hitesh Shah,null,0, ambari not handl pre setup user suppli hive metastor, ambari treat hive metastor someth still need instal setup even though may not necessari permiss,0 
1072,Srimanth Gunturi,ambari-web,0, chang text alert xx hour ago, alert text like ok hour warn hour crit hour,0 
1081,Srimanth Gunturi,ambari-web,0, hdf disk capac dashboard seen neg number, sometim disk capac calcul end neg number,0 
1085,Yusaku Sako,ambari-web,0, remov file ambari web not meant check, ambari web node modul ambari web public ambari web ambari iml not meant check must remov,0 
1092,Srimanth Gunturi,ambari-web,0, dashboard summari capac pie chart keep chang color,,0 
1096,Srimanth Gunturi,ambari-web,0, creat heatmap legend entri miss data invalid host, current dont fill anyth ambigu,0 
1098,Srimanth Gunturi,ambari-web,0, switch servic not updat variou ui element, switch servic ui sometim alert mismatch compar select servic also highlight left bar not work,0 
1102,ARUN KUMAR KANDREGULA,ambari-web,0, error handl error encount prepar deploy, current error encount prepar deploy user taken deploy page host shown wait noth happen bad ux minimum prevent user proceed display appropri error messag error encount deploy click transit step also think user recov situat point deploy not initi certain api call may succeed may incomplet info databas current no conveni way rollback either ask user clean slate reiniti databas tri succeed origin problem temporari also build logic ui retri check record alreadi exist etc,0 
1103,ARUN KUMAR KANDREGULA,ambari-web,0, need abl reliabl recov case browser close deploy step post submiss step wizard, need abl reliabl recov case browser close deploy step post submiss step wizard even submit step take step browser restart ideal take monitor page,0 
1106,Jaimin D Jetly,ambari-web,0, user specifi custom config hdf site xml overrid persist maintain user specifi,,0 
1113,ARUN KUMAR KANDREGULA,ambari-web,0, instal wizard confirm host stuck prepar stage, instal wizard went assign slave page success return back welcom page reenter data ui got stuck confirm host page,0 
1115,Srimanth Gunturi,ambari-web,0, host compon live statu broken, datanod stop host statu keep jump,0 
1123,Srimanth Gunturi,ambari-web,0, ambari heatmap host inform show infin disk space use, cluster start instal disk total null result infin,0 
1125,Srimanth Gunturi,ambari-web,0, graph degrad time, leav page graph open sever minut graph becom realli coars probabl someth fact ganglia provid minut averag beyond first minut first minut ganglia keep second sampl may not exactli queri last minut,0 
1142,ARUN KUMAR KANDREGULA,ambari-web,0, notif popup click go nagio ui load nagio ui, caus notif occur exampl stop oozi dashboard click notif icon notif popup click go nagio web ui noth happen issu ie safari chrome work fine firefox,0 
1143,ARUN KUMAR KANDREGULA,ambari-web,0, tmpf filesystem ad list dir use ambari, saw sle cluster ec tmpf mount ambari pick not sure ideal solut feel tmpf not includ avail mount point also tmpf use variou directori chang instal attach screenshot,0 
1150,Yusaku Sako,ambari-web,0, instal wizard retri featur deploy step step broken,,0 
1151,Yusaku Sako,ambari-web,0, reconfigur fail silent not fire api call due js error,,0 
1153,Yusaku Sako,ambari-web,0, host jam statu prepar host name wrong,,0 
1154,Yusaku Sako,ambari-web,0, check box check uncheck one member multi artifact graph not readabl appar one user click,,0 
1159,Yusaku Sako,ambari-web,0, check log run dir locat make sure ab path,,0 
1164,Mahadev konar,null,0, disk info metric memori usag sometim not show hour, disk info metric memori usag sometim not show hour,0 
1181,Yusaku Sako,ambari-web,0, clean tabl header ui sort filter clear host tabl,,0 
1182,Yusaku Sako,ambari-web,0, clean tabl header ui sort filter clear job tabl,,0 
1184,Yusaku Sako,ambari-web,0, ad host host count shown dashboard incorrect,,0 
1190,Yusaku Sako,ambari-web,0, detail log view dialog not center align,,0 
1196,Yusaku Sako,ambari-web,0, automat updat host level popup info log, host level popup info log appear deploy step step instal add host wizard inform shown not automat updat base latest valu model background poller updat model current user need close popup open see updat info,0 
1207,Mahadev konar,null,0, remov hdp httpd conf nagio url replac ambarinagio someth els, remov hdp httpd conf nagio url replac ambarinagio someth els,0 
1210,Mahadev konar,null,0, allow capac schedul attach host role config cs configur api, allow capac schedul attach host role config cs configur api,0 
1214,Yusaku Sako,ambari-web,0, start fail warn host overal instal, servic start fail warn host warn overal instal allow start task complet allow user click next,0 
1216,Yusaku Sako,ambari-web,0, add filter modul,,0 
1218,Yusaku Sako,ambari-web,0, refactor job browser user filter,,0 
1223,Yusaku Sako,ambari-web,0, confirm host page look like host disappear fail filter click retri fail button,,0 
1224,Yusaku Sako,ambari-web,0, drop option host compon filter job user filter,,0 
1229,Yusaku Sako,ambari-web,0, dashboard make disk usag pie chart hdf summari easier understand,,0 
1231,Mahadev konar,null,0, replac sudo su ambari setup script sinc ambari server setup alreadi run root, replac sudo su ambari setup script sinc ambari server setup alreadi run root,0 
1233,Mahadev konar,null,0, directori permiss httpd var www cgi bin not touch ambari, directori permiss httpd var www cgi bin not touch ambari,1 
1235,Yusaku Sako,ambari-web,0, host health indic tooltip show detail,,0 
1244,Yusaku Sako,ambari-web,0, instal option line target host section rest page,,0 
1253,Yusaku Sako,ambari-web,0, use ember precompil brunch npm plugin, use ember handlebar precompil plugin ember precompil brunch npm registri specifi specif plugin version use packag json rather current plugin ambari web use not npm registri retriev git repo ambari web break plugin get updat,0 
1259,Mahadev konar,null,0, fix host role live statu not go back instal start fail state, fix host role live statu not go back instal start fail state,0 
1260,Siddharth Wagle,ambari-server,0, remov hard code jmx port map, jmx properti provid contain map compon name port jmx port put namenod jmx port put datanod jmx port put jobtrack jmx port put tasktrack jmx port put hbase master port chang configur need creat map dynam requir secur hdp cluster work,0 
1264,Yusaku Sako,ambari-web,0, servic graph refresh spinner, servic graph refresh spinner rather simpli shift left see attach movi clip,0 
1265,Yusaku Sako,ambari-web,0, job browser filter input output durat, lt express gt lt oper gt lt whitespac gt lt valu gt lt durat unit gt lt io unit gt lt oper gt gt lt lt whitespac gt lt valu gt int float lt durat unit gt lt io unit gt kb mb gb lt oper gt ommit assum lt durat unit gt omit assum lt io unit gt omit assum lt durat unit gt lt io unit gt case insensit,0 
1266,Mahadev konar,null,0, agent check packag part host check tell one need conflict, agent check packag part host check tell one need conflict,0 
1267,Mahadev konar,null,0, store exampl hive queri somewher ambari easili access demo test purpos, store exampl hive queri somewher ambari easili access demo test purpos,0 
1271,Yusaku Sako,ambari-web,0, confirm host page add link show host check popup success messag,,0 
1273,Srimanth Gunturi,ambari-web,0, edit user no error messag shown user not enter correct old password, no error messag shown user not enter correct old password edit user,0 
1274,Srimanth Gunturi,ambari-web,0, shrink top nav height, navbar height shrunk px,0 
1275,Srimanth Gunturi,ambari-web,0, incorrect display background oper window chang state compon, step chang state start stop oper prefer lot compon number background oper approxim chang size browser px go page chang state next compon confirm chang result background oper window open ok button not visibl expect result background oper window contain scroll bar background oper ok button avail use,0 
1277,Mahadev konar,null,0, fail build due url move suse, fail build due url move suse look like cento handl redirect fine doesnt look like maven plugin handl suse,0 
1279,Srimanth Gunturi,ambari-web,0, make sure ambari web render element correctli browser width px narrow, current behavior dynam layout element browser viewport size chang caus element overlap go outsid bound box posit weird way etc let set minimum width px mayb px account scrollbar make sure element laid correctli bigger px still util screen space today,0 
1299,Yusaku Sako,ambari-agent,0, bootstrap hang indefinit, bootstrap node one got stuck instal phase time even minut seem like start ambari agent hang,0 
1300,Srimanth Gunturi,ambari-web,0, servic statu host compon statu get stuck green blink state stop fail no oper perform, happen servic host compon run stop fail leav desir state instal stop state live state start current ui assum desir state instal state start start trick get around problem backend live state updat lag make ui respons,0 
1305,ARUN KUMAR KANDREGULA,ambari-web,0, make sure ambari web render element correctli browser width px narrow refactor, current behavior dynam layout element browser viewport size chang caus element overlap go outsid bound box posit weird way etc let set minimum width px mayb px account scrollbar make sure element laid correctli bigger px still util screen space today,0 
1308,ARUN KUMAR KANDREGULA,ambari-web,0, properli display app page aggreg summari data tabl no data shown,,0 
1309,ARUN KUMAR KANDREGULA,ambari-web,0, remov text app view control templat messag js,,0 
1311,ARUN KUMAR KANDREGULA,ambari-web,0, host health indic tooltip show detail refactor,,0 
1321,Srimanth Gunturi,ambari-web,0, switch job page not launch popup anymor, job page click job see popup job inform switch servic page come back job page click job not launch popup,0 
1330,Mahadev konar,null,0, cluster miss host success instal restart, cluster miss host success instal restart bug got introduc due patch ambari,0 
1333,Yusaku Sako,ambari-web,0, add usernam valid ambari local user,,0 
1335,Yusaku Sako,ambari-web,0, show valid error user specifi target host alreadi part cluster,,0 
1337,Yusaku Sako,ambari-web,0, refactor job browser filter,,0 
1340,Yusaku Sako,ambari-web,0, enhanc instal start test progress display, show progress cluster instal take host level overal progress show progress complet percentag get stuck sever minut host level complet not display first instal task task complet instead advanc percentag complet task chang statu pend gt queu gt progress better reflect instal progress end user,0 
1343,Siddharth Wagle,ambari-agent,0, servic check fail secur instal due wrong kinit path, manual instal kdc kinit path puppet script usr kerbero bin kinit actual locat root ip data wherei kinitkinit usr bin kiniterr stage hdp hbase hbase servic check hdp hadoop exec hadoop hbase servic check test hdp exec usr kerbero bin kinit kt etc secur keytab hdf headless keytab hdf hadoop config etc hadoop conf fs test app hbase data usert exec usr kerbero bin kinit kt etc secur keytab hdf headless keytab hdf hadoop config etc hadoop conf fs test app hbase data usert fail call refresh could not find command usr kerbero bin kinit,0 
1348,Yusaku Sako,ambari-web,0, extern string messag js, extern string resourc messag js,0 
1351,Jaimin D Jetly,ambari-web,0, provid consist order host heatmap,,0 
1354,Jaimin D Jetly,ambari-web,0, no alert badg host detail page green not red,,0 
1359,Jaimin D Jetly,ambari-web,0, app browser row colour altern dark grey light grey back,,0 
1360,Jaimin D Jetly,ambari-web,0, mous cursor hover behavior strang job browser, hover mous cursor around show filter mous cursor chang hand icon expect right cursor turn hand even hover area no link hover clear filter cursor not turn hand,0 
1373,Jaimin D Jetly,ambari-web,0, sinc abil log ambari web differ user current user indic,,0 
1376,Jaimin D Jetly,ambari-web,0, wrong calcul durat filter app page, wrong calcul durat filter enter number without specifi unit default take second default unit,0 
1432,Mahadev konar,null,0, ambari agent registr hang due acceptor bug jetti not read accept connect, ambari agent registr hang due acceptor bug jetti not read accept connect,0 
1441,Yusaku Sako,ambari-web,0, valid usernam use servic config broken,,1 
1449,Jaimin D Jetly,ambari-web,0, failur popup shown reconfigur hdf map reduc not instal,,0 
1450,Yusaku Sako,ambari-web,0, remov hard code stack version,,0 
1456,Yusaku Sako,ambari-web,0, cannot proceed bootstrap case due run time error run host check,,0 
1460,Yusaku Sako,ambari-web,0, optim queri call retriev host inform, everi second ambari web make call retriev inform host cluster node call retriev mb info sinc api return last agent env host check result use bootstrap make payload huge optim queri string api call cut payload,0 
1461,Yusaku Sako,ambari-web,0, optim queri get servic host compon statu back server, api respons get servic host compon statu back server unnecessarili big due nagio alert includ part respons optim cut payload half also eas load server sinc not get nagio alert part fulfil api call,0 
1465,Siddharth Wagle,ambari-server,0, minim read write lock creat host, invoc count exec time cluster impl map host cluser highorg apach ambari server state cluster cluster impl map host cluster string string time ms avg time ms time ms invoc count time host map cluster refresh entiti manag result creat host call take excess minut,0 
1466,Mahadev konar,null,0, optim ganglia rrd script abl respond within reason time queri made ui, optim ganglia rrd script abl respond within reason time queri made ui,0 
1473,Yusaku Sako,ambari-web,0, optim queri host inform server, work optim queri get host inform top bug,0 
1486,Mahadev konar,null,0, fix test host name take care issu gethostnam getfqdn not match, fix test host name take care issu gethostnam getfqdn not match,0 
1487,Mahadev konar,null,0, fix alert host level map reduc not select not alert tasktrack not run, fix alert host level map reduc not select not alert tasktrack not run,0 
1488,Mahadev konar,null,0, nagio script caus unwant datanod log, nagio script caus unwant datanod log,0 
1489,Mahadev konar,null,0, add hadoop lzo one rpm check instal, add hadoop lzo one rpm check instal,0 
1496,Jaimin D Jetly,ambari-web,0, make servic properti reconfigur,,0 
1497,Mahadev konar,null,0, fix start option ambari server miss space, fix start option ambari server miss space,0 
1499,Yusaku Sako,ambari-web,0, add host broken, due perform enhanc queri host host disk info host ad expect add host wizard miss,0 
1505,Xi Wang,ambari-web,0, host page add filter host statu, show host statu filter top host tabl show statu number host statu,0 
1519,Yusaku Sako,ambari-web,0, ambari web goe back forth frozen usabl state peridoci larg cluster, background poll updat live statu servic host compon run everi second happen whole ui freez sever second period,0 
1520,Srimanth Gunturi,ambari-web,0, alert take around second show everytim refresh dashboard, alert take around second show everytim refresh dashboard,0 
