class_id,class_name,class_content
13,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/testing/wicket-arquillian/src/test/java/org/apache/wicket/arquillian/testing/pages/InsertContactTest.java, InsertContactTest testErrorMessagesInsertContact testInsertContact string EMAIL_IS_REQUIRED email requir string EMAIL_IS_REQUIRED email requir string NAME_IS_REQUIRED requir string NAME_IS_REQUIRED requir string INSERT_FORM insertForm string INSERT_FORM insertForm string EMAIL email string EMAIL email string string string WICKET_ARQUILLIAN_TEST_APACHE_ORG wicket arquillian test apach org string WICKET_ARQUILLIAN_TEST_APACHE_ORG wicket arquillian test apach org string WICKET_ARQUILLIAN_TEST wicket arquillian test string WICKET_ARQUILLIAN_TEST wicket arquillian test logger log LoggerFactory getLogger InsertContactTest logger log LoggerFactory getLogger InsertContactTest inject ContactDao contactDao inject ContactDao contactDao insert contact test test error messag insert contact test insert contact string EMAIL REQUIRED email requir string EMAIL REQUIRED email requir string NAME REQUIRED requir string NAME REQUIRED requir string INSERT FORM insert form string INSERT FORM insert form string EMAIL email string EMAIL email string string string WICKET ARQUILLIAN TEST APACHE ORG wicket arquillian test apach org string WICKET ARQUILLIAN TEST APACHE ORG wicket arquillian test apach org string WICKET ARQUILLIAN TEST wicket arquillian test string WICKET ARQUILLIAN TEST wicket arquillian test logger log logger factori get logger insert contact test logger log logger factori get logger insert contact test inject contact dao contact dao inject contact dao contact dao
14,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/testing/wicket-arquillian/src/test/java/org/apache/wicket/arquillian/testing/servletcontext/ArquillianContainerProvidedTest.java, ArquillianContainerProvidedTest testFindResourcesServletContextFromContainer testFindResourcesWebApplicationFromContainer testNewApplicationTryReuseServletContextFilter testNullApplication testNewApplication findResourcesServletContext logger log LoggerFactory getLogger ArquillianContainerProvidedTest logger log LoggerFactory getLogger ArquillianContainerProvidedTest string RESOURCE_PAGES_INSERT_CONTACT_HTML_NOT_FOUND resourc page InsertContact html found string RESOURCE_PAGES_INSERT_CONTACT_HTML_NOT_FOUND resourc page InsertContact html found arquillian contain provid test test find resourc servlet context contain test find resourc web applic contain test new applic tri reus servlet context filter test null applic test new applic find resourc servlet context logger log logger factori get logger arquillian contain provid test logger log logger factori get logger arquillian contain provid test string RESOURCE PAGES INSERT CONTACT HTML NOT FOUND resourc page insert contact html found string RESOURCE PAGES INSERT CONTACT HTML NOT FOUND resourc page insert contact html found
15,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/testing/wicket-arquillian/src/test/java/org/apache/wicket/arquillian/testing/TestWicketJavaEEApplication.java, TestWicketJavaEEApplication initResourceFinder test wicket java EE applic init resourc finder
16,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/testing/wicket-common-tests/src/test/java/org/apache/wicket/osgi/OsgiClashingPackagesTest.java, OsgiClashingPackagesTest collectProjectPackages fail entri string list project entri osgi clash packag test collect project packag fail entri string list project entri
17,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/testing/wicket-js-tests/src/test/java/org/apache/wicket/testing/jstest/StartJavaScriptTests.java, StartJavaScriptTests main string arg StartJavaScriptTests start java script test main string arg start java script test
18,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/testing/wicket-threadtest/src/main/java/org/apache/wicket/threadtest/App1Test1.java, app test main string arg app test main string arg
19,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/testing/wicket-threadtest/src/main/java/org/apache/wicket/threadtest/App1Test2.java, app test main string arg app test main string arg
20,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/testing/wicket-threadtest/src/main/java/org/apache/wicket/threadtest/App1Test3.java, app test main string arg app test main string arg
21,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/testing/wicket-threadtest/src/main/java/org/apache/wicket/threadtest/App2Test1.java, app test main string arg app test main string arg
22,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/testing/wicket-threadtest/src/main/java/org/apache/wicket/threadtest/apps/app1/Contact.java, contact contact contact string firstName string lastName equal object obj getCellPhone getFirstName getHomePhone getId getLastName setCellPhone string cellPhone setFirstName string firstName setHomePhone string homePhone setId id setLastName string lastName toString serialVersionUID serialVersionUID string cellPhone string cellPhone string firstName string firstName string homePhone string homePhone id id string lastName string lastName contact contact contact string first name string last name equal object obj get cell phone get first name get home phone get Id get last name set cell phone string cell phone set first name string first name set home phone string home phone set Id id set last name string last name string serial version UID serial version UID string cell phone string cell phone string first name string first name string home phone string home phone id id string last name string last name
23,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/testing/wicket-threadtest/src/main/java/org/apache/wicket/threadtest/apps/app1/ContactDataProvider.java, ContactDataProvider getContactsDB iter count size model contact object detach serialVersionUID serialVersionUID contact data provid get contact DB iter count size model contact object detach serial version UID serial version UID
24,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/testing/wicket-threadtest/src/main/java/org/apache/wicket/threadtest/apps/app1/ContactGenerator.java, ContactGenerator getInstance ContactGenerator gener gener collect contact collect count generateId generatePhoneNumber randomString string choic rint min max ContactGenerator instanc ContactGenerator ContactGenerator instanc ContactGenerator nextId nextId string firstNames jacob emili michael sarah matthew brianna nichola samantha christoph hailey abner abbi joshua dougla jack keith gerald samuel willi larri jose timothi sandra kathleen pamela virginia debra maria linda string firstNames jacob emili michael sarah matthew brianna nichola samantha christoph hailey abner abbi joshua dougla jack keith gerald samuel willi larri jose timothi sandra kathleen pamela virginia debra maria linda string lastNames smiith johnson william jone brown donahu bailey rose allen black davi clark hall lee baker gonzalez nelson moor wilson graham fisher cruz ortiz gomez murray string lastNames smiith johnson william jone brown donahu bailey rose allen black davi clark hall lee baker gonzalez nelson moor wilson graham fisher cruz ortiz gomez murray contact gener get instanc contact gener gener gener collect contact collect count gener Id gener phone number random string string choic rint min max contact gener instanc contact gener contact gener instanc contact gener next Id next Id string first name jacob emili michael sarah matthew brianna nichola samantha christoph hailey abner abbi joshua dougla jack keith gerald samuel willi larri jose timothi sandra kathleen pamela virginia debra maria linda string first name jacob emili michael sarah matthew brianna nichola samantha christoph hailey abner abbi joshua dougla jack keith gerald samuel willi larri jose timothi sandra kathleen pamela virginia debra maria linda string last name smiith johnson william jone brown donahu bailey rose allen black davi clark hall lee baker gonzalez nelson moor wilson graham fisher cruz ortiz gomez murray string last name smiith johnson william jone brown donahu bailey rose allen black davi clark hall lee baker gonzalez nelson moor wilson graham fisher cruz ortiz gomez murray
25,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/testing/wicket-threadtest/src/main/java/org/apache/wicket/threadtest/apps/app1/ContactsDatabase.java, ContactsDatabase ContactsDatabase count delet contact contact find count string sortProperty sortAsc id getCount save contact contact add contact contact getIndex string prop asc updateIndecies list contact fnameDescIdx collect synchronizedList ArrayList contact list contact fnameDescIdx collect synchronizedList ArrayList contact list contact fnameIdx collect synchronizedList ArrayList contact list contact fnameIdx collect synchronizedList ArrayList contact list contact lnameDescIdx collect synchronizedList ArrayList contact list contact lnameDescIdx collect synchronizedList ArrayList contact list contact lnameIdx collect synchronizedList ArrayList contact list contact lnameIdx collect synchronizedList ArrayList contact map long contact map collect synchronizedMap HashMap long contact map long contact map collect synchronizedMap HashMap long contact contact databas contact databas count delet contact contact find count string sort properti sort asc id get count save contact contact add contact contact get index string prop asc updat indeci list contact fname desc idx collect synchron list array list contact list contact fname desc idx collect synchron list array list contact list contact fname idx collect synchron list array list contact list contact fname idx collect synchron list array list contact list contact lname desc idx collect synchron list array list contact list contact lname desc idx collect synchron list array list contact list contact lname idx collect synchron list array list contact list contact lname idx collect synchron list array list contact map long contact map collect synchron map hash map long contact map long contact map collect synchron map hash map long contact
26,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/testing/wicket-threadtest/src/main/java/org/apache/wicket/threadtest/apps/app1/DatabaseLocator.java, DatabaseLocator getDatabase databas locat get databas
27,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/testing/wicket-threadtest/src/main/java/org/apache/wicket/threadtest/apps/app1/DetachableContactModel.java, DetachableContactModel DetachableContactModel contact DetachableContactModel id equal object obj hashCode getContactsDB load serialVersionUID serialVersionUID id id detach contact model detach contact model contact detach contact model id equal object obj hash code get contact DB load serial version UID serial version UID id id
28,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/testing/wicket-threadtest/src/main/java/org/apache/wicket/threadtest/apps/app1/FormInputModel.java, FormInputModel FormInputModel getBooleanProperty getDateProperty getDoubleProperty getIntegerInRangeProperty getIntegerProperty getLines getNumberRadioChoice getNumbersCheckGroup getNumbersGroup getPhoneNumberUS getSiteSelection getStringProperty getUrlProperty setBooleanProperty boolean booleanProperty setDateProperty date dateProperty setDoubleProperty doubl doubleProperty setIntegerInRangeProperty integ integerInRangeProperty setIntegerProperty integ integerProperty setLines list line line setNumberRadioChoice string favoriteColor setNumbersGroup string group setPhoneNumberUS UsPhoneNumber phoneNumberUS setSiteSelection set string selectedSites setStringProperty string stringProperty setUrlProperty URL urlProperty toString serialVersionUID serialVersionUID boolean booleanProperty boolean booleanProperty date dateProperty date date dateProperty date doubl doubleProperty doubl doubleProperty integ integerInRangeProperty integ integerInRangeProperty integ integerProperty integ integerProperty list line line ArrayList line list line line ArrayList line string numberRadioChoice home NUMBERS string numberRadioChoice home NUMBERS list string numbersCheckGroup ArrayList string list string numbersCheckGroup ArrayList string string numbersGroup string numbersGroup phone number mask UsPhoneNumber phoneNumberUS UsPhoneNumber phone number mask UsPhoneNumber phoneNumberUS UsPhoneNumber set string siteSelection HashSet string set string siteSelection HashSet string string stringProperty test string stringProperty test URL urlProperty URL urlProperty form input model form input model get boolean properti get date properti get doubl properti get integ rang properti get integ properti get line get number radio choic get number check group get number group get phone number US get site select get string properti get url properti set boolean properti boolean boolean properti set date properti date date properti set doubl properti doubl doubl properti set integ rang properti integ integ rang properti set integ properti integ integ properti set line list line line set number radio choic string favorit color set number group string group set phone number US Us phone number phone number US set site select set string select site set string properti string string properti set url properti URL url properti string serial version UID serial version UID boolean boolean properti boolean boolean properti date date properti date date date properti date doubl doubl properti doubl doubl properti integ integ rang properti integ integ rang properti integ integ properti integ integ properti list line line array list line list line line array list line string number radio choic home NUMBERS string number radio choic home NUMBERS list string number check group array list string list string number check group array list string string number group string number group phone number mask Us phone number phone number US Us phone number phone number mask Us phone number phone number US Us phone number set string site select hash set string set string site select hash set string string string properti test string string properti test URL url properti URL url properti
29,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/testing/wicket-threadtest/src/main/java/org/apache/wicket/threadtest/apps/app1/Home.java, home home getSelectedContactLabel setLocale local local serialVersionUID serialVersionUID relev local wrap list list local LOCALES array asList local ENGLISH local nl local GERMAN local SIMPLIFIED_CHINESE local JAPANESE local pt BR local fa IR local da DK relev local wrap list list local LOCALES array asList local ENGLISH local nl local GERMAN local SIMPLIFIED_CHINESE local JAPANESE local pt BR local fa IR local da DK site multipl select list string SITES array asList server side java lobbi java net site multipl select list string SITES array asList server side java lobbi java net number radio select list string NUMBERS array asList number radio select list string NUMBERS array asList contact select contact select home home get select contact label set local local local serial version UID serial version UID relev local wrap list list local LOCALES array list local ENGLISH local nl local GERMAN local SIMPLIFIED CHINESE local JAPANESE local pt BR local fa IR local da DK relev local wrap list list local LOCALES array list local ENGLISH local nl local GERMAN local SIMPLIFIED CHINESE local JAPANESE local pt BR local fa IR local da DK site multipl select list string SITES array list server side java lobbi java net site multipl select list string SITES array list server side java lobbi java net number radio select list string NUMBERS array list number radio select list string NUMBERS array list contact select contact select
30,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/testing/wicket-threadtest/src/main/java/org/apache/wicket/threadtest/apps/app1/ResourceTestPage.java, ResourceTestPage ResourceTestPage serialVersionUID serialVersionUID defin number imag page IMAGES_PER_PAGE defin number imag page IMAGES_PER_PAGE resourc test page resourc test page serial version UID serial version UID defin number imag page IMAGES PER PAGE defin number imag page IMAGES PER PAGE
31,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/testing/wicket-threadtest/src/main/java/org/apache/wicket/threadtest/apps/app1/TestApp1.java, TestApp TestApp getContactsDB getHomePage init ContactsDatabase contactsDB ContactsDatabase ContactsDatabase contactsDB ContactsDatabase test app test app get contact DB get home page init contact databas contact DB contact databas contact databas contact DB contact databas
32,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/testing/wicket-threadtest/src/main/java/org/apache/wicket/threadtest/apps/app1/UsPhoneNumber.java, UsPhoneNumber UsPhoneNumber string number getNumber setNumber string number toString serialVersionUID serialVersionUID string number string number Us phone number Us phone number string number get number set number string number string serial version UID serial version UID string number string number
33,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/testing/wicket-threadtest/src/main/java/org/apache/wicket/threadtest/apps/app2/Connection.java, connect connect string id equal object obj getData getId hashCode toString string id string id connect connect string id equal object obj get data get Id hash code string string id string id
34,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/testing/wicket-threadtest/src/main/java/org/apache/wicket/threadtest/apps/app2/Home.java, home home serialVersionUID serialVersionUID home home serial version UID serial version UID
35,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/testing/wicket-threadtest/src/main/java/org/apache/wicket/threadtest/apps/app2/Pool.java, pool getConnection getInstance releas pool doGetConnection doRelease pool _instance pool pool _instance pool logger log LoggerFactory getLogger pool logger log LoggerFactory getLogger pool connect allConnections connect allConnections dequ connect ArrayDeque connect dequ connect ArrayDeque connect ThreadLocal connect lock ThreadLocal connect ThreadLocal connect lock ThreadLocal connect size size pool get connect get instanc releas pool get connect releas pool _instance pool pool _instance pool logger log logger factori get logger pool logger log logger factori get logger pool connect connect connect connect dequ connect array dequ connect dequ connect array dequ connect thread local connect lock thread local connect thread local connect lock thread local connect size size
36,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/testing/wicket-threadtest/src/main/java/org/apache/wicket/threadtest/apps/app2/TestApp2.java, TestApp TestApp getHomePage init test app test app get home page init
37,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/testing/wicket-threadtest/src/main/java/org/apache/wicket/threadtest/apps/app2/TestFilter.java, TestFilter destroy doFilter ServletRequest request ServletResponse respons FilterChain chain init FilterConfig config test filter destroy filter servlet request request servlet respons respons filter chain chain init filter config config
38,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/testing/wicket-threadtest/src/main/java/org/apache/wicket/threadtest/tester/AbstractCommand.java, AbstractCommand AbstractCommand list string url iter getIterations getUrls number execut url iter number execut url iter URLs visit list string url URLs visit list string url abstract command abstract command list string url iter get iter get url number execut url iter number execut url iter UR Ls visit list string url UR Ls visit list string url
39,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/testing/wicket-threadtest/src/main/java/org/apache/wicket/threadtest/tester/AbstractGetCommand.java, AbstractGetCommand AbstractGetCommand list string url iter execut CommandRunner runner doGet HttpClient client string url abstract get command abstract get command list string url iter execut command runner runner get http client client string url
40,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/testing/wicket-threadtest/src/main/java/org/apache/wicket/threadtest/tester/Command.java, command execut CommandRunner runner command execut command runner runner
41,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/testing/wicket-threadtest/src/main/java/org/apache/wicket/threadtest/tester/CommandRunner.java, CommandRunner CommandRunner list command command HttpClient client CommandRunnerObserver observ getClient run logger log LoggerFactory getLogger CommandRunner logger log LoggerFactory getLogger CommandRunner HttpClient client HttpClient client list command command list command command CommandRunnerObserver observ CommandRunnerObserver observ command runner command runner list command command http client client command runner observ observ get client run logger log logger factori get logger command runner logger log logger factori get logger command runner http client client http client client list command command list command command command runner observ observ command runner observ observ
42,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/testing/wicket-threadtest/src/main/java/org/apache/wicket/threadtest/tester/SimpleGetCommand.java, SimpleGetCommand SimpleGetCommand list string url iter SimpleGetCommand string url iter getPrintResponse setPrintResponse printResponse doGet HttpClient client string url logger log LoggerFactory getLogger SimpleGetCommand logger log LoggerFactory getLogger SimpleGetCommand printResponse printResponse simpl get command simpl get command list string url iter simpl get command string url iter get print respons set print respons print respons get http client client string url logger log logger factori get logger simpl get command logger log logger factori get logger simpl get command print respons print respons
43,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/testing/wicket-threadtest/src/main/java/org/apache/wicket/threadtest/tester/Tester.java, tester main string arg startServer port tester command command numberOfThreads multipleSessions tester list command command numberOfThreads multipleSessions getHost getPort onDone CommandRunner runner onError CommandRunner runner except run setHost string host setPort port logger log LoggerFactory getLogger tester logger log LoggerFactory getLogger tester HttpClientParams param HttpClientParams param activeThreads activeThreads list command command list command command string host localhost string host localhost thread repres seper session test behav client issu multipl concurr request multipleSessions thread repres seper session test behav client issu multipl concurr request multipleSessions numberOfThreads numberOfThreads port port tester main string arg start server port tester command command number thread multipl session tester list command command number thread multipl session get host get port done command runner runner error command runner runner except run set host string host set port port logger log logger factori get logger tester logger log logger factori get logger tester http client param param http client param param activ thread activ thread list command command list command command string host localhost string host localhost thread repres seper session test behav client issu multipl concurr request multipl session thread repres seper session test behav client issu multipl concurr request multipl session number thread number thread port port
44,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/testing/wicket-threadtest/src/test/java/org/apache/wicket/util/license/ApacheLicenceHeaderTest.java, ApacheLicenceHeaderTest ApacheLicenceHeaderTest apach licenc header test apach licenc header test
45,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/wicket-auth-roles/src/main/java/org/apache/wicket/authroles/authentication/AbstractAuthenticatedWebSession.java, AbstractAuthenticatedWebSession AbstractAuthenticatedWebSession request request getRoles isSignedIn serialVersionUID serialVersionUID abstract authent web session abstract authent web session request request get role sign serial version UID serial version UID
46,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/wicket-auth-roles/src/main/java/org/apache/wicket/authroles/authentication/AuthenticatedWebApplication.java, AuthenticatedWebApplication init hasAnyRole role role onUnauthorizedInstantiation compon compon restartResponseAtSignInPage newSession request request respons respons getWebSessionClass getSignInPageClass onUnauthorizedPage compon page authent web applic init role role role unauthor instanti compon compon restart respons sign page new session request request respons respons get web session class get sign page class unauthor page compon page
47,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/wicket-auth-roles/src/main/java/org/apache/wicket/authroles/authentication/AuthenticatedWebSession.java, AuthenticatedWebSession AuthenticatedWebSession request request signIn string usernam string password authent string usernam string password signIn isSignedIn signOut invalid serialVersionUID serialVersionUID true user sign AtomicBoolean signedIn AtomicBoolean true user sign AtomicBoolean signedIn AtomicBoolean authent web session authent web session request request sign string usernam string password authent string usernam string password sign sign sign invalid serial version UID serial version UID true user sign atom boolean sign atom boolean true user sign atom boolean sign atom boolean
48,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/wicket-auth-roles/src/main/java/org/apache/wicket/authroles/authentication/pages/SignInPage.java, SignInPage SignInPage SignInPage PageParameters paramet serialVersionUID serialVersionUID sign page sign page sign page page paramet paramet serial version UID serial version UID
49,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/wicket-auth-roles/src/main/java/org/apache/wicket/authroles/authentication/pages/SignOutPage.java, SignOutPage SignOutPage SignOutPage PageParameters paramet serialVersionUID serialVersionUID sign page sign page sign page page paramet paramet serial version UID serial version UID
50,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/wicket-auth-roles/src/main/java/org/apache/wicket/authroles/authentication/panel/SignInPanel.java, SignInPanel SignInPanel string id SignInPanel string id includeRememberMe getForm onConfigure getPassword setPassword string password getUsername setUsername string usernam getRememberMe setRememberMe rememberMe signIn string usernam string password isSignedIn onSignInFailed onSignInSucceeded onSignInRemembered serialVersionUID serialVersionUID string SIGN_IN_FORM signInForm string SIGN_IN_FORM signInForm true panel display rememb checkbox includeRememberMe true panel display rememb checkbox includeRememberMe true user rememb form persist cooki rememberMe true user rememb form persist cooki rememberMe password string password password string password user string usernam user string usernam sign panel sign panel string id sign panel string id includ rememb get form configur get password set password string password get usernam set usernam string usernam get rememb set rememb rememb sign string usernam string password sign sign fail sign succeed sign rememb serial version UID serial version UID string SIGN FORM sign form string SIGN FORM sign form true panel display rememb checkbox includ rememb true panel display rememb checkbox includ rememb true user rememb form persist cooki rememb true user rememb form persist cooki rememb password string password password string password user string usernam user string usernam
51,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/wicket-auth-roles/src/main/java/org/apache/wicket/authroles/authorization/strategies/role/AbstractRoleAuthorizationStrategy.java, AbstractRoleAuthorizationStrategy AbstractRoleAuthorizationStrategy IRoleCheckingStrategy roleCheckingStrategy hasAny role role isEmpty role role role check strategi IRoleCheckingStrategy roleCheckingStrategy role check strategi IRoleCheckingStrategy roleCheckingStrategy abstract role author strategi abstract role author strategi role check strategi role check strategi role role empti role role role check strategi role check strategi role check strategi role check strategi role check strategi role check strategi
52,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/wicket-auth-roles/src/main/java/org/apache/wicket/authroles/authorization/strategies/role/annotations/AnnotationsRoleAuthorizationStrategy.java, AnnotationsRoleAuthorizationStrategy AnnotationsRoleAuthorizationStrategy IRoleCheckingStrategy roleCheckingStrategy isInstantiationAuthorized class componentClass check AuthorizeInstantiation authorizeInstantiationAnnotation isActionAuthorized compon compon action action isActionAuthorized class componentClass action action check action action AuthorizeAction authorizeActionAnnotation isResourceAuthorized IResource resourc PageParameters pageParameters isResourceAnnotationSatisfied AuthorizeResource annot annot role author strategi annot role author strategi role check strategi role check strategi instanti author class compon class check author instanti author instanti annot action author compon compon action action action author class compon class action action check action action author action author action annot resourc author resourc resourc page paramet page paramet resourc annot satisfi author resourc annot
53,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/wicket-auth-roles/src/main/java/org/apache/wicket/authroles/authorization/strategies/role/annotations/AuthorizeAction.java, AuthorizeAction author action
54,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/wicket-auth-roles/src/main/java/org/apache/wicket/authroles/authorization/strategies/role/annotations/AuthorizeActions.java, AuthorizeActions author action
55,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/wicket-auth-roles/src/main/java/org/apache/wicket/authroles/authorization/strategies/role/annotations/AuthorizeInstantiation.java, AuthorizeInstantiation author instanti
56,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/wicket-auth-roles/src/main/java/org/apache/wicket/authroles/authorization/strategies/role/annotations/AuthorizeInstantiations.java, AuthorizeInstantiations author instanti
57,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/wicket-auth-roles/src/main/java/org/apache/wicket/authroles/authorization/strategies/role/annotations/AuthorizeResource.java, AuthorizeResource author resourc
58,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/wicket-auth-roles/src/main/java/org/apache/wicket/authroles/authorization/strategies/role/IRoleCheckingStrategy.java, IRoleCheckingStrategy hasAnyRole role role role check strategi role role role
59,/media/geet/Files/IITDU/MSSE-03/SRC/wicket/wicket-auth-roles/src/main/java/org/apache/wicket/authroles/authorization/strategies/role/metadata/ActionPermissions.java, ActionPermissions author action action role rolesToAdd authorizeAll action action rolesFor action action unauthor action action role rolesToRemove serialVersionUID serialVersionUID map action set role string map action role rolesForAction HashMap map action set role string map action role rolesForAction HashMap action permiss author action action role role add author action action role action action unauthor action action role role remov serial version UID serial version UID map action set role string map action role role action hash map map action set role string map action role role action hash map
