issue_id,summary,description,summary_proc,description_proc,Surprising,Dormant,Blocker,Security,Performance,Breakage
1348,Externalize strings to messages.js, extern string messag js,Externalize string resources to messages.js., extern string resourc messag js,1,0,0,0,0,0,
1351,Provide consistent ordering of hosts in heatmap, provid consist order host heatmap,,,0,0,0,0,0,0,
1354,'No alerts' badge on the Host Detail page should be green  not red, no alert badg host detail page green red,,,0,0,0,0,0,0,
1359,App Browser rows colours should alternate from dark grey to light grey and back, app browser row colour altern dark grey light grey back,,,0,0,0,0,0,0,
1360,Mouse cursor hover behavior is strange on Job Browser, mous cursor hover behavior strang job browser,When hovering the mouse cursor around Show All  Filtered  the mouse cursor changes to the 'hand' icon as expected. To the right  the cursor turns into a hand even when hovering over areas where there's no link. Hovering over 'Clear filters'  the cursor does not turn into the 'hand'., when hover mous cursor around show all filter mous cursor chang hand icon expect to right cursor turn hand even hover area link hover clear filter cursor turn hand,0,0,0,0,0,0,
1373,Since there is the ability to log in to Ambari Web as different users the current user should be indicated, sinc abil log ambari web differ user current user indic,,,0,0,0,0,0,0,
1376,Wrong calculation of duration filter on apps page, wrong calcul durat filter app page,Wrong calculation for the duration filter if we enter just number  without h  m or s to specify the unit. By default we should take seconds as the default unit., wrong calcul durat filter enter number without h specifi unit by default take second default unit,0,0,0,0,0,0,
1432,Ambari Agent registration hangs due to Acceptor bug in Jetty for not reading through accepted connections., ambari agent registr hang due acceptor bug jetti read accept connect,Ambari Agent registration hangs due to Acceptor bug in Jetty for not reading through accepted connections., ambari agent registr hang due acceptor bug jetti read accept connect,0,0,0,0,0,0,
1441,Validation for username used in service configs is broken, valid usernam use servic config broken,,,0,0,0,1,0,0,
1449,Failure popup shown for reconfiguring HDFS when MapReduce is not installed, failur popup shown reconfigur hdf map reduc instal,,,0,0,0,0,0,0,
1450,Remove hard-coded stack version, remov hard code stack version,,,0,0,0,0,0,0,
1456,Cannot proceed after bootstrapping in some cases due to a run-time error while running host checks, cannot proceed bootstrap case due run time error run host check,,,0,0,0,0,0,0,
1460,Optimize query call for retrieving host information, optim queri call retriev host inform,Every 15 seconds  Ambari Web makes a call to retrieve information about all hosts in the cluster. With 400+ nodes  this call retrieves about 10MB of info  since the API returns last_agent_env  which is host check results used during bootstrap and makes the payload huge.By optimizing the query string for this API call  we can cut down on the payload by more than 90%., everi second ambari web make call retriev inform host cluster with node call retriev mb info sinc api return last agent env host check result use bootstrap make payload huge by optim queri string api call cut payload,0,0,0,0,1,0,
1461,Optimize query for getting service and host component status back from the server, optim queri get servic host compon statu back server,The API response for getting service/host component status back from the server is unnecessarily big due to nagios_alerts being included as part of the response. This optimization can cut the payload in half or more  and also eases load on the server since it does not have to get Nagios alerts as part of fulfilling the API call., the api respons get servic host compon statu back server unnecessarili big due nagio alert includ part respons thi optim cut payload half also eas load server sinc get nagio alert part fulfil api call,0,0,0,0,1,0,
1465,Minimize Read and Write locks for createHosts, minim read write lock creat host,Invocation count and exec time for ClustersImpl.mapHostToCluser very highorg.apache.ambari.server.state.cluster.ClustersImpl.mapHostToCluster(String  String) Time(ms): 252 925 Avg Time(ms): 5 269 Own Time(ms): 211Invocation Count: 48Each time host is mapped to cluster we refresh the entity manager. This results in the createHosts call taking excess of 10 minutes, invoc count exec time cluster impl map host to cluser highorg apach ambari server state cluster cluster impl map host to cluster string string time ms avg time ms own time ms invoc count each time host map cluster refresh entiti manag thi result creat host call take excess minut,1,0,0,0,1,0,
1466,Optimize ganglia rrd script to be able to respond within reasonable time to queries made by the UI., optim ganglia rrd script abl respond within reason time queri made ui,Optimize ganglia rrd script to be able to respond within reasonable time to queries made by the UI., optim ganglia rrd script abl respond within reason time queri made ui,0,0,0,0,1,0,
1473,Further optimization of querying host information from the server, further optim queri host inform server,Further work on optimizing query for getting host information on top of BUG-1460., further work optim queri get host inform top bug,0,0,0,0,0,0,
1486,Fix TestHostName to take care of issues when gethostname and getfqdn do not match., fix test host name take care issu gethostnam getfqdn match,Fix TestHostName to take care of issues when gethostname and getfqdn do not match., fix test host name take care issu gethostnam getfqdn match,0,0,0,0,0,0,
1487,Fix alerts at host level if MapReduce is not selected not to alert for tasktrackers not running., fix alert host level map reduc select alert tasktrack run,Fix alerts at host level if MapReduce is not selected not to alert for tasktrackers not running., fix alert host level map reduc select alert tasktrack run,1,0,0,0,0,0,
1488,Nagios script causes unwanted  Datanode logs., nagio script caus unwant datanod log,Nagios script causes unwanted Datanode logs., nagio script caus unwant datanod log,1,0,0,0,0,0,
1489,Add hadoop-lzo to be one of the rpms to check for before installation., add hadoop lzo one rpm check instal,Add hadoop-lzo to be one of the rpms to check for before installation., add hadoop lzo one rpm check instal,0,0,0,0,0,0,
1496,Make all service properties reconfigurable., make servic properti reconfigur,,,0,0,0,0,0,0,
1497,Fix start up option for ambari-server where there is a missing space., fix start option ambari server miss space,Fix start up option for ambari-server where there is a missing space., fix start option ambari server miss space,0,0,0,0,0,0,
1499,Add hosts is broken, add host broken,This is due to performance enhancements for querying hosts.Hosts/disk_info for the hosts being added is expected in the Add Hosts wizard  but it is now missing., thi due perform enhanc queri host host disk info host ad expect add host wizard miss,0,0,0,0,1,0,
1505,Hosts page: add filtering by host status, host page add filter host statu,Show the host status filter at the top of the Hosts table  showing the status and the number of hosts in that status., show host statu filter top host tabl show statu number host statu,0,0,0,0,0,0,
1519,Ambari Web goes back and forth between frozen and usable state peridocially on a large cluster, ambari web goe back forth frozen usabl state peridoci larg cluster,The background polling to update the live status of services and host components runs every 6 seconds. When this happens  the whole UI freezes for several seconds periodically., the background poll updat live statu servic host compon run everi second when happen whole ui freez sever second period,0,0,0,0,1,0,
1520,Alerts take around 20-30 seconds to show up everytime you refresh the dashboard., alert take around second show everytim refresh dashboard,Alerts take around 20-30 seconds to show up everytime you refresh the dashboard., alert take around second show everytim refresh dashboard,0,0,0,0,1,0,
1536,Hosts page layout fixes, host page layout fix,1.Use Bootstrap-style tooltip for the hover tooltip on the host status dots as well as the disk usage bars. The current tooltip does not show up unless you rest your mouse cursor for more than a second - users will simply assume there's no tooltip hover when quickly moving the mouse cursor over them.2.We can kill some space between the status dots and the hostnames in the table as well.3.Also  there is too much margin at the top compared to the rest of the pages., use bootstrap style tooltip hover tooltip host statu dot well disk usag bar the current tooltip show unless rest mous cursor second user simpli assum tooltip hover quickli move mous cursor we kill space statu dot hostnam tabl well also much margin top compar rest page,0,0,0,0,0,0,
1537,Constrain the width of all wizard popups, constrain width wizard popup,Currently  the popup for any wizard resizes to fill up the width of the browser width with some horizontal margin. Vertically  it resizes to fit the height of the content; in some cases  it looks really silly on a wide screen.We should specify the max width of the wizard popup. Ambari Web supports two width configurations (wide and narrow)  so the wizard popup should look good in these two configurations., current popup wizard resiz fill width browser width horizont margin vertic resiz fit height content case look realli silli wide screen we specifi max width wizard popup ambari web support two width configur wide narrow wizard popup look good two configur,0,0,0,0,0,0,
1559,Jobs failed count always returns 0 in the jobtracker API metrics, job fail count alway return jobtrack api metric,See the attachments  but after running both successful and failed MapReduce jobs  the jobs submitted count includes all jobs  the jobs successful appears correct  but the jobs failed count is still 0., see attach run success fail map reduc job job submit count includ job job success appear correct job fail count still,0,0,0,0,0,0,
1580,Stack Upgrade Wizard - resume upon page refresh / login, stack upgrad wizard resum upon page refresh login,,,0,0,0,0,0,0,
1581,Host progress popup - generic component for showing progress on async operations, host progress popup gener compon show progress async oper,This is for the popup that shows up upon clicking already-performed or currently-in-progress async operations.We should take what we already have for host-level popup in Step 9 as a base and make it reusable  with a new higher level showing all hosts., thi popup show upon click alreadi perform current progress async oper we take alreadi host level popup step base make reusabl new higher level show host,0,0,0,0,0,0,
1582,Cannot start hadoop services after hdfs re-configuration and amabri server restart., cannot start hadoop servic hdf configur amabri server restart,Cannot start hadoop services after several restarts since the agents., cannot start hadoop servic sever restart sinc agent,0,0,0,0,0,0,
1597,Templeton smoke test fails for secure cluster, templeton smoke test fail secur cluster,Templeton start fails due to multiple errors.[0;36mnotice: /Stage&#91;2&#93;/Hdp-templeton::Copy-hdfs-directories/Hdp-hadoop::Hdfs::Copyfromlocal&#91;/usr/lib/hadoop/contrib/streaming/hadoop-streaming*.jar&#93;/Hdp-hadoop::Exec-hadoop&#91;fs -copyFromLocal /usr/lib/hadoop/contrib/streaming/hadoop-streaming*.jar /apps/webhcat/hadoop-streaming.jar&#93;/Hdp::Exec&#91;/usr/bin/kinit -kt /etc/security/keytabs/hcat.headless.keytab hcat; hadoop --config /etc/hadoop/conf fs -copyFromLocal /usr/lib/hadoop/contrib/streaming/hadoop-streaming*.jar /apps/webhcat/hadoop-streaming.jar&#93;/Exec&#91;/usr/bin/kinit -kt /etc/security/keytabs/hcat.headless.keytab hcat; hadoop --config /etc/hadoop/conf fs -copyFromLocal /usr/lib/hadoop/contrib/streaming/hadoop-streaming*.jar /apps/webhcat/hadoop-streaming.jar&#93;/returns: kinit: Client not found in Kerberos database while getting initial credentials^[[0m, templeton start fail due multipl error mnotic stage hdp templeton copi hdf directori hdp hadoop hdf copyfromloc usr lib hadoop contrib stream hadoop stream jar hdp hadoop exec hadoop fs copi from local usr lib hadoop contrib stream hadoop stream jar app webhcat hadoop stream jar hdp exec usr bin kinit kt etc secur keytab hcat headless keytab hcat hadoop config etc hadoop conf fs copi from local usr lib hadoop contrib stream hadoop stream jar app webhcat hadoop stream jar exec usr bin kinit kt etc secur keytab hcat headless keytab hcat hadoop config etc hadoop conf fs copi from local usr lib hadoop contrib stream hadoop stream jar app webhcat hadoop stream jar return kinit client found kerbero databas get initi credenti,0,0,0,0,0,0,
1621,Config/Reconfig UI should not allow certain configs to have host-level overrides, config reconfig ui allow certain config host level overrid,,,0,0,0,0,0,0,
1631,Security Wizard - integrate host progress popup, secur wizard integr host progress popup,,,0,0,0,0,0,0,
1641,Some map and reduce task metrics are missing for the tasktrackers in the API, some map reduc task metric miss tasktrack api,With Ambari 1.2.2  I can?? get the metrics.mapred object to show up for the tasktracker component. Our code is hitting the URL: http://sdll4474.labs.teradata.com:8080/api/v1/clusters/sdll4474.labs.teradata.com/services/MAPREDUCE/components/TASKTRACKER?fields=host_components/*. Here?? one of the objects in the host_components array. Note that the data in metrics.mapred.tasktracker is providing some data I??e never seen before. In previous versions we say properties such as reduces_running  reduceTaskSlots  maps_running  etc. in this object. { 'href' : 'http://aster39h1.td.teradata.com:8080/api/v1/clusters/aster39h1.td.teradata.com/hosts/byn001-17/host_components/TASKTRACKER'  'HostRoles' : { 'cluster_name' : 'aster39h1.td.teradata.com'  'desired_state' : 'STARTED'  'state' : 'STARTED'  'component_name' : 'TASKTRACKER'  'service_name' : 'MAPREDUCE'  'host_name' : 'byn001-17' }  'metrics' : { 'boottime' : 1.360089758E9  'process' : { 'proc_total' : 845.211111111  'proc_run' : 0.0 }  'rpc' : { 'rpcAuthorizationSuccesses' : 9  'SentBytes' : 6842  'rpcAuthorizationFailures' : 0  'ReceivedBytes' : 26187  'NumOpenConnections' : 0  'callQueueLen' : 0  'RpcQueueTime_num_ops' : 59  'rpcAuthenticationSuccesses' : 0  'RpcProcessingTime_num_ops' : 59  'rpcAuthenticationFailures' : 0  'RpcProcessingTime_avg_time' : 0.6666666666666666  'RpcQueueTime_avg_time' : 0.0 }  'mapred' : { 'shuffleOutput' : { 'shuffle_success_outputs' : 1  'shuffle_handler_busy_percent' : 0.0  'shuffle_output_bytes' : 1400  'shuffle_failed_outputs' : 0  'shuffle_exceptions_caught' : 0 }  'tasktracker' : { 'ConfigVersion' : 'default'  'HttpPort' : 50060  'TasksInfoJson' : '{/'running/':0 /'failed/':0 /'commit_pending/':0}'  'JobTrackerUrl' : 'aster39h1.td.teradata.com:50300'  'Healthy' : true  'Version' : '1.1.2.22  r'  'Hostname' : 'byn001-17'  'RpcPort' : 48526 } }  'ugi' : { 'loginFailure_num_ops' : 0  'loginSuccess_num_ops' : 0  'loginSuccess_avg_time' : 0.0  'loginFailure_avg_time' : 0.0 }  'disk' : { 'disk_total' : 36841.767  'disk_free' : 36776.9775333  'part_max_used' : 70.7 }  'cpu' : { 'cpu_speed' : 1999.0  'cpu_wio' : 0.0  'cpu_num' : 24.0  'cpu_idle' : 99.8886111111  'cpu_nice' : 0.0  'cpu_aidle' : 0.0  'cpu_system' : 0.1  'cpu_user' : 0.0227777777778 }  'rpcdetailed' : { 'getTask_avg_time' : 1.0  'ping_avg_time' : 0.0  'done_avg_time' : 1.0  'getProtocolVersion_avg_time' : 0.0  'getMapCompletionEvents_avg_time' : 0.0  'done_num_ops' : 9  'getMapCompletionEvents_num_ops' : 6  'canCommit_num_ops' : 6  'ping_num_ops' : 2  'commitPending_avg_time' : 1.0  'statusUpdate_num_ops' : 15  'statusUpdate_avg_time' : 1.0  'getTask_num_ops' : 9  'getProtocolVersion_num_ops' : 9  'commitPending_num_ops' : 3  'canCommit_avg_time' : 0.0 }  'load' : { 'load_fifteen' : 0.0  'load_one' : 0.0  'load_five' : 0.0 }  'jvm' : { 'memHeapCommittedM' : 100.4375  'NonHeapMemoryUsed' : 25214472  'logFatal' : 0  'threadsWaiting' : 17  'gcCount' : 122400  'threadsBlocked' : 0  'HeapMemoryUsed' : 77617416  'logWarn' : 0  'logError' : 0  'HeapMemoryMax' : 954466304  'memNonHeapCommittedM' : 26.125  'memNonHeapUsedM' : 24.046394  'gcTimeMillis' : 81352  'NonHeapMemoryMax' : 136314880  'logInfo' : 3  'memHeapUsedM' : 73.81818  'threadsNew' : 0  'threadsTerminated' : 0  'maxMemoryM' : 758.4375  'threadsTimedWaiting' : 10  'threadsRunnable' : 6 }  'network' : { 'pkts_out' : 111.684472222  'bytes_in' : 1428.83666667  'bytes_out' : 23201.8668056  'pkts_in' : 13.9853333333 }  'memory' : { 'mem_total' : 1.31854096E8  'swap_free' : 6291448.0  'mem_buffers' : 574794.711111  'mem_shared' : 0.0  'swap_total' : 6291448.0  'mem_cached' : 6061952.85556  'mem_free' : 1.23072573378E8 } }  'component' : [ { 'href' : 'http://aster39h1.td.teradata.com:8080/api/v1/clusters/aster39h1.td.teradata.com/services/MAPREDUCE/components/TASKTRACKER'  'ServiceComponentInfo' : { 'cluster_name' : 'aster39h1.td.teradata.com'  'component_name' : 'TASKTRACKER'  'service_name' : 'MAPREDUCE' } } ] }, with ambari i get metric mapr object show tasktrack compon our code hit url http sdll lab teradata com api v cluster sdll lab teradata com servic mapreduc compon tasktrack field host compon here one object host compon array note data metric mapr tasktrack provid data i e never seen in previou version say properti reduc run reduc task slot map run etc object href http aster h td teradata com api v cluster aster h td teradata com host byn host compon tasktrack host role cluster name aster h td teradata com desir state start state start compon name tasktrack servic name mapreduc host name byn metric boottim e process proc total proc run rpc rpc author success sent byte rpc author failur receiv byte num open connect call queue len rpc queue time num op rpc authent success rpc process time num op rpc authent failur rpc process time avg time rpc queue time avg time mapr shuffl output shuffl success output shuffl handler busi percent shuffl output byte shuffl fail output shuffl except caught tasktrack config version default http port task info json run fail commit pend job tracker url aster h td teradata com healthi true version r hostnam byn rpc port ugi login failur num op login success num op login success avg time login failur avg time disk disk total disk free part max use cpu cpu speed cpu wio cpu num cpu idl cpu nice cpu aidl cpu system cpu user rpcdetail get task avg time ping avg time done avg time get protocol version avg time get map complet event avg time done num op get map complet event num op commit num op ping num op commit pend avg time statu updat num op statu updat avg time get task num op get protocol version num op commit pend num op commit avg time load load fifteen load one load five jvm mem heap commit m non heap memori use log fatal thread wait gc count thread block heap memori use log warn log error heap memori max mem non heap commit m mem non heap use m gc time milli non heap memori max log info mem heap use m thread new thread termin max memori m thread time wait thread runnabl network pkt byte byte pkt memori mem total e swap free mem buffer mem share swap total mem cach mem free e compon href http aster h td teradata com api v cluster aster h td teradata com servic mapreduc compon tasktrack servic compon info cluster name aster h td teradata com compon name tasktrack servic name mapreduc,0,0,0,0,0,0,
1645,Undo should not be allowed on component hosts, undo allow compon host,,,0,0,0,0,0,0,
1666,Oozie properties for principal and keytab not read from oozie-site, oozi properti princip keytab read oozi site,Oozie principal is create by the UI as oozie/${hostname}@realm.comPuppet script has a bug that does not read this property and uses default 'oozie' as the principal, oozi princip creat ui oozi hostnam realm com puppet script bug read properti use default oozi princip,0,0,0,0,0,0,
1667,Starting all services fails on secure cluster (excluding HBase and ZooKeeper), start servic fail secur cluster exclud h base zoo keeper,HDFS service check failure leads to this.After the failure of the 'HDFS service check' task  stage fails. But HDFS comes up.The Ambari server hostname for secure cluster: ec2-54-234-164-5.compute-1.amazonaws.com, hdf servic check failur lead after failur hdf servic check task stage fail but hdf come the ambari server hostnam secur cluster ec comput amazonaw com,0,0,0,0,0,0,
1702,Ambari/GSInstallers need to set the value of mapred.jobtracker.completeuserjobs.maximum, ambari gs instal need set valu mapr jobtrack completeuserjob maximum,mapred.jobtracker.completeuserjobs.maximum is currently set to 0. This causes issues with failed(/successful) jobs from pig and other job submitters because the references to the failed job is cleared up asap in jobtracker preventing one from accessing the failure reason. This value should be bumped up to about 100 according to the MapReduce team., mapr jobtrack completeuserjob maximum current set thi caus issu fail success job pig job submitt refer fail job clear asap jobtrack prevent one access failur reason thi valu bump accord map reduc team,0,0,0,0,0,0,
1724,Agent has it hard-coded that HDP repo file can only be downloaded once, agent hard code hdp repo file download,Upgrade requires agents to download the repo file anytime., upgrad requir agent download repo file anytim,0,0,0,0,0,0,
1726,It seems upgrades available at the FE is hard-coded to 1.3.0, it seem upgrad avail fe hard code,In order to test upgrade  I modified the available stack definitions to allow upgrade from 1.2.0 to 1.2.2 and removed upgrade to 1.3.0. However  the FE still says '(Upgrade available: HDP-1.3.0)'. However  http://server:8080/api/v1/stacks2/HDP/versions/1.3.0/ has min_upgrade_version as null.{ 'href' : 'http://server:8080/api/v1/stacks2/HDP/versions/1.3.0/'  'Versions' : { 'stack_version' : '1.3.0'  'stack_name' : 'HDP'  'min_upgrade_version' : null } ..., in order test upgrad i modifi avail stack definit allow upgrad remov upgrad howev fe still say upgrad avail hdp howev http server api v stack hdp version min upgrad version null href http server api v stack hdp version version stack version stack name hdp min upgrad version null,0,0,0,0,0,0,
1739,HBase and Zk failed to start on secure install, h base zk fail start secur instal,Error during starting hbase and zookeeper during secure install.Incorrectly parsed Files:hbase-env.shzookeeper-env.sh, error start hbase zookeep secur instal incorrectli pars file hbase env shzookeep env sh,0,0,0,0,0,0,
1752,Backend support for MySQL and Oracle for Oozie and Hive, backend support my sql oracl oozi hive,Add ability to use Oracle DB for Hive and Oozie in Ambari, add abil use oracl db hive oozi ambari,0,0,0,0,0,0,
1757,Add support for Stack 1.2.2 to Ambari, add support stack ambari,Add support for Stack 1.2.2 to Ambari., add support stack ambari,1,0,0,0,0,0,
1764,Unable to get all tasks from more than one request_id by one request, unabl get task one request id one request,When trying to get tasks from more than one request_id returns tasks only for one.request 'api/v1/clusters/mycluster/requests?Requests/id=1|Requests/id=2'returns:{'href' : 'http://ec2-23-20-223-127.compute-1.amazonaws.com:8080/api/v1/clusters/mycluster/requests?Requests/id=1|Requests/id=2' 'items' : [{'href' : 'http://ec2-23-20-223-127.compute-1.amazonaws.com:8080/api/v1/clusters/mycluster/requests/2' 'Requests' :{ 'id' : 2  'cluster_name' : 'mycluster' }}]}, when tri get task one request id return task one request api v cluster myclust request request id request id return href http ec comput amazonaw com api v cluster myclust request request id request id item href http ec comput amazonaw com api v cluster myclust request request id cluster name myclust,0,0,0,0,0,0,
1770,Hue installation fails due to manifest errors, hue instal fail due manifest error,Hue installation fails due to following errors:1. Change in the name of rpm bundle2. Empty values in the hue.ini sections, hue instal fail due follow error chang name rpm bundl empti valu hue ini section,1,0,0,0,0,0,
1775,Security wizard - Javascript error is thrown when zooKeeper is included as a secure service., secur wizard javascript error thrown zoo keeper includ secur servic,,,0,0,0,0,0,0,
1789,Stopping and then Starting all services doesn't start NameNode, stop start servic start name node,Security wizard stops all services  applies configuration and then starts all services.Sometimes it has been noticed that the action to stop all service completes successfully but the action to start all services never sends the task to start NameNode., secur wizard stop servic appli configur start servic sometim notic action stop servic complet success action start servic never send task start name node,1,0,0,0,0,0,
1791,Can not specify request context for smoke test request, can specifi request context smoke test request,Regarding BUG-3509 when we send request to server likeapi/v1/clusters/cl1/services/HDFS/actions/HDFS_SERVICE_CHECKRequest Method:POST Form Data:{'RequestInfo':{'context':'Smoke Test'}}This request is not setting request_context., regard bug send request server likeapi v cluster cl servic hdf action hdf servic check request method post form data request info context smoke test thi request set request context,0,0,0,0,0,0,
1816,Security wizard: Add missing secure configs to Hbase service and make 'zookeeper' as default primary name for zookeeper principal., secur wizard add miss secur config hbase servic make zookeep default primari name zookeep princip,,,1,0,0,1,0,0,
1818,HBase master shuts down immediately after start in a secure cluster., h base master shut immedi start secur cluster,HBase master shuts down immediately after start in a secure cluster.Wrong settings in the hbase_master_jaas. Need to replace the 'HOST with actual fqdn, h base master shut immedi start secur cluster wrong set hbase master jaa need replac host actual fqdn,0,0,0,0,0,0,
1837,Few core-site properties vanished after seemingly benign reconfiguration., few core site properti vanish seemingli benign reconfigur,UI metadata properties are not being reconfigured and retained on saving services., ui metadata properti reconfigur retain save servic,1,0,0,0,0,0,
1838,Cluster Management > Services > MapReduce > Config throws JS error and the page comes up blank, cluster manag servic map reduc config throw js error page come blank,,,1,0,0,0,0,0,
1840,For global properties show restart for appropriate services only, for global properti show restart appropri servic,Currently when one service changes a property which doesnt effect all other services  the rest of the services are marked for restart. This is because the global tags are changed. Using work done in AMBARI-1797  only appropriate services should be marked as needing restart., current one servic chang properti doesnt effect servic rest servic mark restart thi global tag chang use work done ambari appropri servic mark need restart,1,0,0,0,0,0,
1847,Make single PUT call for multiple host overrides, make singl put call multipl host overrid,Currently when we save host-overrides configuration  we have to do PUT of the delta on each host.This is problematic if admin provides an exception to 100 hosts. This will require 100 PUT calls which is expensive. There is a bulk update mechanism  but that requires the same content for all 100 hosts. This will not be the case if any hosts have other properties that are overridden.To save on network calls  we have to make one PUT call via the new API provided by AMBARI-1844., current save host overrid configur put delta host thi problemat admin provid except host thi requir put call expens there bulk updat mechan requir content host thi case host properti overridden to save network call make one put call via new api provid ambari,1,0,0,0,0,0,
1849,Cosmetic problems on HBase Dashboard, cosmet problem h base dashboard,,,0,0,0,0,0,0,
1855,Capacity Scheduler: when adding a new queue  populate fields, capac schedul ad new queue popul field,When creating a new queue  populate all fields with default values except for:Queue NameCapacityMax CapacityUsersGroupsAdmin UsersAdmin Groups, when creat new queue popul field default valu except queue name capac max capac user group admin user admin group,1,0,0,0,0,0,
1859,Cannot load Nagios Alerts due to 400 Bad Request, cannot load nagio alert due bad request,Given the API call: http://dev.hortonworks.com:8080/api/v1/clusters/test403_2/host_components?HostRoles/component_name=NAGIOS_SERVER&amp;fields=HostRoles/nagios_alertsThe feedback is:{ 'status' : 400  'message' : 'The properties [HostRoles/nagios_alerts] specified in the request or predicate are not supported for the resource type HostComponent.' }, given api call http dev hortonwork com api v cluster test host compon host role compon name nagio server amp field host role nagio alert the feedback statu messag the properti host role nagio alert specifi request predic support resourc type host compon,1,0,0,1,0,0,
1860,Master broken - Cannot deploy services, master broken cannot deploy servic,Datanode install fails on multi-node clusters because the following configuration property:$ambari_db_rca_url= 'jdbc:postgresql://localhost/ambarirca'Ensure all of these variables are wired up:'ambari_db_rca_url''ambari_db_rca_driver''ambari_db_rca_username''ambari_db_rca_password', datanod instal fail multi node cluster follow configur properti ambari db rca url jdbc postgresql localhost ambarirca ensur variabl wire ambari db rca url ambari db rca driver ambari db rca usernam ambari db rca password,0,0,0,0,0,0,
1870,ambari-agent RPM claims ownership of /usr/sbin, ambari agent rpm claim ownership usr sbin,This may impact other versions  only branch-1.2 was changed.The ambari-agent.spec (generated from rpm-maven-plugin) claims ownership of /usr/sbin $ grep sbin target/rpm/ambari-agent/SPECS/ambari-agent.spec | grep attr%attr(755 root root) /usr/sbinThis is a problem because the filesystem RPM owns /usr/sbin.According to rpm-maven-plugin documentation&#91;0&#93;  this is because the only file under /usr/sbin is ambari-agent and'directoryIncludedIf the value is true then the attribute string will be written for the directory if the sources identify all of the files in the directory (that is  no other mapping contributed files to the directory). This is the default behavior.'The 'no other mapping contributed files to the directory' bit is important.The solution is to add directoryInclude=false to the mapping.&#91;0&#93; http://mojo.codehaus.org/rpm-maven-plugin/map-params.html, thi may impact version branch chang the ambari agent spec gener rpm maven plugin claim ownership usr sbin grep sbin target rpm ambari agent spec ambari agent spec grep attr attr root root usr sbin thi problem filesystem rpm own usr sbin accord rpm maven plugin document file usr sbin ambari agent directori includ if valu true attribut string written directori sourc identifi file directori map contribut file directori thi default behavior the map contribut file directori bit import the solut add directori includ fals map http mojo codehau org rpm maven plugin map param html,0,0,0,0,0,0,
1872,Ambari FE is not setting proper value for fs.checkpoint.edits.dir, ambari fe set proper valu fs checkpoint edit dir,,,1,0,0,0,0,0,
1873,HUE pid and log dir labels are flip flopped, hue pid log dir label flip flop,,,0,0,0,0,0,0,
1876,Capacity Scheduler: implement user/group and admin user/group validation rules, capac schedul implement user group admin user group valid rule,,,1,0,0,0,0,0,
1877,Reassign Master Wizard  Step 2: prevent proceed next without changing target host, reassign master wizard step prevent proceed next without chang target host,,,1,0,0,0,0,0,
1880,stacks2 API uses 'type' to refer to config tags and no longer exposes 'filename' as a property, stack api use type refer config tag longer expos filenam properti,FE needs to be modified to not to use 'filename' in stacks API to get the config tags. The new property is 'type'., fe need modifi use filenam stack api get config tag the new properti type,1,0,0,0,0,0,
1881,API to map global properties to services is partially complete., api map global properti servic partial complet,API to map global properties to services is partially complete. The API gives 'global.xml' to approximately 47 properties. However the 'global' site has many more properties - so I dont know if some are fully missed., api map global properti servic partial complet the api give global xml approxim properti howev global site mani properti i dont know fulli miss,1,0,0,0,1,0,
1891,Impossibility to scroll metric window after browser width changing, imposs scroll metric window browser width chang,Open detailed view of any metric diagram on Services page  for example 'Total Space Utilization'. After that change width of browser less than width of detailed view of metric diagram. Right arrow for graph time paging is invisible and we can't to resolve this problem using horizontal scrollbar., open detail view metric diagram servic page exampl total space util after chang width browser less width detail view metric diagram right arrow graph time page invis resolv problem use horizont scrollbar,0,0,0,0,0,0,
1896,Disable editing Capacity Scheduler on host configs, disabl edit capac schedul host config,Go to Configs tab of Host.Result: Queues in Capacity Scheduler category are editable.Expected: Queues in Capacity Scheduler category shouldn't be editable., go config tab host result queue capac schedul categori edit expect queue capac schedul categori edit,1,0,0,0,0,0,
1904,Update default stack version to 1.3.0, updat default stack version,,,1,0,0,0,0,0,
1912,HBase master doesn't come up after disabling security., h base master come disabl secur,,,1,0,0,0,0,0,
