@Relation 3_ambari_Performance_str
@attribute auth {12.0,32.0,48.0,45.0,41.0,4.0,34.0,6.0,52.0,46.0,36.0,23.0,25.0,5.0,54.0,43.0,21.0,33.0,2.0,13.0,29.0,31.0,14.0,0.0,53.0,35.0,11.0,28.0,26.0,50.0,40.0}
@attribute lex0 numeric
@attribute lex2 numeric
@attribute comp0 {0.0,1.0}
@attribute comp1 {0.0,1.0}
@attribute comp2 {0.0,1.0}
@attribute comp3 {0.0,1.0}
@attribute comp4 {0.0,1.0}
@attribute comp5 {0.0,1.0}
@attribute prob0 numeric
@attribute prob1 numeric
@attribute target {0,1}
@data
29.0,0.143,0.977,1.0,0.0,0.0,0.0,0.0,0.0,0.943,0.057,0
41.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.896,0.104,0
41.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.221,0.779,0
34.0,0.048,0.998,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.8,0
48.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,1
11.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.608,0.392,0
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.375,0.625,0
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.999,0.001,0
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.186,0.814,0
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.807,0.193,0
43.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0
40.0,0.022,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,1
43.0,0.059,0.996,1.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0
43.0,0.02,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
23.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
35.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.006,0.994,0
45.0,0.067,0.995,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0
5.0,0.033,0.999,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.2,0
14.0,0.025,0.999,0.0,1.0,0.0,0.0,0.0,0.0,0.7,0.3,0
23.0,0.222,0.969,0.0,1.0,0.0,0.0,0.0,0.0,0.296,0.704,0
14.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.4,0
13.0,0.025,0.999,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.9,0
35.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.71,0.29,0
23.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.131,0.869,0
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3,0.7,0
36.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.168,0.832,0
5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.851,0.149,0
13.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.775,0.225,0
23.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.554,0.446,0
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.775,0.225,0
5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.649,0.351,0
35.0,0.038,0.999,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.2,0
40.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
36.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.37,0.63,0
40.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.799,0.201,0
52.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.611,0.389,0
13.0,0.077,0.997,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
23.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.297,0.703,0
5.0,0.1,0.989,0.0,1.0,0.0,0.0,0.0,0.0,0.632,0.368,0
35.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.312,0.688,0
52.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.59,0.41,0
13.0,0.0,0.999,0.0,1.0,0.0,0.0,0.0,0.0,0.9,0.1,0
13.0,0.056,0.998,0.0,1.0,0.0,0.0,0.0,0.0,0.702,0.298,0
23.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.78,0.22,0
13.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.904,0.096,0
13.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
41.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.585,0.415,0
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9,0.1,0
29.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
53.0,0.0,0.997,1.0,0.0,0.0,0.0,0.0,0.0,0.501,0.499,0
52.0,0.0,0.995,0.0,1.0,0.0,0.0,0.0,0.0,0.692,0.308,0
13.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.217,0.783,0
40.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9,0.1,0
5.0,0.013,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.2,0
50.0,0.019,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0
36.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
23.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.249,0.751,0
40.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.134,0.866,0
41.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.793,0.207,0
40.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.599,0.401,0
13.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
40.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.191,0.809,0
43.0,0.053,0.997,0.0,1.0,0.0,0.0,0.0,0.0,0.199,0.801,0
34.0,0.0,0.998,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
13.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.718,0.282,0
41.0,0.059,0.992,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.2,0
5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.699,0.301,0
13.0,0.048,0.995,0.0,1.0,0.0,0.0,0.0,0.0,0.758,0.242,0
13.0,0.039,0.999,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
13.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.6,0
2.0,0.1,0.989,0.0,1.0,0.0,0.0,0.0,0.0,0.294,0.706,0
52.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.769,0.231,0
40.0,0.048,0.995,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.999,0
5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.2,0
6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.588,0.412,0
40.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.578,0.422,0
43.0,0.065,0.996,0.0,1.0,0.0,0.0,0.0,0.0,0.9,0.1,0
