@relation 7_Camel_Shaon_str-weka.filters.unsupervised.attribute.NumericToNominal-R5-18-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute author {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321}
@attribute pos numeric
@attribute neu numeric
@attribute neg numeric
@attribute com0 {0,1}
@attribute com1 {0,1}
@attribute com2 {0,1}
@attribute com3 {0,1}
@attribute com4 {0,1}
@attribute com5 {0,1}
@attribute com6 {0,1}
@attribute com7 {0,1}
@attribute com8 {0,1}
@attribute ST {0,1}
@attribute Patch {0,1}
@attribute CE {0,1}
@attribute TC {0,1}
@attribute EN {0,1}
@attribute prob0 numeric
@attribute prob1 numeric
@attribute target {0,1}

@data
95,0,0,26,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
74,2,0,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
178,0,0,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
298,2,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
74,2,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
74,1,2,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
74,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.99,0
81,2,1,40,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
74,2,0,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
252,2,0,17,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
74,1,0,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74,0,0,15,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.95,0.05,0
128,0,1,14,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
289,2,1,47,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
316,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
156,1,0,15,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
316,0,0,34,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
299,0,0,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.05,0.95,1
74,0,1,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74,2,1,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
299,5,2,82,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
105,3,1,53,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
252,3,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
68,3,3,47,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
298,3,1,78,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
74,1,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
74,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
298,4,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
74,1,0,14,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
74,1,0,14,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
90,0,0,11,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.04,0.96,1
156,0,0,15,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
90,2,0,11,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
298,1,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
128,0,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
299,1,0,55,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
74,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74,1,1,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
177,3,2,71,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
74,1,2,75,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
298,1,0,28,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
298,0,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
51,1,0,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74,1,0,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
316,1,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74,1,2,32,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
123,1,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
118,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.92,0.08,0
74,1,1,37,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
74,1,2,12,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
74,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74,2,1,50,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
74,2,2,67,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
74,1,0,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74,0,1,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74,0,0,15,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
108,2,2,75,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
299,0,0,30,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
74,1,1,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
57,2,0,19,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
255,0,0,23,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
298,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
298,1,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
74,0,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
156,0,0,28,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
298,0,0,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
299,0,0,18,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.06,0.94,0
40,0,1,37,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
128,4,0,53,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
46,1,1,53,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
156,0,1,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
298,3,0,26,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
156,1,1,20,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
74,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,1,0,59,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
74,1,1,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74,1,1,18,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
298,0,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.92,0
74,1,2,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,1,33,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
74,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
40,0,0,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
3,0,4,19,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
298,0,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74,1,0,26,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
208,0,1,31,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
87,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
128,1,2,53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
128,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.99,0
156,0,1,45,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
218,0,0,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
316,0,0,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
189,1,0,46,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
122,1,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
128,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
106,5,2,80,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
74,0,1,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74,1,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74,2,0,20,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
74,0,1,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
264,1,0,31,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
57,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74,1,0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
189,3,1,82,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
37,0,0,22,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.01,0.99,0
74,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
156,1,1,39,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
156,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
197,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
156,0,0,13,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
37,2,1,34,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
128,1,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74,0,1,17,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.61,0.39,0
321,1,1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
128,2,1,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
298,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
120,5,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
252,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
74,1,2,38,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.02,0.98,0
188,5,0,40,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.93,0.07,0
141,3,1,56,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
74,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
292,2,0,45,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
156,0,1,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74,0,1,21,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
156,7,0,99,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
72,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74,0,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74,1,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74,0,0,13,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
254,1,1,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
74,2,1,31,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
298,2,1,36,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
74,0,0,28,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
237,2,0,74,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
141,3,0,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74,0,1,32,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
74,2,2,28,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
74,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
225,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74,1,2,41,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
74,0,1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
88,0,2,78,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
123,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
57,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
252,1,0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74,1,0,21,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
252,1,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
291,1,0,41,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
298,3,1,35,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
156,2,0,11,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
204,4,2,64,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
74,1,1,22,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
204,0,1,36,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
135,2,3,52,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
74,1,0,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
74,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
74,0,0,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
298,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
214,4,0,44,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
74,3,0,32,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
74,1,0,23,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
57,1,0,19,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
307,2,1,41,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
74,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
204,1,2,74,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1
74,2,1,29,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
298,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74,0,0,30,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
96,0,0,16,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
74,0,2,34,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
74,1,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74,2,0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
193,0,1,27,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
298,2,0,49,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
257,1,0,19,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
257,1,1,41,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
74,0,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74,0,1,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
115,0,0,30,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
74,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0.39,0
310,1,0,34,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
298,5,2,84,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
89,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
298,0,0,18,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
298,1,0,27,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
115,0,1,14,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
220,1,0,56,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
298,1,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
259,1,1,25,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
74,1,1,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
270,0,0,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74,3,1,21,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
74,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0.01,0
220,2,1,31,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
68,0,1,27,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
74,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
74,0,0,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
74,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
298,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
74,0,0,42,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.88,0.12,0
252,1,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
298,1,0,24,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
74,0,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25,4,2,48,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
128,1,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
93,0,0,31,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
93,0,0,38,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
74,0,0,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74,1,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.64,1
273,1,0,23,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
156,0,1,52,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.61,0.39,1
74,1,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
74,4,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
74,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74,1,0,25,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
128,1,1,30,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
298,0,2,11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
74,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.05,0.95,0
303,4,2,97,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
91,1,0,15,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
187,2,0,44,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
273,4,0,31,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
259,1,0,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
187,5,1,54,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
187,4,0,50,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
74,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
74,2,0,24,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
298,0,1,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74,0,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
273,1,1,9,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
273,2,0,50,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
74,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
273,2,0,20,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
68,2,1,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0.02,0
272,1,0,30,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
273,1,1,30,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
68,1,1,36,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
273,0,0,22,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
74,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
273,0,0,16,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
254,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
74,1,1,15,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
273,0,0,24,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
78,1,0,38,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
74,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0.07,0
126,0,0,11,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
