issue_id,reporter,component,keywords,pre_sum,summary,pre_des,description,des-1,des-2,des-3,des-4,des-5,files,Security
214,james strachan,null,0,the 1.2.0 release didnt' seem to include the javadocs or doc directory (or manual)!, releas didnt didnt seem includ javadoc doc directori manual manual,I wondered if this was due to your machine Hiram having some dodgy maven plugin around or something?, wonder due machin hiram dodgi maven plugin around someth someth,0,0,0,0,0,0,0
224,Arjan Moraal,camel-core,0,Headers lost after XSLT processing, header lost XSLT process,After xslt processing the message headers are lost. See attached unit test  this test fails since revision 590680.http://svn.apache.org/viewvc?view=rev&amp;revision=590680, xslt process messag header lost lost see attach unit test test fail sinc revis http svn apach org viewvc view rev amp revis http svn apach org viewvc view rev amp revis,0,0,1,1,0,camel-core/src/main/java/org/apache/camel/builder/xml/XsltBuilder.java;camel-core/src/main/java/org/apache/camel/builder/xml/XsltBuilder.java;components/camel-juel/src/test/java/org/apache/camel/language/juel/issues/XsltLosesHeaderTest.java;,0
232,Hadrian Zbarcea,camel-core,0,Fix performance counters, fix perform counter,,,0,1,0,0,0,components/camel-osgi/src/main/java/org/apache/camel/osgi/OsgiComponentResolver.java;camel-core/src/main/java/org/apache/camel/Route.java;camel-core/src/main/java/org/apache/camel/impl/DefaultCamelContext.java;camel-core/src/main/java/org/apache/camel/impl/DefaultLifecycleStrategy.java;camel-core/src/main/java/org/apache/camel/impl/RouteContext.java;camel-core/src/main/java/org/apache/camel/management/CamelNamingStrategy.java;camel-core/src/main/java/org/apache/camel/management/InstrumentationLifecycleStrategy.java;camel-core/src/main/java/org/apache/camel/management/ManagedEndpoint.java;camel-core/src/main/java/org/apache/camel/management/ManagedRoute.java;camel-core/src/main/java/org/apache/camel/management/ObjectNameEncoder.java;camel-core/src/main/java/org/apache/camel/model/FromType.java;camel-core/src/main/java/org/apache/camel/model/ResequencerType.java;camel-core/src/main/java/org/apache/camel/model/RouteType.java;camel-core/src/main/java/org/apache/camel/model/RoutesType.java;camel-core/src/main/java/org/apache/camel/spi/LifecycleStrategy.java;camel-core/src/test/java/org/apache/camel/management/JmxInstrumentationUsingDefaultsTest.java;examples/camel-example-spring/src/main/resources/META-INF/spring/camel-context.xml;,0
237,Hadrian Zbarcea,camel-core,0,Upgrade geronimo-specs version to 1.1, upgrad geronimo spec geronimo spec version,from 1.0,,0,1,0,0,0,pom.xml;,0
269,Donatello Santoro,camel-core,0,Add getter method for routeCollection property in RouteBuilder class, add getter method routeCollection rout collect properti RouteBuilder rout builder class,I need to stop a RouteBuilder. A solution for this issue could be access to routeCollection property in RouteBuilder class., need stop RouteBuilder rout builder solut issu could access routeCollection rout collect properti RouteBuilder rout builder class class,0,0,0,0,0,camel-core/src/main/java/org/apache/camel/builder/RouteBuilder.java;,0
275,Freeman Fang,camel-cxf,0,cxf camel transport should support to register itself to the cxf bus automatically, cxf camel transport support regist cxf bu automat,when cxf bus init  all tranports module on the classpath should register itself to the bus automatically.cxf machenism for this is just add a spring bean to describe the transport id and transport factory class mapping per as below&lt;beans xmlns='http://www.springframework.org/schema/beans' xmlns:xsi='http://www.w3.org/2001/XMLSchema-instance' xmlns:foo='http://cxf.apache.org/configuration/foo' xsi:schemaLocation=' http://www.springframework.org/schema/beans http://www.springframework.org/schema/beans/spring-beans.xsd'&gt; &lt;bean class='org.apache.camel.component.cxf.transport.CamelTransportFactory' lazy-init='true'&gt; &lt;property name='bus' ref='cxf'/&gt; &lt;property name='transportIds'&gt; &lt;list&gt; &lt;value&gt;http://cxf.apache.org/transports/camel&lt;/value&gt; &lt;/list&gt; &lt;/property&gt; &lt;/bean&gt;&lt;/beans&gt;, cxf bu init tranport modul classpath regist bu automat cxf automat cxf machen add spring bean describ transport id transport factori class map per lt bean lt bean xmln http www springframework org schema bean xmln http www springframework org schema bean xmln xsi http www org XMLSchema instanc xmln xsi http www org XML schema instanc xmln foo http cxf apach org configur foo xmln foo http cxf apach org configur foo xsi schemaLocation xsi schema locat lt bean lt bean class org apach camel compon cxf transport CamelTransportFactory class org apach camel compon cxf transport camel transport factori lazi init true gt lazi init true gt lt properti lt properti name bu name bu ref cxf gt ref cxf gt lt properti lt properti name transportIds gt name transport id gt lt list gt lt list gt lt valu gt http cxf apach org transport camel lt valu gt lt valu gt http cxf apach org transport camel lt valu gt lt list gt lt list gt lt properti gt lt properti gt lt bean gt lt bean gt lt bean gt lt bean gt,0,1,1,0,1,components/camel-cxf/src/main/java/org/apache/camel/component/cxf/transport/CamelTransportFactory.java;components/camel-cxf/src/main/resources/META-INF/cxf/cxf-extension-camel.xml;components/camel-cxf/src/main/resources/META-INF/cxf/cxf.extension;components/camel-cxf/src/main/resources/bus-extensions.xml;components/camel-cxf/src/test/java/org/apache/camel/component/cxf/transport/CamelDestinationTest.java;components/camel-cxf/src/test/java/org/apache/camel/component/cxf/transport/CamelTestSupport.java;,0
277,Jérôme Delagnes,camel-core,0,[Spring integration] TheadType is missing in org/apache/camel/model/jaxb.index, spring spring integr integr TheadType thead type miss org apach camel model jaxb index org apach camel model jaxb index,TheadType is missing in org/apache/camel/model/jaxb.index =&gt; JAXB don't know how to unmarshall thread.Bug description found in Camel Users forum : http://www.nabble.com/Processor-thread-pool-td13212513s22882.html, TheadType thead type miss org apach camel model jaxb index org apach camel model jaxb index gt gt JAXB know unmarshal thread bug thread bug descript found camel user forum,0,1,0,1,0,camel-core/src/main/resources/org/apache/camel/model/jaxb.index;,0
278,Jérôme Delagnes,camel-spring,0,[Spring integration] Bad urls in META-INF/spring.schemas, spring spring integr integr bad url META INF spring schema META INF spring schema,http/://activemq.apache.org/camel/schema/spring/camel-spring-1.1.xsd becomes http/://activemq.apache.org/camel/schema/spring/camel-spring-1.1.0.xsdhttp/://activemq.apache.org/camel/schema/spring/camel-spring-1.2.xsd becomes http/://activemq.apache.org/camel/schema/spring/camel-spring-1.2.0.xsdThere's no camel-spring-1.1.xsd and camel-spring-1.2.xsd under http://activemq.apache.org/camel/schema/spring/, http activemq apach org camel schema spring camel spring xsd http activemq apach org camel schema spring camel spring xsd becom http activemq apach org camel schema spring camel spring xsdhttp activemq apach org camel schema spring camel spring xsd http activemq apach org camel schema spring camel spring xsdhttp activemq apach org camel schema spring camel spring xsd becom http activemq apach org camel schema spring camel spring xsdThere http activemq apach org camel schema spring camel spring xsd no camel spring xsd camel spring xsd camel spring xsd camel spring xsd,1,1,0,1,0,components/camel-spring/src/main/resources/META-INF/spring.schemas;,0
283,Claus Ibsen,camel-core,0,DeadLetterChannel - logging improvements when exchange handled by dead letter, DeadLetterChannel dead letter channel log improv exchang handl dead letter,The submitted patch have these improvements to the logger in deadletterchannel for delivery attempts outputs exchange id so we can correlate the lines in the log files. now also logs when the exchange could not be delivered and was handled by the failure processer (usually a deadletterchannel) minor issues with existing debug logging when sleeping (now also output millis) to be in line with other similar log lines in CamelI have not outputted the exchange itself (exchange.toString()) when the delivery could not be delivered successfully since there could be sensitive data in the exchange (e.g. an invoice input message) that we do not want to be logged in our log.But I think the logging of the exchange id is a good improvement and that they are aligned in the same position in the logline so it's easier to grep/find in the logs when you investigate and incident., submit patch improv logger deadletterchannel deliveri attempt output exchang id correl line log file file also log exchang could not deliv handl failur process usual deadletterchannel deadletterchannel minor issu exist debug log sleep also output milli milli line similar log line CamelI camel not output exchang exchang toString exchang string deliveri could not deliv success sinc could sensit data exchang invoic input messag messag not want log log log think log exchang id good improv align posit loglin easier grep find grep find log investig incid incid,0,1,0,0,1,camel-core/src/main/java/org/apache/camel/processor/DeadLetterChannel.java;,0
286,Wilson Freitas,camel-cxf,0,NullPointerException in CXF routes when there is an endpoint between router and service CXF endpoints, NullPointerException null pointer except CXF rout endpoint router servic CXF endpoint,When an endpoint is added between a cxf router and a cxf service endpoint the message exchange is interrupted by a NullPointerException.Example code:----JAVA-BEGIN---------------------------------------------------------//This code worksfrom(StringUtils.join(cxfRouterURI)).to(StringUtils.join(cxfServiceURI)); // This code crashes (same problem with seda and log endpoints)String anyEndpoint = 'activemq:someQueue';----JAVA-END---------------------------------------------------------from(StringUtils.join(cxfRouterURI)).to(anyEndpoint).to(StringUtils.join(cxfServiceURI)); ----EXCEPTION-BEGIN-----------------------------------09/01/2008 18:32:40 org.apache.cxf.phase.PhaseInterceptorChain doInterceptINFO: Interceptor has thrown exception  unwinding noworg.apache.cxf.interceptor.Fault at org.apache.camel.component.cxf.interceptors.RawMessageContentRedirectInterceptor.handleMessage(RawMessageContentRedirectInterceptor.java:43) at org.apache.cxf.phase.PhaseInterceptorChain.doIntercept(PhaseInterceptorChain.java:207) at org.apache.camel.component.cxf.invoker.CxfClient.invokeWithMessageStream(CxfClient.java:137) at org.apache.camel.component.cxf.invoker.CxfClient.dispatch(CxfClient.java:89) at org.apache.camel.component.cxf.CxfProducer.process(CxfProducer.java:202) at org.apache.camel.component.cxf.CxfProducer.process(CxfProducer.java:152) at org.apache.camel.impl.converter.AsyncProcessorTypeConverter$ProcessorToAsynProcessorBridge.process(AsyncProcessorTypeConverter.java:44) at org.apache.camel.processor.SendProcessor.process(SendProcessor.java:73) at org.apache.camel.processor.DeadLetterChannel.process(DeadLetterChannel.java:143) at org.apache.camel.processor.DeadLetterChannel.process(DeadLetterChannel.java:87) at org.apache.camel.processor.Pipeline.process(Pipeline.java:101) at org.apache.camel.processor.Pipeline.process(Pipeline.java:85) at org.apache.camel.processor.UnitOfWorkProcessor.process(UnitOfWorkProcessor.java:40) at org.apache.camel.util.AsyncProcessorHelper.process(AsyncProcessorHelper.java:44) at org.apache.camel.processor.DelegateAsyncProcessor.process(DelegateAsyncProcessor.java:68) at org.apache.camel.component.cxf.CamelInvoker.invoke(CamelInvoker.java:71) at org.apache.camel.component.cxf.interceptors.AbstractInvokerInterceptor.handleMessage(AbstractInvokerInterceptor.java:65) at org.apache.cxf.phase.PhaseInterceptorChain.doIntercept(PhaseInterceptorChain.java:207) at org.apache.camel.component.cxf.CxfMessageObserver.onMessage(CxfMessageObserver.java:83) at org.apache.cxf.transport.http_jetty.JettyHTTPDestination.serviceRequest(JettyHTTPDestination.java:284) at org.apache.cxf.transport.http_jetty.JettyHTTPDestination.doService(JettyHTTPDestination.java:240) at org.apache.cxf.transport.http_jetty.JettyHTTPHandler.handle(JettyHTTPHandler.java:54) at org.mortbay.jetty.handler.ContextHandler.handle(ContextHandler.java:712) at org.mortbay.jetty.handler.ContextHandlerCollection.handle(ContextHandlerCollection.java:211) at org.mortbay.jetty.handler.HandlerWrapper.handle(HandlerWrapper.java:139) at org.mortbay.jetty.Server.handle(Server.java:313) at org.mortbay.jetty.HttpConnection.handleRequest(HttpConnection.java:506) at org.mortbay.jetty.HttpConnection$RequestHandler.content(HttpConnection.java:844) at org.mortbay.jetty.HttpParser.parseNext(HttpParser.java:726) at org.mortbay.jetty.HttpParser.parseAvailable(HttpParser.java:211) at org.mortbay.jetty.HttpConnection.handle(HttpConnection.java:381) at org.mortbay.io.nio.SelectChannelEndPoint.run(SelectChannelEndPoint.java:396) at org.mortbay.thread.BoundedThreadPool$PoolThread.run(BoundedThreadPool.java:442)Caused by: java.lang.NullPointerException at org.apache.commons.io.IOUtils.copyLarge(IOUtils.java:1025) at org.apache.commons.io.IOUtils.copy(IOUtils.java:999) at org.apache.camel.component.cxf.interceptors.RawMessageContentRedirectInterceptor.handleMessage(RawMessageContentRedirectInterceptor.java:39) ... 32 more ----EXCEPTION-END-----------------------------------Known workaround:Change the code like this:----JAVA-BEGIN--------------------------------------------------------- String anyEndpoint = 'activemq:someQueue'; from(StringUtils.join(cxfRouterURI)).process(new Processor(){ public void process(Exchange exchange) throws Exception { exchange.setOut(exchange.getIn()); } }).to(anyEndpoint).to(StringUtils.join(cxfServiceURI));----JAVA-END---------------------------------------------------------, endpoint ad cxf router cxf servic endpoint messag exchang interrupt NullPointerException exampl null pointer except exampl code JAVA BEGIN code JAVA BEGIN code worksfrom StringUtils join cxfRouterURI StringUtils join cxfServiceURI worksfrom string util join cxf router URI string util join cxf servic URI code crash problem seda log endpoint string endpoint string anyEndpoint endpoint activemq someQueue JAVA END StringUtils join cxfRouterURI anyEndpoint StringUtils join cxfServiceURI activemq queue JAVA END string util join cxf router URI endpoint string util join cxf servic URI EXCEPTION BEGIN EXCEPTION BEGIN org apach cxf phase PhaseInterceptorChain org apach cxf phase phase interceptor chain doInterceptINFO intercept INFO interceptor thrown except unwind noworg apach cxf interceptor fault noworg apach cxf interceptor fault org apach camel compon cxf interceptor RawMessageContentRedirectInterceptor handleMessage RawMessageContentRedirectInterceptor java org apach camel compon cxf interceptor raw messag content redirect interceptor handl messag raw messag content redirect interceptor java org apach cxf phase PhaseInterceptorChain doIntercept PhaseInterceptorChain java org apach cxf phase phase interceptor chain intercept phase interceptor chain java org apach camel compon cxf invok CxfClient invokeWithMessageStream CxfClient java org apach camel compon cxf invok cxf client invok messag stream cxf client java org apach camel compon cxf invok CxfClient dispatch CxfClient java org apach camel compon cxf invok cxf client dispatch cxf client java org apach camel compon cxf CxfProducer process CxfProducer java org apach camel compon cxf cxf produc process cxf produc java org apach camel compon cxf CxfProducer process CxfProducer java org apach camel compon cxf cxf produc process cxf produc java org apach camel impl convert AsyncProcessorTypeConverter ProcessorToAsynProcessorBridge process AsyncProcessorTypeConverter java org apach camel impl convert async processor type convert processor asyn processor bridg process async processor type convert java org apach camel processor SendProcessor process SendProcessor java org apach camel processor send processor process send processor java org apach camel processor DeadLetterChannel process DeadLetterChannel java org apach camel processor dead letter channel process dead letter channel java org apach camel processor DeadLetterChannel process DeadLetterChannel java org apach camel processor dead letter channel process dead letter channel java org apach camel processor pipelin process pipelin java org apach camel processor pipelin process pipelin java org apach camel processor pipelin process pipelin java org apach camel processor pipelin process pipelin java org apach camel processor UnitOfWorkProcessor process UnitOfWorkProcessor java org apach camel processor unit work processor process unit work processor java org apach camel util AsyncProcessorHelper process AsyncProcessorHelper java org apach camel util async processor helper process async processor helper java org apach camel processor DelegateAsyncProcessor process DelegateAsyncProcessor java org apach camel processor deleg async processor process deleg async processor java org apach camel compon cxf CamelInvoker invok CamelInvoker java org apach camel compon cxf camel invok invok camel invok java org apach camel compon cxf interceptor AbstractInvokerInterceptor handleMessage AbstractInvokerInterceptor java org apach camel compon cxf interceptor abstract invok interceptor handl messag abstract invok interceptor java org apach cxf phase PhaseInterceptorChain doIntercept PhaseInterceptorChain java org apach cxf phase phase interceptor chain intercept phase interceptor chain java org apach camel compon cxf CxfMessageObserver onMessage CxfMessageObserver java org apach camel compon cxf cxf messag observ messag cxf messag observ java org apach cxf transport http_jetty JettyHTTPDestination serviceRequest JettyHTTPDestination java org apach cxf transport http_jetty jetti HTTP destin servic request jetti HTTP destin java org apach cxf transport http_jetty JettyHTTPDestination doService JettyHTTPDestination java org apach cxf transport http_jetty jetti HTTP destin servic jetti HTTP destin java org apach cxf transport http_jetty JettyHTTPHandler handl JettyHTTPHandler java org apach cxf transport http_jetty jetti HTTP handler handl jetti HTTP handler java org mortbay jetti handler ContextHandler handl ContextHandler java org mortbay jetti handler context handler handl context handler java org mortbay jetti handler ContextHandlerCollection handl ContextHandlerCollection java org mortbay jetti handler context handler collect handl context handler collect java org mortbay jetti handler HandlerWrapper handl HandlerWrapper java org mortbay jetti handler handler wrapper handl handler wrapper java org mortbay jetti server handl server java org mortbay jetti server handl server java org mortbay jetti HttpConnection handleRequest HttpConnection java org mortbay jetti http connect handl request http connect java org mortbay jetti HttpConnection RequestHandler content HttpConnection java org mortbay jetti http connect request handler content http connect java org mortbay jetti HttpParser parseNext HttpParser java org mortbay jetti http parser pars next http parser java org mortbay jetti HttpParser parseAvailable HttpParser java org mortbay jetti http parser pars avail http parser java org mortbay jetti HttpConnection handl HttpConnection java org mortbay jetti http connect handl http connect java org mortbay io nio SelectChannelEndPoint run SelectChannelEndPoint java org mortbay io nio select channel end point run select channel end point java org mortbay thread BoundedThreadPool PoolThread run BoundedThreadPool java caus org mortbay thread bound thread pool pool thread run bound thread pool java caus java lang NullPointerException java lang null pointer except org apach common io IOUtils copyLarge IOUtils java org apach common io IO util copi larg IO util java org apach common io IOUtils copi IOUtils java org apach common io IO util copi IO util java org apach camel compon cxf interceptor RawMessageContentRedirectInterceptor handleMessage RawMessageContentRedirectInterceptor java org apach camel compon cxf interceptor raw messag content redirect interceptor handl messag raw messag content redirect interceptor java EXCEPTION END known EXCEPTION END known workaround chang workaround chang code like JAVA BEGIN JAVA BEGIN string anyEndpoint endpoint activemq someQueue activemq queue StringUtils join cxfRouterURI process new string util join cxf router URI process new processor processor public void process exchang process exchang exchang exchang throw except exchang setOut exchang getIn exchang set exchang get anyEndpoint StringUtils join cxfServiceURI JAVA END endpoint string util join cxf servic URI JAVA END,1,0,0,0,0,components/camel-cxf/src/main/java/org/apache/camel/component/cxf/CxfExchange.java;components/camel-cxf/src/main/java/org/apache/camel/component/cxf/CxfMessage.java;components/camel-cxf/src/test/java/org/apache/camel/component/cxf/CxfPayLoadMessageRouterTest.java;components/camel-cxf/src/test/java/org/apache/camel/component/cxf/CxfRawMessageRouterTest.java;components/camel-cxf/src/test/java/org/apache/camel/component/cxf/CxfRouterTest.java;,0
288,Willem Jiang,camel-core,0,support to set the aggregation stragey of multicastProcessor, support set aggreg stragey multicastProcessor multicast processor,I have a use case   the router configuration could like this from('direct:a').multicast().to('direct:x'  'direct:y'  'direct:z');  from('direct:x').process(new AppendingProcessor('x')).to('direct:aggregater'); from('direct:y').process(new AppendingProcessor('y')).to('direct:aggregater'); from('direct:z').process(new AppendingProcessor('z')).to('direct:aggregater'); from('direct:aggregater').aggregator(header('cheese')  new BodyAggregatingStrategy()). completedPredicate(header('aggregated').isEqualTo(3)).to('mock:result');Now I send the message to endpoint 'direct:a' and I want to get the final result of the processors.And this requirement is much like the CAMEL-260., use case router configur could like direct multicast direct direct multicast direct direct direct direct direct direct process new direct process new AppendingProcessor direct aggregat append processor direct aggregat direct process new direct process new AppendingProcessor direct aggregat append processor direct aggregat direct process new direct process new AppendingProcessor direct aggregat append processor direct aggregat direct aggregat aggreg header chees direct aggregat aggreg header chees new BodyAggregatingStrategy bodi aggreg strategi completedPredicate header aggreg isEqualTo mock result complet predic header aggreg equal mock result send messag endpoint direct direct want get final result processor processor requir much like CAMEL CAMEL,0,0,0,1,0,camel-core/src/main/java/org/apache/camel/model/MulticastType.java;camel-core/src/main/java/org/apache/camel/model/ProcessorType.java;camel-core/src/main/java/org/apache/camel/model/SplitterType.java;camel-core/src/main/java/org/apache/camel/processor/MulticastProcessor.java;camel-core/src/main/java/org/apache/camel/processor/Splitter.java;camel-core/src/test/java/org/apache/camel/processor/MultiCastAggregatorTest.java;camel-core/src/test/java/org/apache/camel/processor/SplitterTest.java;,0
291,Przemyslaw Budzik,camel-core,0,MulticastRecipientList - recipient list that uses multicast processor, MulticastRecipientList multicast recipi list recipi list use multicast processor,Probably it would be useful to have recipientList that in InOut mode doesn't work as a pipeline. I faced that problem  however InOnly is ok. It seems in InOut it reminds of RoutingSlip. Optionally we could use MulticastProcessor to process 'recipients'. If you think it makes sense  attached patch enhances camel-core with such feature., probabl would use recipientList recipi list InOut mode work pipelin pipelin face problem howev InOnly ok ok seem InOut remind RoutingSlip rout slip option could use MulticastProcessor multicast processor process recipi recipi think make sens attach patch enhanc camel core camel core featur featur,0,1,0,0,0,0,0
298,Christian Schneider,camel-core,0,Remove tangle between impl and impl.converter, remov tangl impl impl convert impl convert,Currently impl and impl.converter reference each other. If possible such cycles should be avoided.When I looked into it I found that impl.converter references only a single class CachingInjector. No other class in camel-core seems to use this class. So my suggestion is to move CachingInjector to impl.converter. So the cycle i removed. As far as I can see this should cause no ther issues., current impl impl convert impl convert refer possibl cycl avoid avoid look found impl convert impl convert refer singl class CachingInjector cach injector No class camel core camel core seem use class class suggest move CachingInjector cach injector impl convert impl convert cycl remov remov far see caus no ther issu issu,0,0,0,0,0,camel-core/src/main/java/org/apache/camel/impl/CachingInjector.java;camel-core/src/main/java/org/apache/camel/impl/converter/AnnotationTypeConverterLoader.java;camel-core/src/main/java/org/apache/camel/impl/converter/CachingInjector.java;camel-core/src/main/java/org/apache/camel/impl/converter/InstanceMethodTypeConverter.java;,0
