issue_id,component,reporter,summary,description,affected_version,fixed_version,description_words,Surprising,Dormant,Blocker,Security,Performance,Breakage,file_count,files
253,,Ramya Sunil,Support uninstall state in mysql modules,Currently  there is no support for uninstall of mysql package.,0.9.0,0.9.0,10,0,0,0,0,0,0,0,
255,,Varun Kapoor,Rename/Relocate files as appropriate,There's some images in the html/ directory (that should be in images/)  there's .html files whose extension should be changed to .htmli  and such  that would be nice to clean up.,0.9.0,0.9.0,31,0,0,0,0,0,0,0,
256,,Ramya Sunil,Update hive config to enable authorization,In /etc/hive/conf/hive-site.xml&lt;property&gt; &lt;name&gt;hive.security.authorization.enabled&lt;/name&gt; &lt;value&gt;true&lt;/value&gt; &lt;description&gt;enable or disable the hive client authorization&lt;/description&gt;&lt;/property&gt;&lt;property&gt; &lt;name&gt;hive.security.authorization.manager&lt;/name&gt; &lt;value&gt;org.apache.hcatalog.security.HdfsAuthorizationProvider&lt;/value&gt; &lt;description&gt;the hive client authorization manager class name. The user defined authorization class should implement interface org.apache.hadoop.hive.ql.security.authorization.HiveAuthorizationProvider. &lt;/description&gt;&lt;/property&gt;In /etc/hive/conf/hive-env.sh  add -export HIVE_AUX_JARS_PATH=/usr/lib/hcatalog/share/hcatalog/hcatalog-0.4.0.jar,0.9.0,0.9.0,46,0,0,0,0,0,0,0,
257,site,Arpit Gupta,Manage services section will have any empty section when no client only components installed,On the manage services page we have a section for client only services that have no long running processes.If the user has no such component there is a heading but no content. Maybe we can hide the heading when no such service is present.,0.9.0,0.9.0,44,0,0,0,0,0,0,0,
262,site,Arpit Gupta,Init Wizard: Advanced Config validation errors can be bypassed,Make the Naigos password (and re-type password) different so as you cause a validation error.This will let the user move on to the next screen by ignoring all other validation errors on this page.,0.9.0,0.9.0,34,0,0,0,0,0,0,0,
264,site,Arpit Gupta,Nagios Admin Contact should be checked to ensure it is always an email address,,0.9.0,0.9.0,1,0,0,0,0,0,0,0,
274,,Ramya Sunil,Templeton data on hdfs needs to be readable by all users,Content of /user/templeton dir-bash-3.2$ hadoop dfs -ls /user/templetonFound 4 items-rw-r--r-- 3 templeton hdfs 107373 2012-05-14 19:53 /user/templeton/hadoop-streaming.jar-rw------- 3 templeton hdfs 35352096 2012-05-14 19:53 /user/templeton/hive.tar.gz-rw------- 3 templeton hdfs 47909478 2012-05-14 19:53 /user/templeton/pig.tar.gz-rw------- 3 templeton hdfs 127652 2012-05-14 19:53 /user/templeton/ugi.jarOnly templeton user can use the jars,0.9.0,0.9.0,50,0,0,0,0,0,0,0,
276,site,Suresh Srinivas,Update HDFS parameter configuration description,Updating the short description and tooltip long description as follows:Changing the text that affects WebUI as follows: filesystem -&gt; file system HDFS Append Enabled -&gt; Append enabled HDFS WebHDFS Enabled -&gt; WebHDFS enabled Hadoop maximum Java heap size -&gt; Hadoop maximum Java heap size (MB)  Java Heap Size for slave daemons -&gt; Maximum Java heap size for daemons such as Balancer in MB (-Xmx)   NameNode maximum Java heap size -&gt; NameNode initial Java heap size (MB)  Java Heap Size for NameNode -&gt; Initial and minimum Java heap size for NameNode in MB (-Xms)   Hadoop Young Generation heap size -&gt; NameNode new generation size (MB)  Maximum size for New Generation for java heap size -&gt; Default size of Java new generation in MB for NameNode (-XX:NewSize)   DataNode Java heap size -&gt; DataNode maximum Java heap size (MB)  Java Heap Size for DataNode -&gt; Maximum Java heap size for DataNode in MB (-Xmx),0.1.0; ambari-186,0.9.0,163,0,0,0,0,0,0,0,
280,,Vikram Dixit K,Cleanup of utilities,We need an api for the UI to figure out the status of the cluster.,0.9.0,0.9.0,15,0,0,0,0,0,0,0,
283,,Vikram Dixit K,Fixup review and deploy rendering,Currently render of the review and deploy page is messy.,0.9.0,0.9.0,10,0,0,0,0,0,0,0,
287,ambari-server; ambari-web,Vikram Dixit K,Add link to uninstall on index page,Uninstall link is now hooked into the index page.,0.9.0,0.9.0,9,0,0,0,0,0,0,0,
290,ambari-server,Jitendra Nath Pandey,Comment in addNodesWizardInit.js.,Comment in addNodesWizardInit.js.,0.9.0,0.9.0,3,0,0,0,0,0,0,0,
292,ambari-web,Jitendra Nath Pandey,HTML being spewed in the Review+Deploy page.,HTML being spewed in the Review+Deploy page.,0.9.0,0.9.0,7,0,0,0,0,0,0,0,
300,,Yusaku Sako,Change the status message (success/error) location so that it shows below the page summary box  rather than above  more better visibility,,0.9.0,0.9.0,1,0,0,0,0,0,0,0,
302,,Ramya Sunil,regionservers config in the hbase only has localhost in it,/etc/hbase/conf/regionserver should correctly populate the slaves list,0.9.0,0.9.0,7,0,0,0,0,0,0,0,
304,,Vinod Kumar Vavilapalli,Upgrade to yui-3.5.1,,0.9.0,0.9.0,1,0,0,0,0,0,0,0,
310,,Yusaku Sako,Externalize message resources for the welcome page.  Update styles on various pages.,,0.9.0,0.9.0,1,0,0,0,0,0,0,0,
312,,Hitesh Shah,Uninstall's wipe flag should be correctly passed to puppet,,0.9.0,0.9.0,1,0,0,0,0,0,0,0,
316,,Vinod Kumar Vavilapalli,Grid mount points page doesn't let one pass with only a custom mount point,,0.9.0,0.9.0,1,0,0,0,0,0,0,0,
319,ambari-server,Jitendra Nath Pandey,Scale puppet master to large number of nodes.,Scale puppet master to large number of nodes.,0.9.0,0.9.0,8,0,0,0,0,0,0,0,
323,ambari-server,Vikram Dixit K,During any process in the cluster initialization wizard  if the user goes back to the '1 Create Cluster' tab  the user is stuck.,,0.9.0,0.9.0,1,0,0,0,0,0,0,0,
326,ambari-server,Jitendra Nath Pandey,Dependencies should be added only during install phase,Host level dependencies are being set in running stage as well  which is redundant. It can be assumed that dependencies were installed at install stage.,0.9.0,0.9.0,25,0,0,0,0,0,0,0,
330,,Vinod Kumar Vavilapalli,Provide a way to resume if browser crashes/is closed during the deploy-in-progress,Currently when the browser is closed one cannot view the install in progress. They will have to look at the logs on the hmc machine to figure out whats going on. It would be nice if we can provide a way to get back to the install progress.,0.9.0,0.9.0,48,0,0,0,0,0,0,0,
335,,Ramya Sunil,Redundant downloads even though the artifacts are already installed,Artifacts (such as mysql-connector.zip  hive.tar.gz  pig.tar.gz  ext.zip) are being downloaded even though they are previously installed leading to additional execution time.,0.9.0,0.9.0,21,0,0,0,0,0,0,0,
338,ambari-server,Vikram Dixit K,Cluster status update needs to happen for all stages of installation wizard.,Cluster status should be updated in db for each stage of the installation wizard. This is used to enable restart of browser and also showing status of the cluster on the index page.,0.9.0,0.9.0,33,0,0,0,0,0,0,0,
339,ambari-web,Vikram Dixit K,Making transitionToNextStage more robust,If the currentStage is null  we should not proceed with a transition.,0.9.0,0.9.0,12,0,0,0,0,0,0,0,
349,ambari-server; ambari-web,Vikram Dixit K,Logging in case of error during uninstall needs to be fixed.,Logs disappear post uninstall because the transaction is also cleaned from the db.,0.9.0,0.9.0,13,0,0,0,0,0,0,0,
352,,Yusaku Sako,Add flow control - force redirects to appropriate pages based on cluster configuration status for better usability,If no cluster has been set up yet  redirect to the welcome page.If a cluster is being configured (but has not gone thru deployment)  redirect to Step 1 of the cluster init wizard.If a cluster is being deployed  redirect to the deployment progress page.If a cluster has gone thru deployment but failed  redirect to the re-install page.If a cluster has gone thru deployment and succeed  do not perform any forced redirect.,0.9.0,0.9.0,71,0,0,0,0,0,0,0,
357,,Yusaku Sako,Redesign master service assignment page so that it takes up less vertical space,,0.9.0,0.9.0,1,0,0,0,0,0,0,0,
362,ambari-server,Vikram Dixit K,Create lock file as part of rpm install,Lock file is being created as part of create cluster. This is brittle and needs to be done as part of the rpm install.,0.9.0,0.9.0,24,0,0,0,0,0,0,0,
366,,Varun Kapoor,Package up the fonts/ subdirectory in the HMC RPM,The new fonts/ subdirectory used for the buttons on the ManageServices page isn't packaged up.,0.9.0,0.9.0,15,0,0,0,0,0,0,0,
369,,Yusaku Sako,Improve Service Management page and general popup styling,,0.9.0,0.9.0,1,0,0,0,0,0,0,0,
371,ambari-server,Jitendra Nath Pandey,Mysql packages not being sent during install and uninstall,Mysql packages not being sent during install and uninstall.,0.9.0,0.9.0,9,0,0,0,0,0,0,0,
377,ambari-server,Jitendra Nath Pandey,Uninstall does not handle component dependencies.,Uninstall does not handle component dependencies.,0.9.0,0.9.0,6,0,0,0,0,0,0,0,
386,,Hitesh Shah,On Single Node install when install all the components the recommended num for Map/Reduce Tasks is too high,Use lower count of maps/reduce slots for a single node install.,0.9.0,0.9.0,11,0,0,0,0,0,0,0,
393,,Mahadev konar,ZooKeeper myid files not existent on ZK install.,ZooKeeper myid files not existent on ZK install.,0.9.0,0.9.0,8,0,0,0,0,0,0,0,
394,ambari-server,Vikram Dixit K,Add nodes fails to find node in db,Host not found in db error on assign nodes page,0.9.0,0.9.0,11,0,0,0,0,0,0,0,
399,,Yusaku Sako,Cannot uninstall - the page hangs with the spinning icon,,0.9.0,0.9.0,1,0,0,0,0,0,0,0,
401,ambari-server,Jitendra Nath Pandey,Manual config changes for nn get reset on stop/start from hmc,Manual config changes for nn get reset on stop/start from hmc,0.9.0,0.9.0,11,0,0,0,0,0,0,0,
402,ambari-server,Vikram Dixit K,Completing successful add node takes one to initialize cluster page starting from scratch,,0.9.0,0.9.0,1,0,0,0,0,0,0,0,
404,,Yusaku Sako,Unify the top nav for both Monitoring and Cluster Management,,0.9.0,0.9.0,1,0,0,0,0,0,0,0,
414,,Mahadev konar,Add rpm spec for hmc agent.,Add rpm spec for hmc agent.,0.9.0,0.9.0,6,0,0,0,0,0,0,0,
415,,Hitesh Shah,Reset service back to original state after reconfiguration,,0.9.0,0.9.0,1,0,0,0,0,0,0,0,
420,,Yusaku Sako,Improve style on error log popups,,0.9.0,0.9.0,1,0,0,0,0,0,0,0,
426,,Ramya Sunil,Reinstall of cluster after failure to install results in failure,According to Bikas:I tried to install a single node cluster. That failed for some random issue.I was presented an option to reinstall.I clicked on that option and it asked me to uninstall.I chose uninstall and wipe data option.Uninstall failed.This happened because the install did not complete in the first place.Thu May 24 17:45:28 -0400 2012 /Stage17/Hdp-oozie::Service/Hdp-oozie::Service::Createsymlinks/usr/lib/oozie/oozie-server/lib/mapred-site.xml/File/usr/lib/oozie/oozie-server/lib/mapred-site.xml/ensure (err): change from absent to present failed: Could not set 'present on ensure: No such file or directory - /usr/lib/oozie/oozie-server/lib/mapred-site.xml at /etc/puppet/agent/modules/hdp-oozie/manifests/service.pp:61,0.9.0,0.9.0,78,0,0,0,0,0,0,0,
429,,Mahadev konar,Fix bug with jmx parsing on HBase.,Fix bug with jmx parsing on HBase.,0.9.0,0.9.0,7,0,0,0,0,0,0,0,
433,ambari-server,Vikram Dixit K,Using service stop instead of killall for uninstall,,0.9.0,0.9.0,1,0,0,0,0,0,0,0,
435,ambari-server,Vikram Dixit K,Uninstall needs to update status for failure.,This is to enable the routing layer to redirect appropriately.,0.9.0,0.9.0,10,0,0,0,0,0,0,0,
442,,Ramya Sunil,Duplicate definition: Class[Hdp-hbase::Regionserver::Enable-ganglia],Duplicate definition: Class&#91;Hdp-hbase::Regionserver::Enable-ganglia&#93; is already defined; cannot redefine at /etc/puppet/agent/modules/hdp-ganglia/manifests/monitor.pp:37 on node ip-10-64-19-248.ec2.internal,0.9.0,0.9.0,14,0,0,0,0,0,0,0,
449,,Yusaku Sako,Post cluster install/deploy the URL hmc/html/initializeCluster.php should be disabled,Install a cluster. Then go to http://&lt;host&gt;/hmc/html/initializeCluster.php URL. You get a page enter cluster name. If you enter a cluster name  existing install is wiped out. We need to disable this URL on an installed cluster.Only way to enable this should be uninstall.,0.9.0,0.9.0,43,0,0,0,0,0,0,0,
450,,Yusaku Sako,Boldify/Redify restart HMC message when nagios/ganglia is on the hmc host,,0.9.0,0.9.0,1,0,0,0,0,0,0,0,
455,,vitthal (Suhas) Gogate,nagios shows service status critical if hbase is not installed,,0.9.0,0.9.0,1,0,0,0,0,0,0,0,
466,ambari-server; ambari-web,Vikram Dixit K,Add nodes page alerts removed in case of adding duplicate nodes,Alerts that are being shown needs to be changed to be compatible with current implementation of showing errors. A link now appears to 'Show the duplicate nodes' which shows the duplicate nodes.,0.9.0,0.9.0,32,0,0,0,0,0,0,0,
467,,Mahadev konar,Fix hive stop to escape $.,,0.9.0,0.9.0,1,0,0,0,0,0,0,0,
468,,Yusaku Sako,Post-Install Add Nodes - update progress title and success/error messages to reflect what it's actually doing/has done,,0.9.0,0.9.0,1,0,0,0,0,0,0,0,
475,,Yusaku Sako,Add missing JS file for making post cluster install Add Nodes work,,0.9.0,0.9.0,1,0,0,0,0,0,0,0,
482,,Yusaku Sako,Show the same welcome page to the user if the user starts configuring a cluster but has not started deploy yet,,0.9.0,0.9.0,1,0,0,0,0,0,0,0,
486,,Yusaku Sako,Add Node installs MySQL Server for Hive,Adding slave nodes post cluster install will install MySQL Server if Hive was selected as a service at the time of cluster installation.,0.9.0,0.9.0,24,0,0,0,0,0,0,0,
488,,Yusaku Sako,Manage service needs a way to recover from terminated browser sessions,We need to block users from being able to start/stop services when we have a batch of start/stop activities are already in progress.Do something similar to deployment progress display and bring the user back to that modal status display which will end when we detect success/failure.,0.9.0,0.9.0,46,0,0,0,0,0,0,0,
491,,Yusaku Sako,Service Reconfiguration screens should respect the 'reconfigurable' attributes set in ConfigProperties table,Some service config parameters are editable (can be customized on initial install)  but cannot be reconfigured post cluster install.This info is stored in ConfigProperties table  but the Service Reconfiguration screens are allowing these non-reconfigurable parameters to be changed.,0.9.0,0.9.0,38,0,0,0,0,0,0,0,
492,,Hitesh Shah,make support for os check a bit more robust,,0.9.0,0.9.0,1,0,0,0,0,0,0,0,
493,,Hitesh Shah,Add rack_info as column in Hosts table,,0.9.0,0.9.0,1,0,0,0,0,0,0,0,
494,,Mahadev konar,Fix node assignments not not allow slaves on master.,,0.9.0,0.9.0,1,0,0,0,1,0,0,0,
501,,Yusaku Sako,Speed up page load/reload times,,0.9.0,0.9.0,1,0,0,0,0,0,0,0,
508,,Varun Kapoor,Support Resume For Add Nodes,Just like for Manage Services + Deploy + Uninstall.,0.9.0,0.9.0,9,0,0,0,0,0,0,0,
510,,Yusaku Sako,Modify the router to force redirection to 'Add Nodes Progress' popup,,0.9.0,0.9.0,1,0,0,0,0,0,0,0,
512,,Mahadev konar,Fix puppet manifests for tarball downloads via rpms.,,0.9.0,0.9.0,1,0,0,0,0,0,0,0,
519,ambari-server,Vikram Dixit K,update to fix the ganglia monitor_and_server anchor problem,update to fix the ganglia monitor_and_server anchor problem,0.9.0,0.9.0,8,0,0,0,0,0,0,0,
528,,Ramya Sunil,Fix oozie smoke test failure,Oozie smoke test failing with 'Error: E0301 : E0301: Invalid resource &#91;usr/lib/oozie/conf&#93;',0.9.0,0.9.0,13,0,0,0,0,0,0,0,
529,,Hitesh Shah,Fix Advanced Config: HDFS reserved space is in bytes. Too many bytes to count.,Simplify user input.,0.9.0,0.9.0,3,0,0,0,0,0,0,0,
539,,Hitesh Shah,Create a spec file with less dependencies for HMC,Simplify process for users that want to use different dependencies for PHP and Ruby.e.g PHP-5.3  ruby-1.8.7,0.9.0,0.9.0,16,0,0,0,0,0,0,0,
543,infra,Vikram Dixit K,Rpm naming needs to be corrected.,Rpm naming needs to be corrected.,0.9.0,0.9.0,6,0,0,0,0,0,0,0,
544,,Ramya Sunil,Templeton configs for pig archive not correct in HMC,From Arpit:The configs for pig in templeton are wrong.The deployed configs are&lt;property&gt; &lt;name&gt;templeton.pig.archive&lt;/name&gt; &lt;value&gt;hdfs:///apps/templeton/&lt;/value&gt; &lt;description&gt;The path to the Pig archive.&lt;/description&gt; &lt;/property&gt; &lt;property&gt; &lt;name&gt;templeton.pig.path&lt;/name&gt; &lt;value&gt;/pig-0.9.2/bin/pig&lt;/value&gt; &lt;description&gt;The path to the Pig executable.&lt;/description&gt; &lt;/property&gt;They are missing the pig tar ball. For example they should be&lt;property&gt; &lt;name&gt;templeton.pig.archive&lt;/name&gt; &lt;value&gt;hdfs:///apps/templeton/pig.tar.gz&lt;/value&gt; &lt;description&gt;The path to the Pig archive.&lt;/description&gt; &lt;/property&gt; &lt;property&gt; &lt;name&gt;templeton.pig.path&lt;/name&gt; &lt;value&gt;pig.tar.gz/pig-0.9.2/bin/pig&lt;/value&gt; &lt;description&gt;The path to the Pig executable.&lt;/description&gt; &lt;/property&gt;So both the properties are missing 'pig-0.9.2.tar.gz',0.9.0,0.9.0,79,0,0,0,0,0,0,0,
546,,Hitesh Shah,Puppet fails to install 32-bit JDK properly on RHEL6,mkdir -p /usr/jdk32 ; chmod +x /tmp/HDP-artifacts//jdk-6u31-linux-i586.bin; cd /usr/jdk32 ; echo A | /tmp/HDP-artifacts//jdk-6u31-linux-i586.bin -noregister 2&gt;&amp;1Unpacking...Checksumming...Extracting.../var/www/html/downloads/jdk-6u31-linux-i586.bin: ./install.sfx.1794: /lib/ld-linux.so.2: bad ELF interpreter: No such file or directoryFailed to extract the files. Please refer to the Troubleshooting section ofthe Installation Instructions on the download page for more information.Puppet should ensure glibc.i686 is installed before trying to install jdk.,0.9.0,0.9.0,56,0,0,0,0,0,0,0,
547,,Hitesh Shah,Change os type check during node bootstrap to allow RHEL6 or CentOS6 nodes,hmc/php/frontend/addNodes/verifyAndUpdateNodesInfo.php hardcodes checks to only allow rhel5 or centos5 nodes.,0.9.0,0.9.0,10,0,0,1,0,0,0,0,
548,,Hitesh Shah,Puppet agent install script should use correct epel repo,hmc/ShellScripts/puppet_agent_install.sh hardcodes to epel-release rpm for CentOS-5.4. Should be more intelligent to handle different OS types.,0.9.0,0.9.0,16,0,0,1,0,0,0,0,
550,,Yusaku Sako,Add support to jump to a specified state in the wizard for development purposes,,0.9.0,0.9.0,1,0,0,0,0,0,0,0,
552,,Vinod Kumar Vavilapalli,Update README to point to trunk,We need to fix the README to point to trunk after the merge of ambari-186 branch.,0.9.0,0.9.0,16,0,0,0,0,0,0,0,
565,,Yusaku Sako,Remove YUI source files from SVN,Currently YUI 3.5.1 source files are in SVN.We don't really need to have them checked into SVN as we don't track changes. We are pre-concatenating and minifying the YUI js files  so we don't need the files to run Ambari anyhow.We should just remove them from SVN and instead just checkin the tarball.,0.9.0,0.9.0,53,0,0,0,0,0,0,0,
566,,Yusaku Sako,Update documentation,Modify pom.xml to create output files under ../site  rather than ./target.Make minor wording modifications.,0.9.0,0.9.0,14,0,0,0,0,0,0,0,
569,,Hitesh Shah,Nagios install fails on RHEL6,Puppet layer  when trying to install nagios  tries to install php-pecl-json when it is not needed and fails when trying to do so. On RHEL6  php-5.3 is default which has the json module built into it.,0.9.0,0.9.0,36,0,0,1,0,0,0,0,
570,,Yusaku Sako,Consolidate head tags for organization and combine CSS files for faster load,,0.9.0,0.9.0,1,0,0,0,0,1,0,0,
573,,Hitesh Shah,Puppet error: Cannot reassign variable zookeeper_hosts at modules/hdp/manifests/params.pp:47,Seems like a typo: $zookeeper_hosts = hdp_default('zookeeper_hosts')Should be $public_zookeeper_hosts,0.9.0,0.9.0,9,0,0,0,0,0,0,0,
576,,Jaimin D Jetly,In Custom config for Nagios: emails with multiple periods before the '@' fails validation,,0.9.0,0.9.0,1,0,0,0,0,0,0,0,
578,,Yusaku Sako,Custom Config page: don't allow form submission if there are client-side validation errors,Currently the button looks disabled when there are client-side validation errors  but it is clickable. This is a problem because there is no server-side validation to make sure that the passwords match.,0.9.0,0.9.0,32,0,0,0,1,0,0,0,
581,,Jaimin D Jetly,special characters in hosts files created on some common windows editors causes issues,,0.9.0,0.9.0,1,0,0,0,0,0,0,0,
587,ambari-agent; ambari-server; ambari-web; documentation; infra; site; test,Vikram Dixit K,Rat compliance patch,Adding apache license to all the files within Ambari for rat tool compliance.,0.9.0,0.9.0,13,0,0,0,0,0,0,0,
588,,Yusaku Sako,Externalize the manager service name and point the Help link to a valid URL,The master role assignment page (Step 5 of install) and the cluster topology summary page are referencing the manager service name as 'HMC Server'. This needs to be changed to 'Ambari' server.The post-install success message on a single-node install has the same issue.Currently  the Help link in the top nav launches a new tab and loads the page that the user is on. Instead  load the Help page on Ambari project website (for now  we'll point it to the Install Guide as a placeholder).,0.9.0,0.9.0,84,0,0,0,0,0,0,0,
591,,Yusaku Sako,License header for PHP files should use PHP comments  not HTML comments,Some PHP files have the HTML-style comments. This is problematic sincethe license headers are becoming part of the HTML response. Worse yet  the headers are repeated multiple times in the response. This can also cause unexpected behavior.,0.9.0,0.9.0,37,0,0,0,0,0,0,0,
592,,Vinod Kumar Vavilapalli,Add a link to NOTICE file on every page,This is so that stuff with different compatible licenses can be attributed appropriately.,0.9.0,0.9.0,13,0,0,0,0,0,0,0,
597,,Mahadev konar,Remove /usr/bin/php dependency from the rpm's,,0.9.0,1,1,0,0,0,0,0,0,0,
600,,Hitesh Shah,Fix lzo installs to work correctly on RHEL6,,0.9.0,1,1,0,0,1,0,0,0,0,
607,,Hitesh Shah,Increase puppet timeouts to handle single-node installs timing out,,0.9.0,1,1,0,0,0,0,1,0,0,
614,,Yusaku Sako,The database set up script has a duplicate definition of AmbariConfig so install fails,,1,1,1,0,0,0,0,0,0,0,
615,,Yusaku Sako,Eliminate redundant and unused definition for the columns in the table ConfigProperties,ConfigProperties table has a column named 'display_type'.There's also a JSON-encoded 'display_attributes' column.The 'display_attributes' column has the attributes 'isPassword'  'displayType'  and 'noDisplay'. This is duplicate information is already stored by the 'display_type' column so these attributes are not needed.Upon inspecting the code  these attributes are not used so changing them have no effect. We should simply get rid of these attributes.,0.9.0,1,60,0,0,0,0,0,0,0,
628,,Ashish Singh,hdp-nagios and hdp-monitoring has wrong configuration file location  also owner:group permissions are wrong.,Suse environment has wrong configuration location for hdp-dashboard and hdp-nagios. Also  owner:group permissions were wrongly set to root:root instead of 'wwwrun' and group is 'www,0.9.0,1,25,0,0,0,1,0,0,0,
633,,Yusaku Sako,Fix invalid HTML markup on Monitoring Dashboard,,0.9.0,1,1,0,0,0,0,0,0,0,
635,,Yusaku Sako,Add Nodes Progress: for partial failure that lets the user continue  display an orange bar rather than a red bar in the progress popup,,0.9.0,1,1,0,0,0,0,0,0,0,
636,,Yusaku Sako,Support for Hadoop Security (front-end changes),,0.9.0,1,1,0,0,0,0,0,0,0,
638,,Yusaku Sako,Weirdness with Custom Config page when the user goes back to previous stages,Issue 1. Going back and forth between different stages in the Cluster Install Wizard  it is possible to get into a state where Custom Config form has the submit button disabled but no field errors are shown.Steps to replicate: Go up to Stage 6  but do not submit the form Go back to Stage 3 Go up to Stage 6 again. No field errors are shown when they should be.Issue 2. Custom Config stage is skipped once you get to 'Review and Deploy' and go back to a stage preceding Custom Config.Steps to replicate: Go thru the Cluster Install Wizard up to Stage 7 ('Review and Deploy')  but do not submit the form. Go back to Stage 4 or 5. Once you submit the form on Stage 5  Stage 6 is skipped and goes directly to Stage 7. If you go back to Stage 3 or earlier  then Stage 6 will not be skipped.,0.9.0,0.9.0; 1.0,154,0,0,0,0,0,0,0,
668,,Hitesh Shah,Ambari should install yum priorities on all nodes to ensure main repo is picked first,Depending on which main hadoop repo is used to setup the cluster  sometimes  wrong packages may be pulled from add-on repos even if the main repo has a higher priority and has the same package. This can create problems by incompatible dependencies getting installed at times.,0.9.0,0.9.0; 1.0,47,0,0,0,0,0,0,0,
675,,Hitesh Shah,Make puppet generate more logs on command failures,,0.9.0,0.9.0; 1.0,1,0,0,0,0,0,0,0,
