issue_id,summary,description,target_Security,target_Performance
290, comment addNodesWizardInit js comment add node wizard init js, comment addNodesWizardInit js comment add node wizard init js,0 ,0 
292, HTML spew review deploy page HTML spew review deploy page, HTML spew review deploy page HTML spew review deploy page,0 ,0 
300, chang statu messag success error locat show page summari box rather better visibl chang statu messag success error locat show page summari box rather better visibl,,0 ,0 
302, regionserv config hbase localhost regionserv config hbase localhost, etc hbase conf regionserv correctli popul slave list etc hbase conf regionserv correctli popul slave list,0 ,0 
304, upgrad yui upgrad yui,,0 ,0 
310, extern messag resourc welcom page updat style variou page extern messag resourc welcom page updat style variou page,,0 ,0 
312, uninstal wipe flag correctli pass puppet uninstal wipe flag correctli pass puppet,,0 ,0 
316, grid mount point page let one pass custom mount point grid mount point page let one pass custom mount point,,0 ,0 
319, scale puppet master larg number node scale puppet master larg number node, scale puppet master larg number node scale puppet master larg number node,0 ,0 
323, process cluster initi wizard user goe back creat cluster tab user stuck process cluster initi wizard user goe back creat cluster tab user stuck,,0 ,0 
326, depend ad instal phase depend ad instal phase, host level depend set run stage well redund assum depend instal instal stage host level depend set run stage well redund assum depend instal instal stage,0 ,0 
330, provid way resum browser crash close deploy progress provid way resum browser crash close deploy progress, current browser close one cannot view instal progress look log hmc machin figur what go would nice provid way get back instal progress current browser close one cannot view instal progress look log hmc machin figur what go would nice provid way get back instal progress,0 ,0
338, cluster statu updat need happen stage instal wizard cluster statu updat need happen stage instal wizard, cluster statu updat db stage instal wizard use enabl restart browser also show statu cluster index page cluster statu updat db stage instal wizard use enabl restart browser also show statu cluster index page,0 ,0 
339, make transitionToNextStage robust make transit next stage robust, currentStage null not proceed transit current stage null not proceed transit,0 ,0 
349, log case error uninstal need fix log case error uninstal need fix, log disappear post uninstal transact also clean db log disappear post uninstal transact also clean db,0 ,0 
352, add flow control forc redirect appropri page base cluster configur statu better usabl add flow control forc redirect appropri page base cluster configur statu better usabl, no cluster set yet redirect welcom page cluster configur not gone thru deploy redirect step cluster init wizard cluster deploy redirect deploy progress page cluster gone thru deploy fail redirect instal page cluster gone thru deploy succeed not perform forc redirect no cluster set yet redirect welcom page cluster configur not gone thru deploy redirect step cluster init wizard cluster deploy redirect deploy progress page cluster gone thru deploy fail redirect instal page cluster gone thru deploy succeed not perform forc redirect,0 ,0 
357, redesign master servic assign page take less vertic space redesign master servic assign page take less vertic space,,0 ,0 
362, creat lock file part rpm instal creat lock file part rpm instal, lock file creat part creat cluster brittl need done part rpm instal lock file creat part creat cluster brittl need done part rpm instal,0 ,0 
366, packag font subdirectori HMC RPM packag font subdirectori HMC RPM, new font subdirectori use button ManageServices page packag new font subdirectori use button manag servic page packag,0 ,0 
369, improv servic manag page gener popup style improv servic manag page gener popup style,,0 ,0 
371, mysql packag not sent instal uninstal mysql packag not sent instal uninstal, mysql packag not sent instal uninstal mysql packag not sent instal uninstal,0 ,0 
377, uninstal not handl compon depend uninstal not handl compon depend, uninstal not handl compon depend uninstal not handl compon depend,0 ,0 
386, singl node instal instal compon recommend num map reduc task high singl node instal instal compon recommend num map reduc task high, use lower count map reduc slot singl node instal use lower count map reduc slot singl node instal,0 ,0 
393, ZooKeeper myid file not exist ZK instal zoo keeper myid file not exist ZK instal, ZooKeeper myid file not exist ZK instal zoo keeper myid file not exist ZK instal,0 ,0 
394, add node fail find node db add node fail find node db, host not found db error assign node page host not found db error assign node page,0 ,0 
399, cannot uninstal page hang spin icon cannot uninstal page hang spin icon,,0 ,0 
401, manual config chang nn get reset stop start hmc manual config chang nn get reset stop start hmc, manual config chang nn get reset stop start hmc manual config chang nn get reset stop start hmc,0 ,0 
402, complet success add node take one initi cluster page start scratch complet success add node take one initi cluster page start scratch,,0 ,0 
404, unifi top nav monitor cluster manag unifi top nav monitor cluster manag,,0 ,0 
414, add rpm spec hmc agent add rpm spec hmc agent, add rpm spec hmc agent add rpm spec hmc agent,0 ,0 
415, reset servic back origin state reconfigur reset servic back origin state reconfigur,,0 ,0 
420, improv style error log popup improv style error log popup,,0 ,0 
426, reinstal cluster failur instal result failur reinstal cluster failur instal result failur, accord bika tri instal singl node cluster fail random issu present option reinstal click option ask uninstal chose uninstal wipe data option uninstal fail happen instal not complet first place thu may stage hdp oozi servic hdp oozi servic createsymlink usr lib oozi oozi server lib mapr site xml file usr lib oozi oozi server lib mapr site xml ensur err chang absent present fail could not set present ensur No file directori usr lib oozi oozi server lib mapr site xml etc puppet agent modul hdp oozi manifest servic pp accord bika tri instal singl node cluster fail random issu present option reinstal click option ask uninstal chose uninstal wipe data option uninstal fail happen instal not complet first place thu may stage hdp oozi servic hdp oozi servic createsymlink usr lib oozi oozi server lib mapr site xml file usr lib oozi oozi server lib mapr site xml ensur err chang absent present fail could not set present ensur No file directori usr lib oozi oozi server lib mapr site xml etc puppet agent modul hdp oozi manifest servic pp,0 ,0 
429, fix bug jmx pars HBase fix bug jmx pars base, fix bug jmx pars HBase fix bug jmx pars base,0 ,0 
433, use servic stop instead killal uninstal use servic stop instead killal uninstal,,0 ,0 
435, uninstal need updat statu failur uninstal need updat statu failur, enabl rout layer redirect appropri enabl rout layer redirect appropri,0 ,0 
442, duplic definit class hdp hbase regionserv enabl ganglia duplic definit class hdp hbase regionserv enabl ganglia, duplic definit class hdp hbase regionserv enabl ganglia alreadi defin cannot redefin etc puppet agent modul hdp ganglia manifest monitor pp node ip ec intern duplic definit class hdp hbase regionserv enabl ganglia alreadi defin cannot redefin etc puppet agent modul hdp ganglia manifest monitor pp node ip ec intern,0 ,0 
449, post cluster instal deploy URL hmc html initializeCluster php disabl post cluster instal deploy URL hmc html initi cluster php disabl, instal cluster go http lt host gt hmc html initializeCluster php URL get page enter cluster name enter cluster name exist instal wipe need disabl URL instal cluster way enabl uninstal instal cluster go http lt host gt hmc html initi cluster php URL get page enter cluster name enter cluster name exist instal wipe need disabl URL instal cluster way enabl uninstal,0 ,0 
450, boldifi redifi restart HMC messag nagio ganglia hmc host boldifi redifi restart HMC messag nagio ganglia hmc host,,0 ,0 
455, nagio show servic statu critic hbase not instal nagio show servic statu critic hbase not instal,,0 ,0 
466, add node page alert remov case ad duplic node add node page alert remov case ad duplic node, alert shown need chang compat current implement show error link appear show duplic node show duplic node alert shown need chang compat current implement show error link appear show duplic node show duplic node,0 ,0 
467, fix hive stop escap fix hive stop escap,,0 ,0 
468, post instal add node updat progress titl success error messag reflect actual done post instal add node updat progress titl success error messag reflect actual done,,0 ,0 
475, add miss JS file make post cluster instal add node work add miss JS file make post cluster instal add node work,,0 ,0 
482, show welcom page user user start configur cluster not start deploy yet show welcom page user user start configur cluster not start deploy yet,,0 ,0 
486, add node instal MySQL server hive add node instal SQL server hive, ad slave node post cluster instal instal MySQL server hive select servic time cluster instal ad slave node post cluster instal instal SQL server hive select servic time cluster instal,0 ,0 
488, manag servic need way recov termin browser session manag servic need way recov termin browser session, need block user abl start stop servic batch start stop activ alreadi progress someth similar deploy progress display bring user back modal statu display end detect success failur need block user abl start stop servic batch start stop activ alreadi progress someth similar deploy progress display bring user back modal statu display end detect success failur,0 ,0 
491, servic reconfigur screen respect reconfigur attribut set ConfigProperties tabl servic reconfigur screen respect reconfigur attribut set config properti tabl, servic config paramet edit custom initi instal cannot reconfigur post cluster instal info store ConfigProperties tabl servic reconfigur screen allow non reconfigur paramet chang servic config paramet edit custom initi instal cannot reconfigur post cluster instal info store config properti tabl servic reconfigur screen allow non reconfigur paramet chang,0 ,0 
492, make support os check bit robust make support os check bit robust,,0 ,0 
493, add rack_info column host tabl add rack_info column host tabl,,0 ,0 
494, fix node assign not not allow slave master fix node assign not not allow slave master,,1 ,0 
501, speed page load reload time speed page load reload time,,0 ,0 
508, support resum add node support resum add node, like manag servic deploy uninstal like manag servic deploy uninstal,0 ,0 
510, modifi router forc redirect add node progress popup modifi router forc redirect add node progress popup,,0 ,0 
512, fix puppet manifest tarbal download via rpm fix puppet manifest tarbal download via rpm,,0 ,0 
519, updat fix ganglia monitor_and_server anchor problem updat fix ganglia monitor_and_server anchor problem, updat fix ganglia monitor_and_server anchor problem updat fix ganglia monitor_and_server anchor problem,0 ,0 
528, fix oozi smoke test failur fix oozi smoke test failur, oozi smoke test fail error invalid resourc usr lib oozi conf oozi smoke test fail error invalid resourc usr lib oozi conf,0 ,0 
529, fix advanc config HDFS reserv space byte mani byte count fix advanc config HDFS reserv space byte mani byte count, simplifi user input simplifi user input,0 ,0 
539, creat spec file less depend HMC creat spec file less depend HMC, simplifi process user want use differ depend PHP rubi PHP rubi simplifi process user want use differ depend PHP rubi PHP rubi,0 ,0 
543, rpm name need correct rpm name need correct, rpm name need correct rpm name need correct,0 ,0 
544, templeton config pig archiv not correct HMC templeton config pig archiv not correct HMC, arpit config pig templeton wrong deploy config lt properti gt lt name gt templeton pig archiv lt name gt lt valu gt hdf app templeton lt valu gt lt descript gt path pig archiv lt descript gt lt properti gt lt properti gt lt name gt templeton pig path lt name gt lt valu gt pig bin pig lt valu gt lt descript gt path pig execut lt descript gt lt properti gt miss pig tar ball exampl lt properti gt lt name gt templeton pig archiv lt name gt lt valu gt hdf app templeton pig tar gz lt valu gt lt descript gt path pig archiv lt descript gt lt properti gt lt properti gt lt name gt templeton pig path lt name gt lt valu gt pig tar gz pig bin pig lt valu gt lt descript gt path pig execut lt descript gt lt properti gt properti miss pig tar gz arpit config pig templeton wrong deploy config lt properti gt lt name gt templeton pig archiv lt name gt lt valu gt hdf app templeton lt valu gt lt descript gt path pig archiv lt descript gt lt properti gt lt properti gt lt name gt templeton pig path lt name gt lt valu gt pig bin pig lt valu gt lt descript gt path pig execut lt descript gt lt properti gt miss pig tar ball exampl lt properti gt lt name gt templeton pig archiv lt name gt lt valu gt hdf app templeton pig tar gz lt valu gt lt descript gt path pig archiv lt descript gt lt properti gt lt properti gt lt name gt templeton pig path lt name gt lt valu gt pig tar gz pig bin pig lt valu gt lt descript gt path pig execut lt descript gt lt properti gt properti miss pig tar gz,0 ,0 
546, puppet fail instal bit JDK properli RHEL puppet fail instal bit JDK properli RHEL, mkdir usr jdk chmod tmp HDP artifact jdk linux bin cd usr jdk echo tmp HDP artifact jdk linux bin noregist gt amp unpack checksum extract var www html download jdk linux bin instal sfx lib ld linux bad ELF interpret No file directoryFailed extract file pleas refer troubleshoot section ofth instal instruct download page inform puppet ensur glibc instal tri instal jdk mkdir usr jdk chmod tmp HDP artifact jdk linux bin cd usr jdk echo tmp HDP artifact jdk linux bin noregist gt amp unpack checksum extract var www html download jdk linux bin instal sfx lib ld linux bad ELF interpret No file directori fail extract file pleas refer troubleshoot section ofth instal instruct download page inform puppet ensur glibc instal tri instal jdk,0 ,0 
547, chang os type check node bootstrap allow RHEL CentOS node chang os type check node bootstrap allow RHEL cent OS node, hmc php frontend addNodes verifyAndUpdateNodesInfo php hardcod check allow rhel cento node hmc php frontend add node verifi updat node info php hardcod check allow rhel cento node,0 ,0 
548, puppet agent instal script use correct epel repo puppet agent instal script use correct epel repo, hmc ShellScripts puppet_agent_install sh hardcod epel releas rpm CentOS intellig handl differ OS type hmc shell script puppet_agent_install sh hardcod epel releas rpm cent OS intellig handl differ OS type,0 ,0 
550, add support jump specifi state wizard develop purpos add support jump specifi state wizard develop purpos,,0 ,0 
552, updat README point trunk updat README point trunk, need fix README point trunk merg ambari branch need fix README point trunk merg ambari branch,0 ,0 
565, remov YUI sourc file SVN remov YUI sourc file SVN, current YUI sourc file SVN realli need check SVN track chang pre concaten minifi YUI js file need file run ambari anyhow remov SVN instead checkin tarbal current YUI sourc file SVN realli need check SVN track chang pre concaten minifi YUI js file need file run ambari anyhow remov SVN instead checkin tarbal,0 ,0 
566, updat document updat document, modifi pom xml creat output file site rather target make minor word modif modifi pom xml creat output file site rather target make minor word modif,0 ,0 
569, nagio instal fail RHEL nagio instal fail RHEL, puppet layer tri instal nagio tri instal php pecl json not need fail tri RHEL php default json modul built puppet layer tri instal nagio tri instal php pecl json not need fail tri RHEL php default json modul built,0 ,0 
570, consolid head tag organ combin CSS file faster load consolid head tag organ combin CSS file faster load,,0 ,1 
573, puppet error cannot reassign variabl zookeeper_hosts modul hdp manifest param pp puppet error cannot reassign variabl zookeeper_hosts modul hdp manifest param pp, seem like typo zookeeper_hosts hdp_default zookeeper_hosts public_zookeeper_hosts seem like typo zookeeper_hosts hdp_default zookeeper_hosts public_zookeeper_hosts,0 ,0 
576, custom config nagio email multipl period fail valid custom config nagio email multipl period fail valid,,0 ,0 
578, custom config page allow form submiss client side valid error custom config page allow form submiss client side valid error, current button look disabl client side valid error clickabl problem no server side valid make sure password match current button look disabl client side valid error clickabl problem no server side valid make sure password match,1 ,0 
581, special charact host file creat common window editor caus issu special charact host file creat common window editor caus issu,,0 ,0 
587, rat complianc patch rat complianc patch, ad apach licens file within ambari rat tool complianc ad apach licens file within ambari rat tool complianc,0 ,0 
588, extern manag servic name point help link valid URL extern manag servic name point help link valid URL, master role assign page step instal cluster topolog summari page referenc manag servic name HMC server need chang ambari server post instal success messag singl node instal issu current help link top nav launch new tab load page user instead load help page ambari project websit point instal guid placehold master role assign page step instal cluster topolog summari page referenc manag servic name HMC server need chang ambari server post instal success messag singl node instal issu current help link top nav launch new tab load page user instead load help page ambari project websit point instal guid placehold,0 ,0 
591, licens header PHP file use PHP comment not HTML comment licens header PHP file use PHP comment not HTML comment, PHP file HTML style comment problemat sinceth licens header becom part HTML respons wors yet header repeat multipl time respons also caus unexpect behavior PHP file HTML style comment problemat sinceth licens header becom part HTML respons wors yet header repeat multipl time respons also caus unexpect behavior,0 ,0 
592, add link NOTICE file everi page add link NOTICE file everi page, stuff differ compat licens attribut appropri stuff differ compat licens attribut appropri,0 ,0 
597, remov usr bin php depend rpm remov usr bin php depend rpm,,0 ,0 
600, fix lzo instal work correctli RHEL fix lzo instal work correctli RHEL,,0 ,0 
607, increas puppet timeout handl singl node instal time increas puppet timeout handl singl node instal time,,0 ,1 
614, databas set script duplic definit AmbariConfig instal fail databas set script duplic definit ambari config instal fail,,0 ,0 
615, elimin redund unus definit column tabl ConfigProperties elimin redund unus definit column tabl config properti, ConfigProperties tabl column name display_type also JSON encod display_attributes column display_attributes column attribut isPassword displayType noDisplay duplic inform alreadi store display_type column attribut not need upon inspect code attribut not use chang no effect simpli get rid attribut config properti tabl column name display_type also JSON encod display_attributes column display_attributes column attribut password display type no display duplic inform alreadi store display_type column attribut not need upon inspect code attribut not use chang no effect simpli get rid attribut,0 ,0 
628, hdp nagio hdp monitor wrong configur file locat also owner group permiss wrong hdp nagio hdp monitor wrong configur file locat also owner group permiss wrong, suse environ wrong configur locat hdp dashboard hdp nagio also owner group permiss wrongli set root root instead wwwrun group www suse environ wrong configur locat hdp dashboard hdp nagio also owner group permiss wrongli set root root instead wwwrun group www,1 ,0 
633, fix invalid HTML markup monitor dashboard fix invalid HTML markup monitor dashboard,,0 ,0 
635, add node progress partial failur let user continu display orang bar rather red bar progress popup add node progress partial failur let user continu display orang bar rather red bar progress popup,,0 ,0 
636, support hadoop secur front end chang support hadoop secur front end chang,,0 ,0 
638, weird custom config page user goe back previou stage weird custom config page user goe back previou stage, issu go back forth differ stage cluster instal wizard possibl get state custom config form submit button disabl no field error shown step replic Go stage not submit form Go back stage Go stage No field error shown issu custom config stage skip get review deploy go back stage preced custom config step replic Go thru cluster instal wizard stage review deploy not submit form Go back stage submit form stage stage skip goe directli stage go back stage earlier stage not skip issu go back forth differ stage cluster instal wizard possibl get state custom config form submit button disabl no field error shown step replic Go stage not submit form Go back stage Go stage No field error shown issu custom config stage skip get review deploy go back stage preced custom config step replic Go thru cluster instal wizard stage review deploy not submit form Go back stage submit form stage stage skip goe directli stage go back stage earlier stage not skip,0 ,0 
668, ambari instal yum prioriti node ensur main repo pick first ambari instal yum prioriti node ensur main repo pick first, depend main hadoop repo use setup cluster sometim wrong packag may pull add repo even main repo higher prioriti packag creat problem incompat depend get instal time depend main hadoop repo use setup cluster sometim wrong packag may pull add repo even main repo higher prioriti packag creat problem incompat depend get instal time,0 ,0 
675, make puppet gener log command failur make puppet gener log command failur,,0 ,0 
689, fix ambari agent init script bootstrap fix ambari agent init script bootstrap,,0 ,0 
701, ambari not handl pre setup user suppli hive metastor ambari not handl pre setup user suppli hive metastor, ambari treat hive metastor someth still need instal setup even though may not necessari permiss ambari treat hive metastor someth still need instal setup even though may not necessari permiss,0 ,0 
1072, chang text alert XX hour ago chang text alert XX hour ago, alert text like OK hoursWARN hoursCRIT hour alert text like OK hour WARN hour CRIT hour,0 ,0 
1081, HDFS disk capac dashboard seen neg number HDFS disk capac dashboard seen neg number, sometim disk capac calcul end neg number sometim disk capac calcul end neg number,0 ,0 
1085, remov file ambari web not meant check remov file ambari web not meant check, ambari web node_modules ambari web public ambari web ambari iml not meant check must remov ambari web node_modules ambari web public ambari web ambari iml not meant check must remov,0 ,0 
1092, dashboard summari capac pie chart keep chang color dashboard summari capac pie chart keep chang color,,0 ,0 
1096, creat heatmap legend entri miss data invalid host creat heatmap legend entri miss data invalid host, current dont fill anyth ambigu current dont fill anyth ambigu,0 ,0 
1098, switch servic not updat variou UI element switch servic not updat variou UI element, switch servic UI sometim alert mismatch compar select servic also highlight left bar not work switch servic UI sometim alert mismatch compar select servic also highlight left bar not work,0 ,0 
1102, error handl error encount prepar deploy error handl error encount prepar deploy, current error encount prepar deploy user taken deploy page host shown wait noth happen bad UX minimum prevent user proceed display appropri error messag error encount deploy click transit step also think user recov situat point deploy not initi certain API call may succeed may incomplet info databas current no conveni way rollback either ask user clean slate reiniti databas tri succeed origin problem temporari also build logic UI retri check record alreadi exist etc current error encount prepar deploy user taken deploy page host shown wait noth happen bad UX minimum prevent user proceed display appropri error messag error encount deploy click transit step also think user recov situat point deploy not initi certain API call may succeed may incomplet info databas current no conveni way rollback either ask user clean slate reiniti databas tri succeed origin problem temporari also build logic UI retri check record alreadi exist etc,0 ,0 
1103, need abl reliabl recov case browser close deploy step post submiss step wizard need abl reliabl recov case browser close deploy step post submiss step wizard, need abl reliabl recov case browser close deploy step post submiss step wizard even submit step take step browser restart ideal take monitor page need abl reliabl recov case browser close deploy step post submiss step wizard even submit step take step browser restart ideal take monitor page,0 ,0 
1106, user specifi custom config hdf site xml overrid persist maintain user specifi user specifi custom config hdf site xml overrid persist maintain user specifi,,0 ,0 
1113, instal wizard confirm host stuck prepar stage instal wizard confirm host stuck prepar stage, instal wizard went assign slave page success return back welcom page reenter data UI got stuck confirm host page instal wizard went assign slave page success return back welcom page reenter data UI got stuck confirm host page,0 ,0 
1115, host compon live statu broken host compon live statu broken, datanod stop host statu keep jump datanod stop host statu keep jump,0 ,0 
1123, ambari heatmap host inform show infin disk space use ambari heatmap host inform show infin disk space use, cluster start instal disk_total null result infin cluster start instal disk_total null result infin,0 ,0 
1125, graph degrad time graph degrad time, leav page graph open sever minut graph becom realli coars probabl someth fact ganglia provid minut averag beyond first minut first minut ganglia keep second sampl may not exactli queri last minut leav page graph open sever minut graph becom realli coars probabl someth fact ganglia provid minut averag beyond first minut first minut ganglia keep second sampl may not exactli queri last minut,0 ,0 
1142, notif popup click go nagio UI load nagio UI notif popup click go nagio UI load nagio UI, caus notif occur exampl stop oozi dashboard click notif icon notif popup click go nagio web UI noth happen issu IE safari chrome work fine firefox caus notif occur exampl stop oozi dashboard click notif icon notif popup click go nagio web UI noth happen issu IE safari chrome work fine firefox,0 ,0 
1143, tmpf filesystem ad list dir use ambari tmpf filesystem ad list dir use ambari, saw sle cluster EC tmpf mount ambari pick not sure ideal solut feel tmpf not includ avail mount point also tmpf use variou directori chang instal attach screenshot saw sle cluster EC tmpf mount ambari pick not sure ideal solut feel tmpf not includ avail mount point also tmpf use variou directori chang instal attach screenshot,0 ,0 
1150, instal wizard retri featur deploy step step broken instal wizard retri featur deploy step step broken,,0 ,0 
1151, reconfigur fail silent not fire API call due JS error reconfigur fail silent not fire API call due JS error,,0 ,0 
1153, host jam statu prepar host name wrong host jam statu prepar host name wrong,,0 ,0 
1154, check box check uncheck one member multi artifact graph not readabl appar one user click check box check uncheck one member multi artifact graph not readabl appar one user click,,0 ,0 
1159, check log run dir locat make sure ab path check log run dir locat make sure ab path,,0 ,0 
1164, disk info metric memori usag sometim not show hour disk info metric memori usag sometim not show hour, disk info metric memori usag sometim not show hour disk info metric memori usag sometim not show hour,0 ,0 
1181, clean tabl header UI sort filter clear host tabl clean tabl header UI sort filter clear host tabl,,0 ,0 
1182, clean tabl header UI sort filter clear job tabl clean tabl header UI sort filter clear job tabl,,0 ,0 
1184, ad host host count shown dashboard incorrect ad host host count shown dashboard incorrect,,0 ,0 
1190, detail log view dialog not center align detail log view dialog not center align,,0 ,0 
