issue_id,summary,description,target_Security,target_Performance
100, add support insert function use JDBC updat resultset api add support insert function use JDBC updat resultset api, JDBC API introduc abil updat delet insert row resultset use method java program languag rather send SQL command jira entri track insert row function use JDBC api JDBC API introduc abil updat delet insert row resultset use method java program languag rather send SQL command jira entri track insert row function use JDBC api,0,0
117, PATCH improv NetServlet PATCH improv net servlet, Hi minor enhanc net servlet chang cloudscap derbi bundl ad pt_BT know languag bundl alreadi languag not set java improv use tracingDirectory init paramet use document not use current valu shown user tri chang improv function handl request local instanc mozilla use instead  separ countri languag show screen port server run ad new SRV_POrtNumber messag key infoSo send trunk patch chang felip Hi minor enhanc net servlet chang cloudscap derbi bundl ad pt BT know languag bundl alreadi languag not set java improv use trace directori init paramet use document not use current valu shown user tri chang improv function handl request local instanc mozilla use instead  separ countri languag show screen port server run ad new SRV ort number messag key info send trunk patch chang felip,0,0
122, suit jdk skip incorrectli SE suit jdk skip incorrectli SE, sinc SE super set JDK JDK test run SE sinc SE super set JDK JDK test run SE,0,0
123, derbi incorrectli round doubl valu insert NUMERIC derbi incorrectli round doubl valu insert NUMERIC, insert doubl valu field defin NUMERIC use PreparedStatement setDouble derbi may incorrectli round number exampl NUMERIC field doubl end valu databas work fine oracl databas problem occur doubl cannot repres exactli actual valu SQLDecimal setCoreValue use BigDecimal doubl construct BigDecimal SQLDecimal setWidth use valu setScale desiredScale BigDecimal ROUND_DOWN note BigDecimal javadoc recommend doubl constructor avoid reason one fix appear chang SQLDecimal setCoreValue doubl avoid use doubl constructor BigDecimal use doubl toString BigDecimal string look would work expect doubl toString special round abil convert back insert doubl valu field defin NUMERIC use prepar statement set doubl derbi may incorrectli round number exampl NUMERIC field doubl end valu databas work fine oracl databas problem occur doubl cannot repres exactli actual valu SQL decim set core valu use big decim doubl construct big decim SQL decim set width use valu set scale desir scale big decim ROUND note big decim javadoc recommend doubl constructor avoid reason one fix appear chang SQL decim set core valu doubl avoid use doubl constructor big decim use doubl string big decim string look would work expect doubl string special round abil convert back,0,0
127, alias column not recogn group order combin alias column not recogn group order combin, work tri integr derbi mondrian ROLAP engin uncov bug derbi queri involv column alias group claus order claus exampl mondrian gener follow queri select STORE STORE_COUNTRY STORE STORE_STATE STORE STORE_CITY STORE STORE_NAME STORE STORE_TYPE STORE STORE_MANAGER STORE STORE_SQFT STORE GROCERY_SQFT STORE FROZEN_SQFT STORE MEAT_SQFT STORE COFFEE_BAR STORE STORE_STREET_ADDRESS STORE STORE group STORE STORE_COUNTRY STORE STORE_STATE STORE STORE_CITY STORE STORE_NAME STORE STORE_TYPE STORE STORE_MANAGER STORE STORE_SQFT STORE GROCERY_SQFT STORE FROZEN_SQFT STORE MEAT_SQFT STORE COFFEE_BAR STORE STORE_STREET_ADDRESS order STORE STORE_COUNTRY STORE STORE_STATE STORE STORE_CITY STORE STORE_NAMEwhich valid SQL test queri outsid mondrian environ still receiv error column STORE STORE_COUNTRY not tabl list appear within join specif outsid scope join specif appear claus not GROUP list SQL state error code howev remov one three element alias group order order use alias name queri work combin element caus problem ie follow queri work correctli select STORE STORE_COUNTRY STORE STORE_STATE STORE STORE_CITY STORE STORE_NAME STORE STORE_TYPE STORE STORE_MANAGER STORE STORE_SQFT STORE GROCERY_SQFT STORE FROZEN_SQFT STORE MEAT_SQFT STORE COFFEE_BAR STORE STORE_STREET_ADDRESS STORE STORE group STORE STORE_COUNTRY STORE STORE_STATE STORE STORE_CITY STORE STORE_NAME STORE STORE_TYPE STORE STORE_MANAGER STORE STORE_SQFT STORE GROCERY_SQFT STORE FROZEN_SQFT STORE MEAT_SQFT STORE COFFEE_BAR STORE STORE_STREET_ADDRESS order STORE STORE_COUNTRY STORE STORE_STATE STORE STORE_CITY STORE STORE_NAMEselect STORE STORE_COUNTRY STORE STORE_STATE STORE STORE_CITY STORE STORE_NAME STORE STORE_TYPE STORE STORE_MANAGER STORE STORE_SQFT STORE GROCERY_SQFT STORE FROZEN_SQFT STORE MEAT_SQFT STORE COFFEE_BAR STORE STORE_STREET_ADDRESS STORE STORE group STORE STORE_COUNTRY STORE STORE_STATE STORE STORE_CITY STORE STORE_NAME STORE STORE_TYPE STORE STORE_MANAGER STORE STORE_SQFT STORE GROCERY_SQFT STORE FROZEN_SQFT STORE MEAT_SQFT STORE COFFEE_BAR STORE STORE_STREET_ADDRESSselect STORE STORE_COUNTRY STORE STORE_STATE STORE STORE_CITY STORE STORE_NAME STORE STORE_TYPE STORE STORE_MANAGER STORE STORE_SQFT STORE GROCERY_SQFT STORE FROZEN_SQFT STORE MEAT_SQFT STORE COFFEE_BAR STORE STORE_STREET_ADDRESS STORE STORE order STORE STORE_COUNTRY STORE STORE_STATE STORE STORE_CITY STORE STORE_NAMEselect STORE STORE_COUNTRY STORE STORE_STATE STORE STORE_CITY STORE STORE_NAME STORE STORE_TYPE STORE STORE_MANAGER STORE STORE_SQFT STORE GROCERY_SQFT STORE FROZEN_SQFT STORE MEAT_SQFT STORE COFFEE_BAR STORE STORE_STREET_ADDRESS STORE STORE group STORE STORE_COUNTRY STORE STORE_STATE STORE STORE_CITY STORE STORE_NAME STORE STORE_TYPE STORE STORE_MANAGER STORE STORE_SQFT STORE GROCERY_SQFT STORE FROZEN_SQFT STORE MEAT_SQFT STORE COFFEE_BAR STORE STORE_STREET_ADDRESS order work tri integr derbi mondrian ROLAP engin uncov bug derbi queri involv column alias group claus order claus exampl mondrian gener follow queri select STORE STORE COUNTRY STORE STORE STATE STORE STORE CITY STORE STORE NAME STORE STORE TYPE STORE STORE MANAGER STORE STORE SQFT STORE GROCERY SQFT STORE FROZEN SQFT STORE MEAT SQFT STORE COFFEE BAR STORE STORE STREET ADDRESS STORE STORE group STORE STORE COUNTRY STORE STORE STATE STORE STORE CITY STORE STORE NAME STORE STORE TYPE STORE STORE MANAGER STORE STORE SQFT STORE GROCERY SQFT STORE FROZEN SQFT STORE MEAT SQFT STORE COFFEE BAR STORE STORE STREET ADDRESS order STORE STORE COUNTRY STORE STORE STATE STORE STORE CITY STORE STORE NAM ewhich valid SQL test queri outsid mondrian environ still receiv error column STORE STORE COUNTRY not tabl list appear within join specif outsid scope join specif appear claus not GROUP list SQL state error code howev remov one three element alias group order order use alias name queri work combin element caus problem ie follow queri work correctli select STORE STORE COUNTRY STORE STORE STATE STORE STORE CITY STORE STORE NAME STORE STORE TYPE STORE STORE MANAGER STORE STORE SQFT STORE GROCERY SQFT STORE FROZEN SQFT STORE MEAT SQFT STORE COFFEE BAR STORE STORE STREET ADDRESS STORE STORE group STORE STORE COUNTRY STORE STORE STATE STORE STORE CITY STORE STORE NAME STORE STORE TYPE STORE STORE MANAGER STORE STORE SQFT STORE GROCERY SQFT STORE FROZEN SQFT STORE MEAT SQFT STORE COFFEE BAR STORE STORE STREET ADDRESS order STORE STORE COUNTRY STORE STORE STATE STORE STORE CITY STORE STORE NAM eselect STORE STORE COUNTRY STORE STORE STATE STORE STORE CITY STORE STORE NAME STORE STORE TYPE STORE STORE MANAGER STORE STORE SQFT STORE GROCERY SQFT STORE FROZEN SQFT STORE MEAT SQFT STORE COFFEE BAR STORE STORE STREET ADDRESS STORE STORE group STORE STORE COUNTRY STORE STORE STATE STORE STORE CITY STORE STORE NAME STORE STORE TYPE STORE STORE MANAGER STORE STORE SQFT STORE GROCERY SQFT STORE FROZEN SQFT STORE MEAT SQFT STORE COFFEE BAR STORE STORE STREET ADDRES sselect STORE STORE COUNTRY STORE STORE STATE STORE STORE CITY STORE STORE NAME STORE STORE TYPE STORE STORE MANAGER STORE STORE SQFT STORE GROCERY SQFT STORE FROZEN SQFT STORE MEAT SQFT STORE COFFEE BAR STORE STORE STREET ADDRESS STORE STORE order STORE STORE COUNTRY STORE STORE STATE STORE STORE CITY STORE STORE NAM eselect STORE STORE COUNTRY STORE STORE STATE STORE STORE CITY STORE STORE NAME STORE STORE TYPE STORE STORE MANAGER STORE STORE SQFT STORE GROCERY SQFT STORE FROZEN SQFT STORE MEAT SQFT STORE COFFEE BAR STORE STORE STREET ADDRESS STORE STORE group STORE STORE COUNTRY STORE STORE STATE STORE STORE CITY STORE STORE NAME STORE STORE TYPE STORE STORE MANAGER STORE STORE SQFT STORE GROCERY SQFT STORE FROZEN SQFT STORE MEAT SQFT STORE COFFEE BAR STORE STORE STREET ADDRESS order,0,0
128, network server give NPE SQLException null argument ERROR XBM network server give NPE SQL except null argument ERROR XBM, network server network server throw NPE one argument SQLException null reproduc tri creat databas root directori linux not run secur manag trace came extra url NSinSameJVM javaThe issu network server throw NPE one argument SQLException null code argument variabl part messag object arg ce getArguments int arg null amp amp lt arg length sqlerrmc arg toString separ except seem null argument seem right ERROR XBM directori NSinSameJVMTestDB cannot creat ERROR XBM directori NSinSameJVMTestDB cannot creat org apach derbi iapi error StandardException newException StandardException java org apach derbi impl servic monitor PersistentServiceImpl run PersistentServiceImpl java java secur AccessController doPrivileged nativ method org apach derbi impl servic monitor PersistentServiceImpl createServiceRoot PersistentServiceImpl java org apach derbi impl servic monitor BaseMonitor bootService BaseMonitor java org apach derbi impl servic monitor BaseMonitor createPersistentService BaseMonitor java org apach derbi iapi servic monitor monitor createPersistentService monitor java org apach derbi impl jdbc EmbedConnection createDatabase EmbedConnection java org apach derbi impl jdbc EmbedConnection lt init gt EmbedConnection java org apach derbi impl jdbc EmbedConnection lt init gt EmbedConnection java org apach derbi impl jdbc EmbedConnection lt init gt EmbedConnection java org apach derbi jdbc driver getNewEmbedConnection driver java org apach derbi jdbc driver connect driver java org apach derbi impl drda databas makeConnection databas java org apach derbi impl drda DRDAConnThread getConnFromDatabaseName DRDAConnThread java org apach derbi impl drda DRDAConnThread verifyUserIdPassword DRDAConnThread java org apach derbi impl drda DRDAConnThread parseSECCHK DRDAConnThread java org apach derbi impl drda DRDAConnThread parseDRDAConnection DRDAConnThread java org apach derbi impl drda DRDAConnThread exchangeServerAttributes DRDAConnThread java org apach derbi impl drda DRDAConnThread sessionInitialState DRDAConnThread java org apach derbi impl drda DRDAConnThread run DRDAConnThread java cleanup action complet GMT thread DRDAConnThread derbi daemon DATABASE NSinSameJVMTestDB DRDAID fail creat databas NSinSameJVMTestDB see next except detail GMT thread DRDAConnThread derbi daemon DATABASE NSinSameJVMTestDB DRDAID directori NSinSameJVMTestDB cannot creat GMT thread DRDAConnThread derbi daemon DATABASE NSinSameJVMTestDB DRDAID NF FB fail creat databas NSinSameJVMTestDB see next except detail GMT thread DRDAConnThread derbi daemon DATABASE NSinSameJVMTestDB DRDAID NF FB nullnulljava lang NullPointerException org apach derbi impl drda DRDAConnThread writeSQLCAGRP DRDAConnThread java org apach derbi impl drda DRDAConnThread writeSQLCARD DRDAConnThread java org apach derbi impl drda DRDAConnThread parseDRDAConnection DRDAConnThread java org apach derbi impl drda DRDAConnThread exchangeServerAttributes DRDAConnThread java org apach derbi impl drda DRDAConnThread sessionInitialState DRDAConnThread java org apach derbi impl drda DRDAConnThread run DRDAConnThread java nulljava lang NullPointerException org apach derbi impl drda DRDAConnThread writeSQLCAGRP DRDAConnThread java org apach derbi impl drda DRDAConnThread writeSQLCARD DRDAConnThread java org apach derbi impl drda DRDAConnThread parseDRDAConnection DRDAConnThread java org apach derbi impl drda DRDAConnThread exchangeServerAttributes DRDAConnThread java org apach derbi impl drda DRDAConnThread sessionInitialState DRDAConnThread java org apach derbi impl drda DRDAConnThread run DRDAConnThread java network server network server throw NPE one argument SQL except null reproduc tri creat databas root directori linux not run secur manag trace came extra url sin JVM java issu network server throw NPE one argument SQL except null code argument variabl part messag object arg ce get argument int arg null amp amp lt arg length sqlerrmc arg string separ except seem null argument seem right ERROR XBM directori sin JVM test DB cannot creat ERROR XBM directori sin JVM test DB cannot creat org apach derbi iapi error standard except new except standard except java org apach derbi impl servic monitor persist servic impl run persist servic impl java java secur access control privileg nativ method org apach derbi impl servic monitor persist servic impl creat servic root persist servic impl java org apach derbi impl servic monitor base monitor boot servic base monitor java org apach derbi impl servic monitor base monitor creat persist servic base monitor java org apach derbi iapi servic monitor monitor creat persist servic monitor java org apach derbi impl jdbc emb connect creat databas emb connect java org apach derbi impl jdbc emb connect lt init gt emb connect java org apach derbi impl jdbc emb connect lt init gt emb connect java org apach derbi impl jdbc emb connect lt init gt emb connect java org apach derbi jdbc driver get new emb connect driver java org apach derbi jdbc driver connect driver java org apach derbi impl drda databas make connect databas java org apach derbi impl drda DRDA conn thread get conn databas name DRDA conn thread java org apach derbi impl drda DRDA conn thread verifi user Id password DRDA conn thread java org apach derbi impl drda DRDA conn thread pars SECCHK DRDA conn thread java org apach derbi impl drda DRDA conn thread pars DRDA connect DRDA conn thread java org apach derbi impl drda DRDA conn thread exchang server attribut DRDA conn thread java org apach derbi impl drda DRDA conn thread session initi state DRDA conn thread java org apach derbi impl drda DRDA conn thread run DRDA conn thread java cleanup action complet GMT thread DRDA conn thread derbi daemon DATABASE sin JVM test DB DRDAID fail creat databas sin JVM test DB see next except detail GMT thread DRDA conn thread derbi daemon DATABASE sin JVM test DB DRDAID directori sin JVM test DB cannot creat GMT thread DRDA conn thread derbi daemon DATABASE sin JVM test DB DRDAID NF FB fail creat databas sin JVM test DB see next except detail GMT thread DRDA conn thread derbi daemon DATABASE sin JVM test DB DRDAID NF FB nullnulljava lang null pointer except org apach derbi impl drda DRDA conn thread write SQLCAGRP DRDA conn thread java org apach derbi impl drda DRDA conn thread write SQLCARD DRDA conn thread java org apach derbi impl drda DRDA conn thread pars DRDA connect DRDA conn thread java org apach derbi impl drda DRDA conn thread exchang server attribut DRDA conn thread java org apach derbi impl drda DRDA conn thread session initi state DRDA conn thread java org apach derbi impl drda DRDA conn thread run DRDA conn thread java nulljava lang null pointer except org apach derbi impl drda DRDA conn thread write SQLCAGRP DRDA conn thread java org apach derbi impl drda DRDA conn thread write SQLCARD DRDA conn thread java org apach derbi impl drda DRDA conn thread pars DRDA connect DRDA conn thread java org apach derbi impl drda DRDA conn thread exchang server attribut DRDA conn thread java org apach derbi impl drda DRDA conn thread session initi state DRDA conn thread java org apach derbi impl drda DRDA conn thread run DRDA conn thread java,0,0
129, derbi throw truncat error warn CASTing paramet constant char char bit datatyp data larg datatyp derbi throw truncat error warn CAS ting paramet constant char char bit datatyp data larg datatyp, derbi throw truncat except warn data larg cast constant paramet charact string bit string data type follow ij exampl constant big datatyp get cast toij gt valu cast hello char hel row selectedij gt valu cast char bit data row selectedFollowing code snippet use paramet JDBC program executeUpdate creat tabl ct CLOB follow formatt load cData charact string cData org apach derbyTesting functionTests util formatt repeatChar notic prear statement bound length pSt con prepareStatement insert ct valu cast varchar pSt setString cData derbi throw except ps execut time charact paramet silent truncat pSt execut derbi throw truncat except warn data larg cast constant paramet charact string bit string data type follow ij exampl constant big datatyp get cast toij gt valu cast hello char hel row selectedij gt valu cast char bit data row select follow code snippet use paramet JDBC program execut updat creat tabl ct CLOB follow formatt load data charact string data org apach derbi test function test util formatt repeat char notic prear statement bound length St con prepar statement insert ct valu cast varchar St set string data derbi throw except ps execut time charact paramet silent truncat St execut,0,0
132, place tabl index compress return space OS place tabl index compress return space OS, derbi tabl index store separ file space fromdelet row eventu reclaim within file use forsubsequ insert file space not return toth OS unless user call SYSCS_UTIL SYSCS_COMPRESS_TABLEsystem procedur procedur return unus space inth tabl index OS get exclus lock thetabl copi row index base tabl newcompress file delet old file prior jdk wasth way return space file OS jdk RandomAccessFile enhanc allow truncat afil would return space end file back toth OS order take advantag new featur newcompress featur need derbi assumpt work use futur work willautomat schedul job other background nointeract need dba st phase work willsimpli build procedur work nd phase willb look schedul procedur automat part ofth current background post commit process longer term wouldb best fit new background task monitor couldschedul larger background task balanc prioritiesof system task might includ new onlin compress automat statist gather proactiv delet row reclam propos featur reorgan base tabl index movingempti page end releas space back operatingsystem creat chunk empti page end thefil design run background lock resourcesof tabl short time possibl iterativelyprocess tabl reclaim space heap scan heap page revers order get short term tabl lock process row page andthen commit transact releas lock commit beoptim like intern transact not need waitfor synchon write row move requir indexentri row also updat process itwil also take care process commit delet row spacei free end tabl freed back operatingsystem use RandomAccessFile setLength interfac reclaim space btree data page move rather thanrow data page end file move freesmal number page short term tabl lock requir oper look similar current btree merg operationsalreadi implement chunk page free end ofth file return OS use mechan asth heap derbi tabl index store separ file space fromdelet row eventu reclaim within file use forsubsequ insert file space not return toth OS unless user call SYSCS UTIL SYSCS COMPRESS TABL esystem procedur procedur return unus space inth tabl index OS get exclus lock thetabl copi row index base tabl newcompress file delet old file prior jdk wasth way return space file OS jdk random access file enhanc allow truncat afil would return space end file back toth OS order take advantag new featur newcompress featur need derbi assumpt work use futur work willautomat schedul job other background nointeract need dba st phase work willsimpli build procedur work nd phase willb look schedul procedur automat part ofth current background post commit process longer term wouldb best fit new background task monitor couldschedul larger background task balanc prioritiesof system task might includ new onlin compress automat statist gather proactiv delet row reclam propos featur reorgan base tabl index movingempti page end releas space back operatingsystem creat chunk empti page end thefil design run background lock resourcesof tabl short time possibl iterativelyprocess tabl reclaim space heap scan heap page revers order get short term tabl lock process row page andthen commit transact releas lock commit beoptim like intern transact not need waitfor synchon write row move requir indexentri row also updat process itwil also take care process commit delet row spacei free end tabl freed back operatingsystem use random access file set length interfac reclaim space btree data page move rather thanrow data page end file move freesmal number page short term tabl lock requir oper look similar current btree merg operationsalreadi implement chunk page free end ofth file return OS use mechan asth heap,0,1
153, bad eclips plugin version specif bad eclips plugin version specif, plugin xml derbi eclips plugin version specif read eclips complain illeg consequ plugin not load eclips doc follow say version specif plug version format major minor servic qualifi strip whatev anyway solv problem plugin xml derbi eclips plugin version specif read eclips complain illeg consequ plugin not load eclips doc follow say version specif plug version format major minor servic qualifi strip whatev anyway solv problem,0,0
167, insert valu ident column insert valu ident column, not possibl insert specif valu column defin ident make hard migrat RDBMSs import data dump databas exampl autoincr column MySQL ident column problem data dump MySQL file gener insert valu valu cant insert derbi tabl posibl solut abl gener default ident abl disabl ident featur column abl gener column non ident data popul alter tabl add ident column not possibl insert specif valu column defin ident make hard migrat RDBM Ss import data dump databas exampl autoincr column SQL ident column problem data dump SQL file gener insert valu valu cant insert derbi tabl posibl solut abl gener default ident abl disabl ident featur column abl gener column non ident data popul alter tabl add ident column,0,0
